Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100079;TSM - Toplam Grup Kota Realizasyonu;1;47262,85409;54118,32;114,5049766
100079;TSM - Toplam Grup Kota Realizasyonu;2;57540,61465;61176,59;106,318972
100079;TSM - Toplam Grup Kota Realizasyonu;3;43821,03795;43819,26;99,99594271
100079;TSM - Toplam Grup Kota Realizasyonu;4;43353,85806;36788,08;84,85537769
100079;TSM - Toplam Grup Kota Realizasyonu;5;47221,70929;50044,96;105,9787135
100079;TSM - Toplam Grup Kota Realizasyonu;6;48445,96626;42132,92;86,96889185
100212;TSM - Toplam Grup Kota Realizasyonu;1;34613,90731;38729,74;111,8906908
100212;TSM - Toplam Grup Kota Realizasyonu;2;41806,30052;41194,53;98,53665473
100212;TSM - Toplam Grup Kota Realizasyonu;3;34003,31488;35180,95;103,4632951
100212;TSM - Toplam Grup Kota Realizasyonu;4;33663,24127;39418,75;117,09731
100212;TSM - Toplam Grup Kota Realizasyonu;5;37244,76279;42214,07;113,3422979
100212;TSM - Toplam Grup Kota Realizasyonu;6;39621,14387;44032,03;111,1326572
100199;TSM - Toplam Grup Kota Realizasyonu;1;42990,33962;44871,93;104,3767749
100199;TSM - Toplam Grup Kota Realizasyonu;2;52363,03897;54911,97;104,8678058
100199;TSM - Toplam Grup Kota Realizasyonu;3;42634,00954;38369,21;89,99671956
100199;TSM - Toplam Grup Kota Realizasyonu;4;42119,07041;35435,43;84,13155765
100199;TSM - Toplam Grup Kota Realizasyonu;5;46362,80956;53134,37;114,6055869
100199;TSM - Toplam Grup Kota Realizasyonu;6;49012,92426;51247,79;104,5597478
100102;TSM - Toplam Grup Kota Realizasyonu;1;49257,44804;65647,52;133,2743019
100102;TSM - Toplam Grup Kota Realizasyonu;2;57665,72197;70921,69;122,9876044
100102;TSM - Toplam Grup Kota Realizasyonu;3;42483,87797;49219,36;115,8542072
100102;TSM - Toplam Grup Kota Realizasyonu;4;42270,72037;40325,12;95,39728598
100102;TSM - Toplam Grup Kota Realizasyonu;5;45610,16288;56114,68;123,0310888
100102;TSM - Toplam Grup Kota Realizasyonu;6;46425,94846;57795,11;124,4888083
100195;TSM - Toplam Grup Kota Realizasyonu;1;48432,9723;53399,25;110,2539189
100195;TSM - Toplam Grup Kota Realizasyonu;2;57337,45068;44879,65;78,27283821
100195;TSM - Toplam Grup Kota Realizasyonu;3;47570,24736;46017,73;96,73636895
100195;TSM - Toplam Grup Kota Realizasyonu;4;46952,94234;34175,05;72,78574738
100195;TSM - Toplam Grup Kota Realizasyonu;5;51798,33235;40951,01;79,05854908
100195;TSM - Toplam Grup Kota Realizasyonu;6;53967,56217;56086,06;103,9255022
100288;TSM - Toplam Grup Kota Realizasyonu;1;52673,80311;57713,98;109,5686596
100288;TSM - Toplam Grup Kota Realizasyonu;2;62426,60489;57727,53;92,47264064
100288;TSM - Toplam Grup Kota Realizasyonu;3;51597,85752;56956;110,3844282
100288;TSM - Toplam Grup Kota Realizasyonu;4;50731,29586;52194,96;102,8851306
100288;TSM - Toplam Grup Kota Realizasyonu;5;55310,35844;57103,26;103,2415295
100288;TSM - Toplam Grup Kota Realizasyonu;6;56242,69817;59163,17;105,192624
100101;TSM - Toplam Grup Kota Realizasyonu;1;72663,60039;75834,17;104,3633533
100101;TSM - Toplam Grup Kota Realizasyonu;2;87816,76055;63870,4;72,73144626
100101;TSM - Toplam Grup Kota Realizasyonu;3;66386,66986;80743,64;121,6262846
100101;TSM - Toplam Grup Kota Realizasyonu;4;66129,94343;81404,13;123,0972322
100101;TSM - Toplam Grup Kota Realizasyonu;5;73515,56458;82430,31;112,1263374
100101;TSM - Toplam Grup Kota Realizasyonu;6;77080,30024;99096,49;128,5626674
100315;TSM - Toplam Grup Kota Realizasyonu;1;52178,0263;58484,82;112,0870683
