Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100078;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;104921,34;128956,34;122,9076373
100078;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;185171,85;232196,99;125,3954043
100118;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;72031,88;74715,06;103,7249895
100118;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;137543,81;128628,52;93,51821794
100177;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;88740,56;75449,28;85,02231674
100177;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;169030,47;169452,68;100,2497834
100202;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;88543,18;97935,54;110,6076606
100202;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;158218,81;193897,14;122,5499926
100214;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;89197,24;94766,35;106,24359
100214;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;169746,41;187046,7;110,1918444
100233;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;66167,6;65991,92;99,73449241
100233;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;205863,23;241068;117,1010481
100246;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;117520,93;105536,71;89,80248029
100246;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;248281,48;311854,72;125,6053089
100254;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;DULOXX;70300,99;68414,83;97,31702214
100254;TSM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yýlda Çýkan Lansman Ürünleri);1;GYREX;127644,77;103049,56;80,73151763
