Çalışan Sicil No;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
100626;TSM - Evolution İndeks;1;100;82,13;82,13
100671;TSM - Evolution İndeks;1;100;92,2;92,2
100673;TSM - Evolution İndeks;1;100;65,56;65,56
100332;TSM - Evolution İndeks;1;100;95,81;95,81
100324;TSM - Evolution İndeks;1;100;97,76;97,76
100122;TSM - Evolution İndeks;1;100;97,2;97,2
100416;TSM - Evolution İndeks;1;100;100,86;100,86
100538;TSM - Evolution İndeks;1;100;101,07;101,07
101251;TSM - Evolution İndeks;1;100;81,05;81,05
101575;TSM - Evolution İndeks;1;100;123,18;123,18
101691;TSM - Evolution İndeks;1;100;108,63;108,63
100086;TSM - Evolution İndeks;1;100;95,86;95,86
100444;TSM - Evolution İndeks;1;100;116,88;116,88
100462;TSM - Evolution İndeks;1;100;90,12;90,12
100707;TSM - Evolution İndeks;1;100;67,37;67,37
100247;TSM - Evolution İndeks;1;100;94,04;94,04
100769;TSM - Evolution İndeks;1;100;98,25;98,25
101566;TSM - Evolution İndeks;1;100;104,12;104,12
101567;TSM - Evolution İndeks;1;100;122,79;122,79
101654;TSM - Evolution İndeks;1;100;96,1;96,1
100119;TSM - Evolution İndeks;1;100;95,37;95,37
100270;TSM - Evolution İndeks;1;100;93,93;93,93
100104;TSM - Evolution İndeks;1;100;85,66;85,66
100336;TSM - Evolution İndeks;1;100;114,91;114,91
100450;TSM - Evolution İndeks;1;100;90,76;90,76
100711;TSM - Evolution İndeks;1;100;97,39;97,39
100574;TSM - Evolution İndeks;1;100;104,04;104,04
100398;TSM - Evolution İndeks;1;100;97,06;97,06
100467;TSM - Evolution İndeks;1;100;90,41;90,41
100465;TSM - Evolution İndeks;1;100;100,38;100,38
100662;TSM - Evolution İndeks;1;100;131,45;131,45
100561;TSM - Evolution İndeks;1;100;92,83;92,83
101462;TSM - Evolution İndeks;1;100;132,87;132,87
101463;TSM - Evolution İndeks;1;100;145,02;145,02
100342;TSM - Evolution İndeks;1;100;103,4;103,4
100196;TSM - Evolution İndeks;1;100;96,79;96,79
100459;TSM - Evolution İndeks;1;100;88,2;88,2
100296;TSM - Evolution İndeks;1;100;87,47;87,47
100457;TSM - Evolution İndeks;1;100;103,91;103,91
100796;TSM - Evolution İndeks;1;100;101,94;101,94
100960;TSM - Evolution İndeks;1;100;95,89;95,89
101262;TSM - Evolution İndeks;1;100;110,07;110,07
100506;TSM - Evolution İndeks;1;100;90,73;90,73
100361;TSM - Evolution İndeks;1;100;88,84;88,84
100466;TSM - Evolution İndeks;1;100;97,12;97,12
100517;TSM - Evolution İndeks;1;100;89,3;89,3
100449;TSM - Evolution İndeks;1;100;96,89;96,89
101457;TSM - Evolution İndeks;1;100;126,03;126,03
101531;TSM - Evolution İndeks;1;100;114,35;114,35
100271;TSM - Evolution İndeks;1;100;92,02;92,02
100670;TSM - Evolution İndeks;1;100;94,48;94,48
100438;TSM - Evolution İndeks;1;100;96,79;96,79
100496;TSM - Evolution İndeks;1;100;96,85;96,85
100503;TSM - Evolution İndeks;1;100;100,45;100,45
100720;TSM - Evolution İndeks;1;100;109,05;109,05
100947;TSM - Evolution İndeks;1;100;107,65;107,65
100948;TSM - Evolution İndeks;1;100;96,37;96,37
101448;TSM - Evolution İndeks;1;100;103,29;103,29
101467;TSM - Evolution İndeks;1;100;90,12;90,12
101468;TSM - Evolution İndeks;1;100;107,85;107,85
101549;TSM - Evolution İndeks;1;100;106,02;106,02
101692;TSM - Evolution İndeks;1;100;89,45;89,45
100581;TSM - Evolution İndeks;1;100;134,7;134,7
100595;TSM - Evolution İndeks;1;100;110,25;110,25
100272;TSM - Evolution İndeks;1;100;95,1;95,1
100293;TSM - Evolution İndeks;1;100;93,93;93,93
100358;TSM - Evolution İndeks;1;100;95,54;95,54
100356;TSM - Evolution İndeks;1;100;98,85;98,85
100864;TSM - Evolution İndeks;1;100;99,47;99,47
101015;TSM - Evolution İndeks;1;100;100,34;100,34
101273;TSM - Evolution İndeks;1;100;102,62;102,62
101449;TSM - Evolution İndeks;1;100;98,41;98,41
101450;TSM - Evolution İndeks;1;100;110,18;110,18
101574;TSM - Evolution İndeks;1;100;64,55;64,55
101655;TSM - Evolution İndeks;1;100;171,16;171,16
101656;TSM - Evolution İndeks;1;100;154,35;154,35
101657;TSM - Evolution İndeks;1;100;118,33;118,33
100240;TSM - Evolution İndeks;1;100;110,02;110,02
100239;TSM - Evolution İndeks;1;100;103,45;103,45
100071;TSM - Evolution İndeks;1;100;105,19;105,19
100261;TSM - Evolution İndeks;1;100;103,74;103,74
100329;TSM - Evolution İndeks;1;100;106,62;106,62
100360;TSM - Evolution İndeks;1;100;97,16;97,16
101557;TSM - Evolution İndeks;1;100;97,63;97,63
101658;TSM - Evolution İndeks;1;100;104,22;104,22
100448;TSM - Evolution İndeks;1;100;90,35;90,35
100076;TSM - Evolution İndeks;1;100;89,94;89,94
100103;TSM - Evolution İndeks;1;100;106,42;106,42
100250;TSM - Evolution İndeks;1;100;106,48;106,48
100654;TSM - Evolution İndeks;1;100;109,31;109,31
100487;TSM - Evolution İndeks;1;100;112,89;112,89
100936;TSM - Evolution İndeks;1;100;104,14;104,14
101256;TSM - Evolution İndeks;1;100;104,71;104,71
101460;TSM - Evolution İndeks;1;100;109,13;109,13
101474;TSM - Evolution İndeks;1;100;137,78;137,78
101558;TSM - Evolution İndeks;1;100;103,43;103,43
101659;TSM - Evolution İndeks;1;100;105,09;105,09
101461;TSM - Evolution İndeks;1;100;123,89;123,89
101693;TSM - Evolution İndeks;1;100;112,74;112,74
101323;TSM - Evolution İndeks;1;100;131,52;131,52
100596;TSM - Evolution İndeks;1;100;95,78;95,78
100950;TSM - Evolution İndeks;1;100;90,42;90,42
101020;TSM - Evolution İndeks;1;100;95,14;95,14
101249;TSM - Evolution İndeks;1;100;92,11;92,11
100422;TSM - Evolution İndeks;1;100;108,5;108,5
100522;TSM - Evolution İndeks;1;100;93,34;93,34
100585;TSM - Evolution İndeks;1;100;133,96;133,96
100893;TSM - Evolution İndeks;1;100;89,97;89,97
