Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100444;TSM - Market İndeks;1;100;149,584423;149,584423
100329;TSM - Market İndeks;1;100;145,2134552;145,2134552
100662;TSM - Market İndeks;1;100;139,3403601;139,3403601
100466;TSM - Market İndeks;1;100;137,8340336;137,8340336
100086;TSM - Market İndeks;1;100;128,5319444;128,5319444
100538;TSM - Market İndeks;1;100;146,1075739;146,1075739
100670;TSM - Market İndeks;1;100;154,6547948;154,6547948
100250;TSM - Market İndeks;1;100;137,1952584;137,1952584
100438;TSM - Market İndeks;1;100;148,600925;148,600925
100936;TSM - Market İndeks;1;100;130,9345997;130,9345997
100487;TSM - Market İndeks;1;100;144,5436075;144,5436075
100103;TSM - Market İndeks;1;100;136,4360734;136,4360734
100503;TSM - Market İndeks;1;100;143,1865922;143,1865922
101558;TSM - Market İndeks;1;100;119,8690859;119,8690859
100240;TSM - Market İndeks;1;100;129,4709762;129,4709762
100076;TSM - Market İndeks;1;100;132,6580807;132,6580807
100654;TSM - Market İndeks;1;100;132,5040099;132,5040099
101567;TSM - Market İndeks;1;100;120,2400029;120,2400029
100247;TSM - Market İndeks;1;100;121,7415722;121,7415722
101256;TSM - Market İndeks;1;100;122,6301765;122,6301765
100467;TSM - Market İndeks;1;100;131,5300233;131,5300233
100796;TSM - Market İndeks;1;100;127,6692604;127,6692604
101474;TSM - Market İndeks;1;100;118,4710134;118,4710134
100448;TSM - Market İndeks;1;100;124,0023187;124,0023187
100324;TSM - Market İndeks;1;100;106,9089138;106,9089138
100581;TSM - Market İndeks;1;100;112,6972361;112,6972361
100595;TSM - Market İndeks;1;100;119,7098285;119,7098285
100457;TSM - Market İndeks;1;100;119,9210928;119,9210928
101658;TSM - Market İndeks;1;100;127,210249;127,210249
100261;TSM - Market İndeks;1;100;111,378631;111,378631
101460;TSM - Market İndeks;1;100;118,4663866;118,4663866
100071;TSM - Market İndeks;1;100;125,9370827;125,9370827
100462;TSM - Market İndeks;1;100;118,0110349;118,0110349
100336;TSM - Market İndeks;1;100;109,5174529;109,5174529
100122;TSM - Market İndeks;1;100;104,1601;104,1601
101262;TSM - Market İndeks;1;100;100,0906076;100,0906076
100948;TSM - Market İndeks;1;100;103,944906;103,944906
101463;TSM - Market İndeks;1;100;102,3928149;102,3928149
100356;TSM - Market İndeks;1;100;130,2088659;130,2088659
101549;TSM - Market İndeks;1;100;116,3305469;116,3305469
100416;TSM - Market İndeks;1;100;103,2444025;103,2444025
100361;TSM - Market İndeks;1;100;104,5543822;104,5543822
100960;TSM - Market İndeks;1;100;107,1436479;107,1436479
100947;TSM - Market İndeks;1;100;98,08614412;98,08614412
101468;TSM - Market İndeks;1;100;98,71360609;98,71360609
