Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;242;204;84,3
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;245;219;89,39
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;233;212;90,99
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;112;93;83,04
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;225;140;62,22
100079;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;216;187;86,57
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;185;177;95,68
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;188;179;95,21
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;190;185;97,37
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;100;99;99
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;195;192;98,46
100212;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;194;168;86,6
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;173;160;92,49
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;178;146;82,02
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;175;132;75,43
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;88;62;70,45
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;196;171;87,24
100199;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;200;196;98
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;198;190;95,96
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;196;188;95,92
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;192;187;97,4
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;95;86;90,53
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;193;186;96,37
100102;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;185;179;96,76
100195;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;194;190;97,94
100195;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;198;198;100
100195;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;219;216;98,63
