Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;102;100;98,04
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;112;112;100
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;112;109;97,32
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;56;56;100
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;112;70;62,5
100079;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;120;111;92,5
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;100;92;92
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;101;100;99,01
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;103;95;92,23
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;52;52;100
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;104;104;100
100212;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;102;87;85,29
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;100;84;84
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;103;68;66,02
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;104;75;72,12
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;43;30;69,77
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;111;102;91,89
100199;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;125;119;95,2
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;100;95;95
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;102;97;95,1
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;96;95;98,96
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;51;49;96,08
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;101;101;100
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;104;100;96,15
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;110;103;93,64
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;111;109;98,2
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;112;111;99,11
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;56;56;100
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;113;112;99,12
100195;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;109;107;98,17
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;132;112;84,85
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;100;77;77
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;116;69;59,48
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;68;48;70,59
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;126;78;61,9
100274;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;121;64;52,89
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;86;45;52,33
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;108;48;44,44
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;108;62;57,41
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;54;21;38,89
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;85;44;51,76
100288;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;84;55;65,48
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;78;68;87,18
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;124;122;98,39
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;125;124;99,2
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;60;60;100
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;120;119;99,17
100101;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;125;110;88
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;108;84;77,78
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;108;99;91,67
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;120;116;96,67
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;49;49;100
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;120;118;98,33
100315;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;88;86;97,73
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;112;99;88,39
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;112;95;84,82
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;119;90;75,63
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;59;37;62,71
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;94;69;73,4
100341;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;80;62;77,5
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;120;91;75,83
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;101;65;64,36
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;104;60;57,69
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;40;14;35
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;99;42;42,42
100323;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;73;36;49,32
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;100;75;75
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;97;86;88,66
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;91;65;71,43
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;33;29;87,88
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;95;79;83,16
100116;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;78;33;42,31
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;95;86;90,53
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;94;83;88,3
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;80;64;80
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;26;17;65,38
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;73;66;90,41
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;74;48;64,86
100140;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;158;157;99,37
100140;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;159;159;100
