Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100272;TSM - Medikal Sınav Başarısı;1;100;97;97
100293;TSM - Medikal Sınav Başarısı;1;100;97;97
100356;TSM - Medikal Sınav Başarısı;1;100;97;97
100358;TSM - Medikal Sınav Başarısı;1;100;100;100
100581;TSM - Medikal Sınav Başarısı;1;100;97;97
100595;TSM - Medikal Sınav Başarısı;1;100;100;100
100864;TSM - Medikal Sınav Başarısı;1;100;93;93
101273;TSM - Medikal Sınav Başarısı;1;100;93;93
101655;TSM - Medikal Sınav Başarısı;1;100;97;97
101656;TSM - Medikal Sınav Başarısı;1;100;93;93
100438;TSM - Medikal Sınav Başarısı;1;100;86;86
100496;TSM - Medikal Sınav Başarısı;1;100;90;90
100503;TSM - Medikal Sınav Başarısı;1;100;83;83
100670;TSM - Medikal Sınav Başarısı;1;100;79;79
100720;TSM - Medikal Sınav Başarısı;1;100;90;90
100947;TSM - Medikal Sınav Başarısı;1;100;100;100
100948;TSM - Medikal Sınav Başarısı;1;100;83;83
101467;TSM - Medikal Sınav Başarısı;1;100;90;90
101549;TSM - Medikal Sınav Başarısı;1;100;90;90
101692;TSM - Medikal Sınav Başarısı;1;100;97;97
100104;TSM - Medikal Sınav Başarısı;1;100;97;97
100119;TSM - Medikal Sınav Başarısı;1;100;86;86
100336;TSM - Medikal Sınav Başarısı;1;100;86;86
100398;TSM - Medikal Sınav Başarısı;1;100;97;97
100450;TSM - Medikal Sınav Başarısı;1;100;86;86
100465;TSM - Medikal Sınav Başarısı;1;100;79;79
100467;TSM - Medikal Sınav Başarısı;1;100;100;100
100561;TSM - Medikal Sınav Başarısı;1;100;90;90
100574;TSM - Medikal Sınav Başarısı;1;100;97;97
100662;TSM - Medikal Sınav Başarısı;1;100;97;97
100711;TSM - Medikal Sınav Başarısı;1;100;90;90
101463;TSM - Medikal Sınav Başarısı;1;100;90;90
100103;TSM - Medikal Sınav Başarısı;1;100;97;97
100250;TSM - Medikal Sınav Başarısı;1;100;90;90
100487;TSM - Medikal Sınav Başarısı;1;100;72;72
100654;TSM - Medikal Sınav Başarısı;1;100;93;93
101460;TSM - Medikal Sınav Başarısı;1;100;97;97
101558;TSM - Medikal Sınav Başarısı;1;100;83;83
101659;TSM - Medikal Sınav Başarısı;1;100;83;83
100086;TSM - Medikal Sınav Başarısı;1;100;66;66
100247;TSM - Medikal Sınav Başarısı;1;100;97;97
100444;TSM - Medikal Sınav Başarısı;1;100;86;86
100462;TSM - Medikal Sınav Başarısı;1;100;97;97
100707;TSM - Medikal Sınav Başarısı;1;100;100;100
100769;TSM - Medikal Sınav Başarısı;1;100;83;83
101566;TSM - Medikal Sınav Başarısı;1;100;90;90
101567;TSM - Medikal Sınav Başarısı;1;100;93;93
101654;TSM - Medikal Sınav Başarısı;1;100;83;83
100122;TSM - Medikal Sınav Başarısı;1;100;97;97
100324;TSM - Medikal Sınav Başarısı;1;100;97;97
100332;TSM - Medikal Sınav Başarısı;1;100;97;97
100416;TSM - Medikal Sınav Başarısı;1;100;97;97
100538;TSM - Medikal Sınav Başarısı;1;100;83;83
100626;TSM - Medikal Sınav Başarısı;1;100;97;97
100671;TSM - Medikal Sınav Başarısı;1;100;97;97
101251;TSM - Medikal Sınav Başarısı;1;100;97;97
101575;TSM - Medikal Sınav Başarısı;1;100;86;86
101691;TSM - Medikal Sınav Başarısı;1;100;97;97
100071;TSM - Medikal Sınav Başarısı;1;100;90;90
100240;TSM - Medikal Sınav Başarısı;1;100;93;93
100261;TSM - Medikal Sınav Başarısı;1;100;93;93
100329;TSM - Medikal Sınav Başarısı;1;100;93;93
100360;TSM - Medikal Sınav Başarısı;1;100;93;93
101658;TSM - Medikal Sınav Başarısı;1;100;97;97
100361;TSM - Medikal Sınav Başarısı;1;100;97;97
100449;TSM - Medikal Sınav Başarısı;1;100;93;93
100466;TSM - Medikal Sınav Başarısı;1;100;93;93
100506;TSM - Medikal Sınav Başarısı;1;100;93;93
100517;TSM - Medikal Sınav Başarısı;1;100;90;90
100196;TSM - Medikal Sınav Başarısı;1;100;100;100
