Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100198;BTM - Toplam Grup Kota Realizasyonu;1;846138,73;841139,04;99,41
100198;BTM - Toplam Grup Kota Realizasyonu;2;958874,69;957849,65;99,89
100198;BTM - Toplam Grup Kota Realizasyonu;3;879598,09;874472,67;99,42
100198;BTM - Toplam Grup Kota Realizasyonu;4;906066,95;783439,91;86,47
100198;BTM - Toplam Grup Kota Realizasyonu;5;935875,99;861316,08;92,03
100198;BTM - Toplam Grup Kota Realizasyonu;6;930089,6;879185,62;94,53
100074;BTM - Toplam Grup Kota Realizasyonu;1;799908,98;814472,82;101,82
100074;BTM - Toplam Grup Kota Realizasyonu;2;904289,2;887121,46;98,1
100074;BTM - Toplam Grup Kota Realizasyonu;3;808139,58;712414,68;88,15
100074;BTM - Toplam Grup Kota Realizasyonu;4;833561,6;704391,06;84,5
100074;BTM - Toplam Grup Kota Realizasyonu;5;853421,49;808230,73;94,7
100074;BTM - Toplam Grup Kota Realizasyonu;6;838152,13;732715,41;87,42
100087;BTM - Toplam Grup Kota Realizasyonu;1;742648,12;714335,25;96,19
100087;BTM - Toplam Grup Kota Realizasyonu;2;845144,82;726080,85;85,91
100087;BTM - Toplam Grup Kota Realizasyonu;3;763606,42;615446,23;80,6
100087;BTM - Toplam Grup Kota Realizasyonu;4;785860,8;573603,27;72,99
100087;BTM - Toplam Grup Kota Realizasyonu;5;823773,87;782662,44;95,01
100087;BTM - Toplam Grup Kota Realizasyonu;6;835688,4;719478,46;86,09
100266;BTM - Toplam Grup Kota Realizasyonu;1;1376066,62;1362142,36;98,99
100266;BTM - Toplam Grup Kota Realizasyonu;2;1214407,73;1039113,14;85,57
100266;BTM - Toplam Grup Kota Realizasyonu;3;962758,47;846469,53;87,92
100266;BTM - Toplam Grup Kota Realizasyonu;4;1013209,06;937650,25;92,54
100266;BTM - Toplam Grup Kota Realizasyonu;5;1091047,13;1085058,01;99,45
100266;BTM - Toplam Grup Kota Realizasyonu;6;1262170,53;1118431,91;88,61
100524;BTM - Toplam Grup Kota Realizasyonu;1;987797,87;995096,07;100,74
100524;BTM - Toplam Grup Kota Realizasyonu;2;1227853,48;985859,84;80,29
100524;BTM - Toplam Grup Kota Realizasyonu;3;1121376;995408,63;88,77
100524;BTM - Toplam Grup Kota Realizasyonu;4;1032646,29;1045784,55;101,27
100524;BTM - Toplam Grup Kota Realizasyonu;5;1186300,73;1123860,6;94,74
100524;BTM - Toplam Grup Kota Realizasyonu;6;1149189,73;950319,06;82,69
100162;BTM - Toplam Grup Kota Realizasyonu;1;678188,02;736284,36;108,57
100162;BTM - Toplam Grup Kota Realizasyonu;2;774123,77;792713,81;102,4
100162;BTM - Toplam Grup Kota Realizasyonu;3;699750,28;773550,45;110,55
100162;BTM - Toplam Grup Kota Realizasyonu;4;721617,67;759645,88;105,27
100162;BTM - Toplam Grup Kota Realizasyonu;5;752552,09;872413,59;115,93
100162;BTM - Toplam Grup Kota Realizasyonu;6;760655,92;896816,47;117,9
100389;BTM - Toplam Grup Kota Realizasyonu;1;1938191,21;1996872,05;103,03
100389;BTM - Toplam Grup Kota Realizasyonu;2;2237972,08;1991445,94;88,98
100389;BTM - Toplam Grup Kota Realizasyonu;3;2031584,62;1733039,52;85,3
100389;BTM - Toplam Grup Kota Realizasyonu;4;1847156,52;1921788,48;104,04
100389;BTM - Toplam Grup Kota Realizasyonu;5;2276637,75;2068633,7;90,86
100389;BTM - Toplam Grup Kota Realizasyonu;6;2343952,34;2062979,76;88,01
100377;BTM - Toplam Grup Kota Realizasyonu;1;1380002,04;1424343,41;103,21
100377;BTM - Toplam Grup Kota Realizasyonu;2;1589791,97;1493633,11;93,95
100377;BTM - Toplam Grup Kota Realizasyonu;3;1432702,48;1359000,85;94,86
100377;BTM - Toplam Grup Kota Realizasyonu;4;1307619,99;1698593,82;129,9
100377;BTM - Toplam Grup Kota Realizasyonu;5;1598322,75;1733749,75;108,47
100377;BTM - Toplam Grup Kota Realizasyonu;6;1628968,38;1648732,11;101,21
100295;BTM - Toplam Grup Kota Realizasyonu;1;1303020,41;1343645,75;103,12
100295;BTM - Toplam Grup Kota Realizasyonu;2;1548993,03;1493250,16;96,4
100295;BTM - Toplam Grup Kota Realizasyonu;3;1499908,6;1446005,44;96,41
100295;BTM - Toplam Grup Kota Realizasyonu;4;1375213,84;1365474,02;99,29
100295;BTM - Toplam Grup Kota Realizasyonu;5;1536045,66;1596354,21;103,93
100295;BTM - Toplam Grup Kota Realizasyonu;6;1602188,04;1464958,27;91,43
100008;BTM - Toplam Grup Kota Realizasyonu;1;1341202,89;1418467,98;105,76
100008;BTM - Toplam Grup Kota Realizasyonu;2;1542983,38;1309992,89;84,9
100008;BTM - Toplam Grup Kota Realizasyonu;3;1385783,42;1007462,25;72,7
100008;BTM - Toplam Grup Kota Realizasyonu;4;1268177,17;1263696,59;99,65
100008;BTM - Toplam Grup Kota Realizasyonu;5;1564952,47;1437483,63;91,85
100008;BTM - Toplam Grup Kota Realizasyonu;6;1591946,78;1477850,34;92,83
100343;BTM - Toplam Grup Kota Realizasyonu;1;1691346,68;1680311,01;99,35
100343;BTM - Toplam Grup Kota Realizasyonu;2;2072739,75;1706741,48;82,34
100343;BTM - Toplam Grup Kota Realizasyonu;3;1924713,18;1891488,81;98,27
100343;BTM - Toplam Grup Kota Realizasyonu;4;1767239,3;1637529,32;92,66
100343;BTM - Toplam Grup Kota Realizasyonu;5;2037635,05;2063042,71;101,25
100343;BTM - Toplam Grup Kota Realizasyonu;6;1975158,3;1886495,89;95,51
100512;BTM - Toplam Grup Kota Realizasyonu;1;1056987,41;1163365,18;110,06
100512;BTM - Toplam Grup Kota Realizasyonu;2;1300859,85;1054151,22;81,03
100512;BTM - Toplam Grup Kota Realizasyonu;3;1201356,24;1084933,71;90,31
100512;BTM - Toplam Grup Kota Realizasyonu;4;1102964,32;1126154,65;102,1
100512;BTM - Toplam Grup Kota Realizasyonu;5;1273543,88;1346667,39;105,74
100512;BTM - Toplam Grup Kota Realizasyonu;6;1232833,47;1209178,32;98,08
100077;BTM - Toplam Grup Kota Realizasyonu;1;1622178,83;1711408,18;105,5
100077;BTM - Toplam Grup Kota Realizasyonu;2;1479773,99;1489507,7;100,66
100077;BTM - Toplam Grup Kota Realizasyonu;3;1189535,19;1184918,03;99,61
100077;BTM - Toplam Grup Kota Realizasyonu;4;1196455,38;1236068,02;103,31
100077;BTM - Toplam Grup Kota Realizasyonu;5;1300648,57;1425078,06;109,57
100077;BTM - Toplam Grup Kota Realizasyonu;6;1498316,78;1483286,3;99
100454;BTM - Toplam Grup Kota Realizasyonu;1;1249990,33;1468028,8;117,44
100454;BTM - Toplam Grup Kota Realizasyonu;2;1549858,13;1543400,75;99,58
100454;BTM - Toplam Grup Kota Realizasyonu;3;1427918,74;1438591,61;100,75
100454;BTM - Toplam Grup Kota Realizasyonu;4;1315393,39;1312502,71;99,78
100454;BTM - Toplam Grup Kota Realizasyonu;5;1505985,4;1509101,16;100,21
100454;BTM - Toplam Grup Kota Realizasyonu;6;1454259,77;1511137,57;103,91
100084;BTM - Toplam Grup Kota Realizasyonu;1;2692686,75;2689131,75;99,87
100084;BTM - Toplam Grup Kota Realizasyonu;2;2428885,85;2181964,9;89,83
100084;BTM - Toplam Grup Kota Realizasyonu;3;1928172,41;1663085,52;86,25
100084;BTM - Toplam Grup Kota Realizasyonu;4;1991441,26;1847701,61;92,78
100084;BTM - Toplam Grup Kota Realizasyonu;5;2167713,32;2324368,32;107,23
100084;BTM - Toplam Grup Kota Realizasyonu;6;2529146,39;2490073,46;98,46
100586;BTM - Toplam Grup Kota Realizasyonu;1;1089081,97;1047913,17;96,22
100586;BTM - Toplam Grup Kota Realizasyonu;2;1301763,81;1109016,22;85,19
100586;BTM - Toplam Grup Kota Realizasyonu;3;1273595,85;1086312,42;85,29
100586;BTM - Toplam Grup Kota Realizasyonu;4;1167269,38;962681,6;82,47
100586;BTM - Toplam Grup Kota Realizasyonu;5;1307732,8;1155929,54;88,39
