Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;BRONCHOREST ;185683,402;107854,29;58,08504629
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;DICLOFLAM;1118670,135;889913,64;79,55103229
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;PARAFON;1020506,737;943292,48;92,43373371
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;BRONCHOREST ;163091,489;91551,63;56,13513652
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;DICLOFLAM;1088780,636;978742,38;89,89344114
100008;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;PARAFON;828429,7505;858104,07;103,5819959
100074;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;EVASİF;293421,7797;291123,54;99,21674536
100074;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;FERROVEN ;229892,317;268817,59;116,9319591
100074;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;EVASİF;353321,6372;326952;92,53664808
100074;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;FERROVEN ;232689,8781;236216,76;101,5157006
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ANTHIX ;236904,8048;238125,24;100,5151585
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;FLUREND;237326,7519;276574;116,5372204
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ILIADIN;577171,5405;648038,49;112,2783167
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;MAGNIS;51334,90092;64676,92;125,9901526
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;TERBISIL;166381,5113;149004,11;89,55568971
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ANTHIX ;73638,07881;69088;93,82102455
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;FLUREND;190087,9365;186078,2;97,89058863
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ILIADIN;1160809,758;1368272,28;117,8722242
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;MAGNIS;51232,44569;53637,92;104,6952166
100075;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;PULMOREST;57281,52421;49936,3;87,17697493
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ANTHIX ;297216,6797;336398,86;113,1830355
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;FLUREND;314633,3179;340190,89;108,1229707
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;ILIADIN;680893,5058;654727,53;96,15711186
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;MAGNIS;85271,01895;109623,08;128,5584262
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);1;TERBISIL;219586,9341;206035,24;93,82855171
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ANTHIX ;92423,07842;104660,16;113,2402878
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;FLUREND;252814,2293;285455,5;112,9111683
100077;BTM - Hedef Ürünler Kota Realizasyonu (2 Stratejik Ürün + Son 3 Yılda Çıkan Lansman Ürünleri);2;ILIADIN;1379679,869;1519285,18;110,1186742
