Çalışan Sicil no;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
100421;BTM - Evolution İndeks;1;100;93,4;93,4
100512;BTM - Evolution İndeks;1;100;98,36;98,36
100343;BTM - Evolution İndeks;1;100;101,66;101,66
100090;BTM - Evolution İndeks;1;100;97,77;97,77
100524;BTM - Evolution İndeks;1;100;95,98;95,98
100139;BTM - Evolution İndeks;1;100;98,12;98,12
101120;BTM - Evolution İndeks;1;100;106,08;106,08
100161;BTM - Evolution İndeks;1;100;102,43;102,43
100454;BTM - Evolution İndeks;1;100;106,44;106,44
100238;BTM - Evolution İndeks;1;100;102,78;102,78
100008;BTM - Evolution İndeks;1;100;102,81;102,81
100389;BTM - Evolution İndeks;1;100;99,28;99,28
100213;BTM - Evolution İndeks;1;100;97,64;97,64
100299;BTM - Evolution İndeks;1;100;103,09;103,09
100264;BTM - Evolution İndeks;1;100;100,08;100,08
100285;BTM - Evolution İndeks;1;100;101,99;101,99
100377;BTM - Evolution İndeks;1;100;96,6;96,6
100387;BTM - Evolution İndeks;1;100;98,51;98,51
100313;BTM - Evolution İndeks;1;100;101,18;101,18
100419;BTM - Evolution İndeks;1;100;102,92;102,92
100234;BTM - Evolution İndeks;1;100;99,96;99,96
100266;BTM - Evolution İndeks;1;100;102,8;102,8
100088;BTM - Evolution İndeks;1;100;96,53;96,53
100493;BTM - Evolution İndeks;1;100;100,48;100,48
100084;BTM - Evolution İndeks;1;100;101,49;101,49
100075;BTM - Evolution İndeks;1;100;101,2;101,2
100077;BTM - Evolution İndeks;1;100;94,78;94,78
100311;BTM - Evolution İndeks;1;100;106,83;106,83
100268;BTM - Evolution İndeks;1;100;100,18;100,18
100295;BTM - Evolution İndeks;1;100;98,54;98,54
100297;BTM - Evolution İndeks;1;100;97,01;97,29
100659;BTM - Evolution İndeks;1;100;104,66;104,66
100586;BTM - Evolution İndeks;1;100;102,75;102,75
100115;BTM - Evolution İndeks;1;100;96,86;96,86
100319;BTM - Evolution İndeks;1;100;94,86;94,86
100087;BTM - Evolution İndeks;1;100;103,48;103,48
100074;BTM - Evolution İndeks;1;100;93,28;93,28
100198;BTM - Evolution İndeks;1;100;96,38;96,38
100784;BTM - Evolution İndeks;1;100;93,26;93,26
100678;BTM - Evolution İndeks;1;100;102,23;102,23
100162;BTM - Evolution İndeks;1;100;117,78;117,78
100421;BTM - Evolution İndeks;2;100;96,05;96,05
100512;BTM - Evolution İndeks;2;100;97,83;97,83
100343;BTM - Evolution İndeks;2;100;99,43;99,43
100090;BTM - Evolution İndeks;2;100;100,04;100,04
100524;BTM - Evolution İndeks;2;100;91,77;91,77
100139;BTM - Evolution İndeks;2;100;100,37;100,37
101120;BTM - Evolution İndeks;2;100;111,21;111,21
100161;BTM - Evolution İndeks;2;100;104,46;104,46
100454;BTM - Evolution İndeks;2;100;96,71;96,71
100238;BTM - Evolution İndeks;2;100;96,95;96,95
100008;BTM - Evolution İndeks;2;100;95,99;95,99
100389;BTM - Evolution İndeks;2;100;100,66;100,66
100213;BTM - Evolution İndeks;2;100;102,22;102,22
100299;BTM - Evolution İndeks;2;100;99,23;99,23
100264;BTM - Evolution İndeks;2;100;100,64;100,64
100285;BTM - Evolution İndeks;2;100;102,97;102,97
100377;BTM - Evolution İndeks;2;100;99,93;99,93
100387;BTM - Evolution İndeks;2;100;102,51;102,51
100087;BTM - Evolution İndeks;2;100;98,2;98,2
100074;BTM - Evolution İndeks;2;100;85,78;85,78
100198;BTM - Evolution İndeks;2;100;94,7;94,7
100784;BTM - Evolution İndeks;2;100;98,31;98,31
100678;BTM - Evolution İndeks;2;100;99,6;99,6
100162;BTM - Evolution İndeks;2;100;130,26;130,26
100313;BTM - Evolution İndeks;2;100;97,92;97,92
100419;BTM - Evolution İndeks;2;100;95,16;95,16
100234;BTM - Evolution İndeks;2;100;100,66;100,66
100266;BTM - Evolution İndeks;2;100;96,99;96,99
100088;BTM - Evolution İndeks;2;100;103,7;103,7
100493;BTM - Evolution İndeks;2;100;99,75;99,75
100084;BTM - Evolution İndeks;2;100;105,1;105,1
100075;BTM - Evolution İndeks;2;100;99,08;99,08
100077;BTM - Evolution İndeks;2;100;97,67;97,67
100311;BTM - Evolution İndeks;2;100;112,41;112,41
100268;BTM - Evolution İndeks;2;100;95,78;95,78
100295;BTM - Evolution İndeks;2;100;97,94;97,94
100297;BTM - Evolution İndeks;2;100;98,82;98,82
100659;BTM - Evolution İndeks;2;100;102,24;102,24
100586;BTM - Evolution İndeks;2;100;100,89;100,89
100115;BTM - Evolution İndeks;2;100;98,93;98,93
100319;BTM - Evolution İndeks;2;100;95,68;95,68
