Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100454;BTM - Market İndeks;1;100;123,8575764;123,8575764
100512;BTM - Market İndeks;1;100;109,7431062;109,7431062
100161;BTM - Market İndeks;1;100;107,7336447;107,7336447
100421;BTM - Market İndeks;1;100;100,0305524;100,0305524
100090;BTM - Market İndeks;1;100;100,7616721;100,7616721
100139;BTM - Market İndeks;1;100;104,5214988;104,5214988
100343;BTM - Market İndeks;1;100;100,2791018;100,2791018
100524;BTM - Market İndeks;1;100;85,91745444;85,91745444
101120;BTM - Market İndeks;1;100;84,22251021;84,22251021
100264;BTM - Market İndeks;1;100;124,0506105;124,0506105
100377;BTM - Market İndeks;1;100;127,6436715;127,6436715
100008;BTM - Market İndeks;1;100;112,4709546;112,4709546
100389;BTM - Market İndeks;1;100;102,4340004;102,4340004
100387;BTM - Market İndeks;1;100;102,9893235;102,9893235
100213;BTM - Market İndeks;1;100;99,22937894;99,22937894
100238;BTM - Market İndeks;1;100;84,12657352;84,12657352
100299;BTM - Market İndeks;1;100;87,55699829;87,55699829
100285;BTM - Market İndeks;1;100;79,99854111;79,99854111
100678;BTM - Market İndeks;1;100;125,458225;125,458225
100087;BTM - Market İndeks;1;100;88,14989652;88,14989652
100784;BTM - Market İndeks;1;100;91,89730418;91,89730418
100198;BTM - Market İndeks;1;100;97,30941334;97,30941334
100074;BTM - Market İndeks;1;100;104,6422194;104,6422194
100162;BTM - Market İndeks;1;100;105,0512086;105,0512086
100075;BTM - Market İndeks;1;100;113,6427215;113,6427215
100419;BTM - Market İndeks;1;100;114,87016;114,87016
100077;BTM - Market İndeks;1;100;110,5935133;110,5935133
100234;BTM - Market İndeks;1;100;101,5661365;101,5661365
100313;BTM - Market İndeks;1;100;85,54905597;85,54905597
100084;BTM - Market İndeks;1;100;102,1415581;102,1415581
100493;BTM - Market İndeks;1;100;96,06646569;96,06646569
100088;BTM - Market İndeks;1;100;97,04380563;97,04380563
100266;BTM - Market İndeks;1;100;91,88552252;91,88552252
100454;BTM - Market İndeks;2;100;129,3580721;129,3580721
100139;BTM - Market İndeks;2;100;109,8974054;109,8974054
100161;BTM - Market İndeks;2;100;106,7952222;106,7952222
100090;BTM - Market İndeks;2;100;107,0010739;107,0010739
100421;BTM - Market İndeks;2;100;103,7394215;103,7394215
100343;BTM - Market İndeks;2;100;99,58327873;99,58327873
100512;BTM - Market İndeks;2;100;92,15631494;92,15631494
100524;BTM - Market İndeks;2;100;82,12873796;82,12873796
101120;BTM - Market İndeks;2;100;84,26512584;84,26512584
100264;BTM - Market İndeks;2;100;137,5591979;137,5591979
100377;BTM - Market İndeks;2;100;127,4559444;127,4559444
100387;BTM - Market İndeks;2;100;105,8966168;105,8966168
100238;BTM - Market İndeks;2;100;90,73051467;90,73051467
100389;BTM - Market İndeks;2;100;96,99496914;96,99496914
100008;BTM - Market İndeks;2;100;97,4054497;97,4054497
100213;BTM - Market İndeks;2;100;100,2052757;100,2052757
100285;BTM - Market İndeks;2;100;78,05742604;78,05742604
100299;BTM - Market İndeks;2;100;81,91352122;81,91352122
100678;BTM - Market İndeks;2;100;128,4097094;128,4097094
100784;BTM - Market İndeks;2;100;97,13164529;97,13164529
100198;BTM - Market İndeks;2;100;100,6954965;100,6954965
100074;BTM - Market İndeks;2;100;102,9643333;102,9643333
100162;BTM - Market İndeks;2;100;105,0042967;105,0042967
100087;BTM - Market İndeks;2;100;80,1574017;80,1574017
100075;BTM - Market İndeks;2;100;118,5497856;118,5497856
