Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100139;BTM - Medikal Sınav Başarısı;1;100;90;90
100343;BTM - Medikal Sınav Başarısı;1;100;93;93
100512;BTM - Medikal Sınav Başarısı;1;100;97;97
100421;BTM - Medikal Sınav Başarısı;1;100;97;97
100161;BTM - Medikal Sınav Başarısı;1;100;93;93
100524;BTM - Medikal Sınav Başarısı;1;100;93;93
100198;BTM - Medikal Sınav Başarısı;1;100;80;80
100162;BTM - Medikal Sınav Başarısı;1;100;80;80
100074;BTM - Medikal Sınav Başarısı;1;100;92;92
100087;BTM - Medikal Sınav Başarısı;1;100;96;96
100678;BTM - Medikal Sınav Başarısı;1;100;88;88
100285;BTM - Medikal Sınav Başarısı;1;100;83;83
100264;BTM - Medikal Sınav Başarısı;1;100;77;77
100389;BTM - Medikal Sınav Başarısı;1;100;73;73
100387;BTM - Medikal Sınav Başarısı;1;100;87;87
100008;BTM - Medikal Sınav Başarısı;1;100;90;90
100238;BTM - Medikal Sınav Başarısı;1;100;100;100
100299;BTM - Medikal Sınav Başarısı;1;100;80;80
100377;BTM - Medikal Sınav Başarısı;1;100;87;87
100084;BTM - Medikal Sınav Başarısı;1;100;97;97
100493;BTM - Medikal Sınav Başarısı;1;100;90;90
100234;BTM - Medikal Sınav Başarısı;1;100;90;90
100077;BTM - Medikal Sınav Başarısı;1;100;93;93
100419;BTM - Medikal Sınav Başarısı;1;100;97;97
100313;BTM - Medikal Sınav Başarısı;1;100;80;80
100088;BTM - Medikal Sınav Başarısı;1;100;97;97
100075;BTM - Medikal Sınav Başarısı;1;100;90;90
100586;BTM - Medikal Sınav Başarısı;1;100;100;100
100659;BTM - Medikal Sınav Başarısı;1;100;100;100
100295;BTM - Medikal Sınav Başarısı;1;100;87;87
100319;BTM - Medikal Sınav Başarısı;1;100;100;100
100268;BTM - Medikal Sınav Başarısı;1;100;74;74
100311;BTM - Medikal Sınav Başarısı;1;100;78;78
100297;BTM - Medikal Sınav Başarısı;1;100;65;65
100115;BTM - Medikal Sınav Başarısı;1;100;96;96
100784;BTM - Medikal Sınav Başarısı;1;100;84;84
100454;BTM - Medikal Sınav Başarısı;1;100;100;100
100139;BTM - Medikal Sınav Başarısı;2;100;93;93
100343;BTM - Medikal Sınav Başarısı;2;100;83;83
100512;BTM - Medikal Sınav Başarısı;2;100;90;90
100421;BTM - Medikal Sınav Başarısı;2;100;93;93
100161;BTM - Medikal Sınav Başarısı;2;100;97;97
100524;BTM - Medikal Sınav Başarısı;2;100;97;97
100198;BTM - Medikal Sınav Başarısı;2;100;97;97
100162;BTM - Medikal Sınav Başarısı;2;100;100;100
100074;BTM - Medikal Sınav Başarısı;2;100;100;100
100087;BTM - Medikal Sınav Başarısı;2;100;100;100
100678;BTM - Medikal Sınav Başarısı;2;100;100;100
100285;BTM - Medikal Sınav Başarısı;2;100;93;93
100264;BTM - Medikal Sınav Başarısı;2;100;93;93
100389;BTM - Medikal Sınav Başarısı;2;100;77;77
100387;BTM - Medikal Sınav Başarısı;2;100;73;73
100008;BTM - Medikal Sınav Başarısı;2;100;90;90
100238;BTM - Medikal Sınav Başarısı;2;100;80;80
100299;BTM - Medikal Sınav Başarısı;2;100;83;83
100377;BTM - Medikal Sınav Başarısı;2;100;97;97
100084;BTM - Medikal Sınav Başarısı;2;100;86;86
100493;BTM - Medikal Sınav Başarısı;2;100;93;93
100234;BTM - Medikal Sınav Başarısı;2;100;100;100
100077;BTM - Medikal Sınav Başarısı;2;100;86;86
100419;BTM - Medikal Sınav Başarısı;2;100;90;90
100313;BTM - Medikal Sınav Başarısı;2;100;83;83
100088;BTM - Medikal Sınav Başarısı;2;100;97;97
100075;BTM - Medikal Sınav Başarısı;2;100;100;100
100586;BTM - Medikal Sınav Başarısı;2;100;100;100
100659;BTM - Medikal Sınav Başarısı;2;100;97;97
100295;BTM - Medikal Sınav Başarısı;2;100;93;93
100319;BTM - Medikal Sınav Başarısı;2;100;93;93
100268;BTM - Medikal Sınav Başarısı;2;100;87;87
100311;BTM - Medikal Sınav Başarısı;2;100;90;90
100297;BTM - Medikal Sınav Başarısı;2;100;93;93
100115;BTM - Medikal Sınav Başarısı;2;100;90;90
100784;BTM - Medikal Sınav Başarısı;2;100;97;97
100454;BTM - Medikal Sınav Başarısı;2;100;100;100
