Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;7944496,00;8276483,00;104,1788302
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;6116140,00;5839906,00;95,48352392
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;5010257,00;4993093,00;99,65742276
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;4043862,07;4237755,57;104,7947605
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;5554622,45;6361796,93;114,5315813
100287;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;6647222,83;6710847,50;100,9571616
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;11249529,00;11591160,00;103,0368471
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;7155605,00;6916885,00;96,66387398
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;7159107,00;7294466,00;101,8907246
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;7430926,45;7812342,63;105,1328214
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;8223892,98;8638418,00;105,0404963
100666;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;9188243,06;9249897,86;100,6710184
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;9737164,00;10698671,00;109,8746103
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;7433520,00;6992291,00;94,06433291
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;5422198,00;5653622,00;104,2680846
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;5683065,02;5859238,33;103,0999699
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;6618067,15;7193419,65;108,6936637
100310;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;6277891,36;6457375,16;102,8589822
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;6960991,00;7276236,00;104,5287374
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;5333161,00;5084577,00;95,33889939
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;4438448,00;4455177,00;100,376911
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;4480157,48;4816575,35;107,5090634
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;5056238,28;5428788,34;107,3681271
100157;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;5695494,33;5755438,31;101,0524808
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;7543096,00;7929814,00;105,1267808
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;5845052,00;5517150,00;94,39009268
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;4636837,00;4572739,00;98,61763525
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;4563063,00;4732488,53;103,712978
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;5128392,68;5529328,67;107,8179659
100823;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;5790382,02;5956940,52;102,8764683
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);1;5629147,00;5739537,00;101,9610431
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);2;4286653,00;4174696,00;97,38824206
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);3;3571903,00;3780275,00;105,8336411
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);4;3948219,13;4379077,24;110,9127204
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);5;4480827,74;4688833,70;104,6421326
100301;BSM - Çýkýþ Hedefleri (SF Primli Grup);6;4906518,08;4668938,27;95,15787362
