Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;3905200,00;3920630,00;100,3951142
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;2610552,00;2883622,00;110,4602398
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;2146500,00;2172537,00;101,2129979
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;1221500,00;1289060,43;105,5309398
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;1771000,00;2895590,60;163,5003162
100287;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;2487100,00;3202311,46;128,7568437
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;5503600,00;5192742,00;94,35173341
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;3344378,00;3614370,00;108,0730109
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;3062000,00;3031796,00;99,01358589
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;2291400,00;2422315,17;105,7133268
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;2626100,00;3549213,39;135,1514942
100666;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;3422300,00;4199298,98;122,7039996
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;4806000,00;5111312,00;106,3527258
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;3202189,00;3484906,00;108,8288668
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;2304100,00;2519543,00;109,3504188
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;1755300,00;1854838,18;105,6707218
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;2089500,00;2987587,88;142,9809945
100310;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;2346100,00;2862582,94;122,0145322
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;3413300,00;3818154,00;111,8610729
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;2285848,00;2688401,00;117,6106635
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;1901800,00;2142734,00;112,6687349
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;1392000,00;1742995,52;125,2151954
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;1624500,00;2494474,93;153,5533967
100157;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;2122300,00;2913552,97;137,282805
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;3572900,00;3488563,00;97,63953651
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;2492213,00;2444447,00;98,08339014
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;1971000,00;1805747,00;91,61577879
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;1394600,00;1499533,94;107,5243037
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;1621200,00;2058291,89;126,9610097
100823;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;2125100,00;2554856,98;120,2229062
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;2769000,00;2602570,00;93,98952691
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;1846321,00;1950403,00;105,6372646
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;1528600,00;1572537,00;102,8743295
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);4;1211200,00;1364200,06;112,6321054
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);5;1439700,00;1932442,15;134,2253351
100301;BSM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);6;1823600,00;2162318,00;118,5741391
