Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100287;BSM - SF Primli Ürün Stok Seviyesi;1;45,00;54,65;NULL
100287;BSM - SF Primli Ürün Stok Seviyesi;2;45,00;55,57;NULL
100287;BSM - SF Primli Ürün Stok Seviyesi;3;45,00;52,84;NULL
100287;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;45,73;NULL
100287;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;41,08;NULL
100287;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;43,22;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;1;40,00;51,96;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;2;40,00;51,73;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;3;40,00;48,51;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;44,47;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;34,82;NULL
100666;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;44,22;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;1;45,00;53,51;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;2;45,00;58,34;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;3;45,00;53,06;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;43,74;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;35,44;NULL
100310;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;39,23;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;1;45,00;52,89;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;2;45,00;55,89;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;3;45,00;50,34;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;45,02;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;31,80;NULL
100157;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;45,58;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;1;45,00;43,67;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;2;45,00;59,21;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;3;45,00;56,80;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;49,04;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;37,52;NULL
100823;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;44,92;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;1;45,00;50,40;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;2;45,00;55,86;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;3;45,00;47,48;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;4;40,00;43,65;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;5;40,00;39,19;NULL
100301;BSM - SF Primli Ürün Stok Seviyesi;6;40,00;50,09;NULL
