Sicil No;Gösterge Adı;Periyot;Planlanan Primli Ürün Stok Seviyesi (gün);Gerçekleşen Primli Ürün Stok Seviyesi (gün);Sapma
100287;BSM - SF Primli Ürün Stok Seviyesi;1;45;54,65;21,44444444
100287;BSM - SF Primli Ürün Stok Seviyesi;2;45;55,57;23,48888889
100287;BSM - SF Primli Ürün Stok Seviyesi;3;45;52,84;17,42222222
100287;BSM - SF Primli Ürün Stok Seviyesi;4;40;45,73;14,32168708
100287;BSM - SF Primli Ürün Stok Seviyesi;5;40;41,08;2,704403811
100287;BSM - SF Primli Ürün Stok Seviyesi;6;40;43,22;8,047224831
100666;BSM - SF Primli Ürün Stok Seviyesi;1;40;51,96;29,9
100666;BSM - SF Primli Ürün Stok Seviyesi;2;40;51,73;29,325
100666;BSM - SF Primli Ürün Stok Seviyesi;3;40;48,51;21,275
100666;BSM - SF Primli Ürün Stok Seviyesi;4;40;44,47;11,16343905
100666;BSM - SF Primli Ürün Stok Seviyesi;5;40;34,82;12,9623744
100666;BSM - SF Primli Ürün Stok Seviyesi;6;40;44,22;10,54390965
100310;BSM - SF Primli Ürün Stok Seviyesi;1;45;53,51;18,91111111
100310;BSM - SF Primli Ürün Stok Seviyesi;2;45;58,34;29,64444444
100310;BSM - SF Primli Ürün Stok Seviyesi;3;45;53,06;17,91111111
100310;BSM - SF Primli Ürün Stok Seviyesi;4;40;43,74;9,348183873
100310;BSM - SF Primli Ürün Stok Seviyesi;5;40;35,44;11,39892037
100310;BSM - SF Primli Ürün Stok Seviyesi;6;40;39,23;1,935757089
100157;BSM - SF Primli Ürün Stok Seviyesi;1;45;52,89;17,53333333
100157;BSM - SF Primli Ürün Stok Seviyesi;2;45;55,89;24,2
100157;BSM - SF Primli Ürün Stok Seviyesi;3;45;50,34;11,86666667
100157;BSM - SF Primli Ürün Stok Seviyesi;4;40;45,02;12,55301842
100157;BSM - SF Primli Ürün Stok Seviyesi;5;40;31,80;20,4895086
100157;BSM - SF Primli Ürün Stok Seviyesi;6;40;45,58;13,95511961
100823;BSM - SF Primli Ürün Stok Seviyesi;1;45;43,67;2,955555556
100823;BSM - SF Primli Ürün Stok Seviyesi;2;45;59,21;31,57777778
100823;BSM - SF Primli Ürün Stok Seviyesi;3;45;56,80;26,22222222
100823;BSM - SF Primli Ürün Stok Seviyesi;4;40;49,04;22,60802748
100823;BSM - SF Primli Ürün Stok Seviyesi;5;40;37,52;6,190942322
100823;BSM - SF Primli Ürün Stok Seviyesi;6;40;44,92;12,29858761
100301;BSM - SF Primli Ürün Stok Seviyesi;1;45;50,40;12
100301;BSM - SF Primli Ürün Stok Seviyesi;2;45;55,86;24,13333333
100301;BSM - SF Primli Ürün Stok Seviyesi;3;45;47,48;5,511111111
100301;BSM - SF Primli Ürün Stok Seviyesi;4;40;43,65;9,121359186
100301;BSM - SF Primli Ürün Stok Seviyesi;5;40;39,19;2,018431941
100301;BSM - SF Primli Ürün Stok Seviyesi;6;40;50,09;25,22712246
