Sicil No;Gösterge Adý;Periyot;Planlanan Primli Ürün Stok Seviyesi (gün);Gerçekleþen Primli Ürün Stok Seviyesi (gün);Mutlak Sapma
100287;BSM - SF Primli Ürün Stok Seviyesi;1;50;54,65;9,30
100287;BSM - SF Primli Ürün Stok Seviyesi;2;50;55,57;11,14
100287;BSM - SF Primli Ürün Stok Seviyesi;3;50;52,84;5,68
100287;BSM - SF Primli Ürün Stok Seviyesi;4;45;45,73;1,62
100287;BSM - SF Primli Ürün Stok Seviyesi;5;40;41,08;2,70
100287;BSM - SF Primli Ürün Stok Seviyesi;6;40;43,22;8,05
100666;BSM - SF Primli Ürün Stok Seviyesi;1;50;51,96;3,92
100666;BSM - SF Primli Ürün Stok Seviyesi;2;50;51,73;3,46
100666;BSM - SF Primli Ürün Stok Seviyesi;3;50;48,51;2,98
100666;BSM - SF Primli Ürün Stok Seviyesi;4;45;44,47;1,19
100666;BSM - SF Primli Ürün Stok Seviyesi;5;40;34,82;12,96
100666;BSM - SF Primli Ürün Stok Seviyesi;6;40;44,22;10,54
100310;BSM - SF Primli Ürün Stok Seviyesi;1;50;53,51;7,02
100310;BSM - SF Primli Ürün Stok Seviyesi;2;50;58,34;16,68
100310;BSM - SF Primli Ürün Stok Seviyesi;3;50;53,06;6,12
100310;BSM - SF Primli Ürün Stok Seviyesi;4;45;43,74;2,80
100310;BSM - SF Primli Ürün Stok Seviyesi;5;40;35,44;11,40
100310;BSM - SF Primli Ürün Stok Seviyesi;6;40;39,23;1,94
100157;BSM - SF Primli Ürün Stok Seviyesi;1;50;52,89;5,78
100157;BSM - SF Primli Ürün Stok Seviyesi;2;50;55,89;11,78
100157;BSM - SF Primli Ürün Stok Seviyesi;3;50;50,34;0,68
100157;BSM - SF Primli Ürün Stok Seviyesi;4;45;45,02;0,05
100157;BSM - SF Primli Ürün Stok Seviyesi;5;40;31,80;20,49
100157;BSM - SF Primli Ürün Stok Seviyesi;6;40;45,58;13,96
100823;BSM - SF Primli Ürün Stok Seviyesi;1;50;43,67;12,66
100823;BSM - SF Primli Ürün Stok Seviyesi;2;50;59,21;18,42
100823;BSM - SF Primli Ürün Stok Seviyesi;3;50;56,80;13,60
100823;BSM - SF Primli Ürün Stok Seviyesi;4;45;49,04;8,98
100823;BSM - SF Primli Ürün Stok Seviyesi;5;40;37,52;6,19
100823;BSM - SF Primli Ürün Stok Seviyesi;6;40;44,92;12,30
100301;BSM - SF Primli Ürün Stok Seviyesi;1;50;50,40;0,80
100301;BSM - SF Primli Ürün Stok Seviyesi;2;50;55,86;11,72
100301;BSM - SF Primli Ürün Stok Seviyesi;3;50;47,48;5,04
100301;BSM - SF Primli Ürün Stok Seviyesi;4;45;43,65;3,00
100301;BSM - SF Primli Ürün Stok Seviyesi;5;40;39,19;2,02
100301;BSM - SF Primli Ürün Stok Seviyesi;6;40;50,09;25,23
