Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;40,66;NULL
100287;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;35,36;NULL
100287;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;32,88;NULL
100287;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;38,92;NULL
100287;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;39,44;NULL
100287;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;40,02;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;35,43;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;30,05;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;24,45;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;28,93;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;29,08;NULL
100666;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;33,82;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;38,28;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;37,24;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;27,61;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;31,17;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;29,19;NULL
100310;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;35,79;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;31,31;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;29,34;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;26,06;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;33,25;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;32,63;NULL
100157;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;36,54;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;35,37;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;31,38;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;28,21;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;28,39;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;31,27;NULL
100823;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;37,54;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;1;30,00;36,40;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;2;30,00;32,91;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;3;30,00;27,76;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;4;25,00;31,94;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;5;25,00;37,58;NULL
100301;BSM - Primsiz Ürün Stok Seviyesi;6;25,00;43,36;NULL
