Sicil No;Gösterge Adı;Periyot;Planlanan Primsiz Ürün Stok Seviyesi (gün);Gerçekleşen Primsiz Ürün Stok Seviyesi (gün);Mutlak Sapma
100287;BSM - Primsiz Ürün Stok Seviyesi;1;30;40,66;35,53333333
100287;BSM - Primsiz Ürün Stok Seviyesi;2;30;35,36;17,86666667
100287;BSM - Primsiz Ürün Stok Seviyesi;3;30;32,88;9,6
100287;BSM - Primsiz Ürün Stok Seviyesi;4;25;38,92;55,67847965
100287;BSM - Primsiz Ürün Stok Seviyesi;5;25;39,44;57,76987633
100287;BSM - Primsiz Ürün Stok Seviyesi;6;25;40,02;60,0826854
100666;BSM - Primsiz Ürün Stok Seviyesi;1;30;35,43;18,1
100666;BSM - Primsiz Ürün Stok Seviyesi;2;30;30,05;0,166666667
100666;BSM - Primsiz Ürün Stok Seviyesi;3;30;24,45;18,5
100666;BSM - Primsiz Ürün Stok Seviyesi;4;25;28,93;15,71544792
100666;BSM - Primsiz Ürün Stok Seviyesi;5;25;29,08;16,30749783
100666;BSM - Primsiz Ürün Stok Seviyesi;6;25;33,82;35,29673831
100310;BSM - Primsiz Ürün Stok Seviyesi;1;30;38,28;27,6
100310;BSM - Primsiz Ürün Stok Seviyesi;2;30;37,24;24,13333333
100310;BSM - Primsiz Ürün Stok Seviyesi;3;30;27,61;7,966666667
100310;BSM - Primsiz Ürün Stok Seviyesi;4;25;31,17;24,69647262
100310;BSM - Primsiz Ürün Stok Seviyesi;5;25;29,19;16,772155
100310;BSM - Primsiz Ürün Stok Seviyesi;6;25;35,79;43,17033754
100157;BSM - Primsiz Ürün Stok Seviyesi;1;30;31,31;4,366666667
100157;BSM - Primsiz Ürün Stok Seviyesi;2;30;29,34;2,2
100157;BSM - Primsiz Ürün Stok Seviyesi;3;30;26,06;13,13333333
100157;BSM - Primsiz Ürün Stok Seviyesi;4;25;33,25;32,98684937
100157;BSM - Primsiz Ürün Stok Seviyesi;5;25;32,63;30,50762468
100157;BSM - Primsiz Ürün Stok Seviyesi;6;25;36,54;46,16432903
100823;BSM - Primsiz Ürün Stok Seviyesi;1;30;35,37;17,9
100823;BSM - Primsiz Ürün Stok Seviyesi;2;30;31,38;4,6
100823;BSM - Primsiz Ürün Stok Seviyesi;3;30;28,21;5,966666667
100823;BSM - Primsiz Ürün Stok Seviyesi;4;25;28,39;13,57263312
100823;BSM - Primsiz Ürün Stok Seviyesi;5;25;31,27;25,07364105
100823;BSM - Primsiz Ürün Stok Seviyesi;6;25;37,54;50,16750635
100301;BSM - Primsiz Ürün Stok Seviyesi;1;30;36,40;21,33333333
100301;BSM - Primsiz Ürün Stok Seviyesi;2;30;32,91;9,7
100301;BSM - Primsiz Ürün Stok Seviyesi;3;30;27,76;7,466666667
100301;BSM - Primsiz Ürün Stok Seviyesi;4;25;31,94;27,77496166
100301;BSM - Primsiz Ürün Stok Seviyesi;5;25;37,58;50,30076226
100301;BSM - Primsiz Ürün Stok Seviyesi;6;25;43,36;73,45778709
