Sicil No;Gösterge Adý;Periyot;Planlanan Primsiz Ürün Stok Seviyesi (gün);Gerçekleþen Primsiz Ürün Stok Seviyesi (gün);Mutlak Sapma
100287;BSM - Primsiz Ürün Stok Seviyesi;1;35;40,66;16,17
100287;BSM - Primsiz Ürün Stok Seviyesi;2;30;35,36;17,87
100287;BSM - Primsiz Ürün Stok Seviyesi;3;30;32,88;9,60
100287;BSM - Primsiz Ürün Stok Seviyesi;4;30;38,92;29,73
100287;BSM - Primsiz Ürün Stok Seviyesi;5;30;39,44;31,47
100287;BSM - Primsiz Ürün Stok Seviyesi;6;30;40,02;33,40
100666;BSM - Primsiz Ürün Stok Seviyesi;1;35;35,43;1,23
100666;BSM - Primsiz Ürün Stok Seviyesi;2;30;30,05;0,17
100666;BSM - Primsiz Ürün Stok Seviyesi;3;30;24,45;18,50
100666;BSM - Primsiz Ürün Stok Seviyesi;4;30;28,93;3,57
100666;BSM - Primsiz Ürün Stok Seviyesi;5;30;29,08;3,08
100666;BSM - Primsiz Ürün Stok Seviyesi;6;30;33,82;12,75
100310;BSM - Primsiz Ürün Stok Seviyesi;1;35;38,28;9,37
100310;BSM - Primsiz Ürün Stok Seviyesi;2;30;37,24;24,13
100310;BSM - Primsiz Ürün Stok Seviyesi;3;30;27,61;7,97
100310;BSM - Primsiz Ürün Stok Seviyesi;4;30;31,17;3,91
100310;BSM - Primsiz Ürün Stok Seviyesi;5;30;29,19;2,69
100310;BSM - Primsiz Ürün Stok Seviyesi;6;30;35,79;19,31
100157;BSM - Primsiz Ürün Stok Seviyesi;1;35;31,31;10,54
100157;BSM - Primsiz Ürün Stok Seviyesi;2;30;29,34;2,20
100157;BSM - Primsiz Ürün Stok Seviyesi;3;30;26,06;13,13
100157;BSM - Primsiz Ürün Stok Seviyesi;4;30;33,25;10,82
100157;BSM - Primsiz Ürün Stok Seviyesi;5;30;32,63;8,76
100157;BSM - Primsiz Ürün Stok Seviyesi;6;30;36,54;21,80
100823;BSM - Primsiz Ürün Stok Seviyesi;1;35;35,37;1,06
100823;BSM - Primsiz Ürün Stok Seviyesi;2;30;31,38;4,60
100823;BSM - Primsiz Ürün Stok Seviyesi;3;30;28,21;5,97
100823;BSM - Primsiz Ürün Stok Seviyesi;4;30;28,39;5,36
100823;BSM - Primsiz Ürün Stok Seviyesi;5;30;31,27;4,23
100823;BSM - Primsiz Ürün Stok Seviyesi;6;30;37,54;25,14
100301;BSM - Primsiz Ürün Stok Seviyesi;1;35;36,40;4,00
100301;BSM - Primsiz Ürün Stok Seviyesi;2;30;32,91;9,70
100301;BSM - Primsiz Ürün Stok Seviyesi;3;30;27,76;7,47
100301;BSM - Primsiz Ürün Stok Seviyesi;4;30;31,94;6,48
100301;BSM - Primsiz Ürün Stok Seviyesi;5;30;37,58;25,25
100301;BSM - Primsiz Ürün Stok Seviyesi;6;30;43,36;44,55
