Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;1;DULOXX;1409049,974;1311448,125;93,07321592
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;2;DULOXX;1664289,991;1440551,531;86,55652192
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;3;DULOXX;1696404,983;1465654,875;86,39769923
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;4;DULOXX;1486584,996;1367338,938;91,97852403
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;5;DULOXX;1674995,003;1604825,094;95,81073921
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;6;DULOXX;1649401,389;1427715,625;86,55962304
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;1;GYREX;2777735,755;3022711,563;108,8192625
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;2;GYREX;3223977,995;3045446,907;94,46239743
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;3;GYREX;3236333,506;3055940,146;94,42599598
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;4;GYREX;2899430,272;2888949,322;99,63851693
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;5;GYREX;3213905,126;3384231,864;105,2996816
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;6;GYREX;3356156,224;3283710,063;97,84139487
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;1;LEV-END;880627,9931;862623,4629;97,95548968
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;2;LEV-END;1011620,4;874209,0186;86,41670522
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;3;LEV-END;1032557,385;941240,0762;91,15620011
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;4;LEV-END;915941,0188;874397,668;95,46440765
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;5;LEV-END;1045224,405;958353,9834;91,68882579
101427;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;6;LEV-END;1106091,819;978470,8262;88,46198928
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;1;COGITO;705981,411;771805,7832;109,323811
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;2;COGITO;813076,6025;847851,1533;104,2769095
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;3;COGITO;782839,5968;796051,2861;101,6876624
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;4;COGITO;662753,3096;742142,25;111,9786562
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;5;COGITO;745383,9969;843701,4258;113,1901717
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;6;COGITO;766849,3116;769382,292;100,3303101
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;1;ETKINIA;674578,9872;613599,7188;90,96039609
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;2;ETKINIA;761273,0006;681228,4688;89,48543666
101029;ÜM - Kota Realizasyonu (Stratejik Ürün Dahil) ;3;ETKINIA;805619,0052;679898,0938;84,39449533
