Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;TRIBUDAT;13,48;16,43;121,88
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;SPANOL;3,5;3;85,57
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;APIKOBAL;16,25;18,57;114,31
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO JEL - SPRAY;6,93;4,78;68,9
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO AMP;20,6;17,6;85,4
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;DICLOFLAM;4,49;4,5;100,4
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;BRONCHOREST;5,89;1,35;2298
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO JEL - SPRAY;6,93;4,78;68,9
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO AMP;20,6;17,6;85,4
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;CREBROS;5,61;4,73;84,34
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;DERMACUTAN;4,83;0,59;12,27
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;OLY;2,93;1,73;58,87
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;OLY PLUS;2,05;1,5;73,15
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;ILIADIN;43,45;35,13;80,85
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;NAZOSTER;12,51;11,79;94,24
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;PULMOREST;3,89;4,19;107,6
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLUREND;4,97;4,93;99,28
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;ANTHIX;4,11;3,2;77,79
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;MAGNIS;1,85;2,02;109,25
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;TERBISIL TOPIKAL;5,73;4,68;81,79
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;TERBISIL TABLET;33,51;30,72;91,68
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;LOCODERM;5,06;5,22;103,19
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;MODET;14,66;8,14;55,53
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;TRIBUDAT;13,48;16,43;121,88
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;SPANOL;3,5;3;85,57
101427;ÜM - TL PP Hedef Realizasyonu ATC4;1;DULOXX;7,63;7,46;97,72
101427;ÜM - TL PP Hedef Realizasyonu ATC4;1;GYREX;4,31;4,13;95,79
101029;ÜM - TL PP Hedef Realizasyonu ATC4;1;COGITO;9,6;12,17;126,75
101029;ÜM - TL PP Hedef Realizasyonu ATC4;1;ETKINIA;3,37;1,86;55,39
