Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;TRIBUDAT;29,26;33,16;113,3
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;SPANOL;14,64;12,54;85,66
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;APIKOBAL;29;31,63;109,05
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO JEL - SPRAY;54;7,26;13,45
100727;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO AMP;53,2;47,51;89,3
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;DICLOFLAM;11,36;12,19;107,33
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;BRONCHOREST;11,04;5,72;5182
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO JEL - SPRAY;54;7,26;13,45
101034;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLEXO AMP;53,2;47,51;89,3
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;CREBROS;46,15;40,11;86,91
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;DERMACUTAN;17,13;4,71;27,48
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;OLY;24,47;22,67;92,64
101271;ÜM - TL PP Hedef Realizasyonu ATC4;1;OLY PLUS;2,09;1,56;74,66
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;ILIADIN;74,76;73,91;98,86
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;NAZOSTER;28,43;27,59;97,04
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;PULMOREST;18,17;21,11;116,19
101653;ÜM - TL PP Hedef Realizasyonu ATC4;1;FLUREND;26,45;25,88;97,87
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;ANTHIX;36,88;28,07;76,12
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;MAGNIS;14,25;22,38;157,04
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;TERBISIL TOPIKAL;64,69;65,12;100,67
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;TERBISIL TABLET;59,13;57,29;96,88
101747;ÜM - TL PP Hedef Realizasyonu ATC4;1;LOCODERM;67,8;66,74;98,42
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;MODET;34,61;28,27;81,68
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;TRIBUDAT;29,26;33,16;113,3
101749;ÜM - TL PP Hedef Realizasyonu ATC4;1;SPANOL;14,64;12,54;85,66
101427;ÜM - TL PP Hedef Realizasyonu ATC4;1;DULOXX;12,21;11,58;94,87
101427;ÜM - TL PP Hedef Realizasyonu ATC4;1;GYREX;20,07;19,43;96,77
101427;ÜM - TL PP Hedef Realizasyonu ATC4;1;LEV-END;5,55;5,42;97,64
101029;ÜM - TL PP Hedef Realizasyonu ATC4;1;COGITO;9,6;12,17;126,75
101029;ÜM - TL PP Hedef Realizasyonu ATC4;1;ETKINIA;9,06;8,09;89,32
