Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;SAPMA (%);;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;TRIBUDAT;0,037875455;0,038365686;1,294324258;;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;SPANOL;0,042900142;0,044425917;3,556573923;;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;APIKOBAL;0,015524329;0,011003638;-29,12004168;;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;FLEXO JEL - SPRAY;0,025835972;0,026139994;1,176737106;;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;FLEXO AMP;0,022805009;0,021157295;7,225228504;;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DICLOFLAM;0,017916926;0,020457796;14,18139855;;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;BRONCHOREST;0,149611982;0,238478214;59,39780353;;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;FLEXO JEL - SPRAY;0,025835972;0,026139994;1,176737106;;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;FLEXO AMP;0,022805009;0,021157295;7,225228504;;;
101271;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;CREBROS;0,030390609;0,036402425;19,78181901;;;
101271;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DERMACUTAN;0,144570115;0,536368267;271,0090903;;;
101271;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;OLY;0,056786445;0,084484137;48,77518295;;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ILIADIN;0,017632159;0,014888853;-15,5585394;;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;NAZOSTER;0,026465543;0,031509474;19,05848406;;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;PULMOREST;0,026928125;0,02906535;7,936776322;;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;FLUREND;0,041938759;0,040149159;4,267175623;;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ANTHIX;0,094933064;0,117344243;23,60734892;;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;MAGNIS;0,19039044;0,111595757;-41,38583983;;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;TERBISIL;0,023151853;0,025932894;12,01217418;;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;LOCODERM;0,03499464;0,036079049;3,098784711;;;
101749;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;MODET;0,082638615;0,093420985;13,04761776;;;
101749;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;TRIBUDAT;0,037875455;0,038365686;1,294324258;;;
101749;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;SPANOL;0,042900142;0,044425917;3,556573923;;;
101427;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DULOXX;0,086609764;0,096282434;11,16810574;;;
101427;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;GYREX;0,045772806;0,044930788;1,839558048;;;
101427;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;LEV-END;0,06424217;0,064456568;0,333734744;;;
101029;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;COGITO;0,054912074;0,048018221;-12,55434983;;;
101029;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ETKINIA;0,13818477;0,156893476;13,53890599;;;
