Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;SAPMA (%);;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;TRIBUDAT;3,787545476;3,836568596;1,294324258;;
100727;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;APIKOBAL;1,552432881;1,100363779;-29,12004168;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DICLOFLAM;1,791692561;2,045779624;14,18139855;;
101034;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;BRONCHOREST;14,96119823;23,84782136;59,39780353;;
101271;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;CREBROS;3,039060922;3,640242453;19,78181901;;
101271;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DERMACUTAN;14,45701147;53,63682675;271,0090903;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ILIADIN;1,763215895;1,488885255;-15,5585394;;
101653;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;NAZOSTER;2,646554268;3,150947391;19,05848406;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ANTHIX;9,493306379;11,73442434;23,60734892;;
101747;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;MAGNIS;19,03904398;11,15957573;-41,38583983;;
101749;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;MODET;8,263861483;9,342098542;13,04761776;;
101427;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;DULOXX;8,660976432;9,628243438;11,16810574;;
101427;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;GYREX;4,577280558;4,493078825;1,839558048;;
101029;ÜM - Masraf/Brüt Ciro Oranı (Tüm Ürünler);1;ETKINIA;13,81847698;15,68934759;13,53890599;;
