Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;BRONCHOREST;2188014,438;1282629,899;58,62072372
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;DICLOFLAM;12130050,82;10253711,63;84,53148121
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;ELEKTRA PLUS JEL;9218137,617;9576201,75;103,8843435
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;ILIADIN;16458940,81;15926494,49;96,76500253
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;MODET;5235858,174;4398618,751;84,00950914
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;BRONCHOREST;2067809,947;1010305,75;48,85873344
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;DICLOFLAM;12114122,39;11399457,25;94,10056203
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;ELEKTRA PLUS JEL;8740781,604;8444330,25;96,60841138
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;ILIADIN;15532042,74;17266690,91;111,1681908
100759;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;MODET;5335932,666;4721091,563;88,47734517
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;DULOXX;3926718,536;3477586,501;88,56215359
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;ETKINIA;1867892,476;1631632,36;87,35151409
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;EVASIF;2310769,112;2556071,844;110,6156314
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;GYREX;7765565,718;7658847,499;98,62575087
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);1;SECITA;6578484,443;6043024,924;91,86044257
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;DULOXX;3954608,388;3621865,125;91,58593645
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;ETKINIA;2026920,167;1645901,797;81,20210275
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;EVASIF;2798181,818;3011652;107,6288889
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;GYREX;7959692,121;8020768,702;100,7673234
100970;GÜM - Kota Realizasyonu (İlgili Tüm Ürünler);2;SECITA;7098446,2;6321293,659;89,0517936
