Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;BRONCHOREST;5,89;1,35;22,98
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;DICLOFLAM;4,49;4,5;100,4
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ELEKTRA PLUS JEL;15,82;14,19;89,66
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ILIADIN;43,45;35,13;80,85
100759;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;MODET;14,66;8,14;55,53
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;DULOXX;7,63;7,46;97,72
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;ETKINIA;3,37;1,86;55,39
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;EVASIF;4,42;4,18;94,42
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;GYREX;4,31;4,13;95,79
100970;GÜM - TL PP Hedef Realizasyonu ATC4 (Stratejik Ürünler);1;SECITA;5,66;5,13;90,65
