Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sapma (%)
100759;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;BRONCHOREST;0,168063796;0,277618458;65,18635511
100759;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;DICLOFLAM;0,023512041;0,027443066;16,71919962
100759;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;ELEKTRA PLUS JEL;0,063294789;0,069967779;10,54271647
100759;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;ILIADIN;0,020943401;0,017684489;-15,56056795
100759;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;MODET;0,087024045;0,098177402;12,81640916
100970;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;DULOXX;0,105284866;0,1168706;11,00417766
100970;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;ETKINIA;0,165821725;0,189662838;14,37755722
100970;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;EVASIF;0,134099546;0,115638359;-13,76677794
100970;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;GYREX;0,054453577;0,053531387;1,693534791
100970;GÜM - Masraf/Brüt Ciro Oranı (Stratejik Ürünler);1;SECITA;0,066010611;0,07089204;7,394915747
