Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Gerçekleþme (%)
100137;TM - Toplam Grup Kota Realizasyon;1;42103978,09;37531269,05;89,13948458
100273;TM - Toplam Grup Kota Realizasyon;1;45883160,52;40914858,69;89,17184044
100289;TM - Toplam Grup Kota Realizasyon;1;43832046,04;42162739,71;96,19158474
100302;TM - Toplam Grup Kota Realizasyon;1;14334486,16;13814421,07;96,37193069
100546;TM - Toplam Grup Kota Realizasyon;1;26958520,84;24978385,53;92,65488145
100137;TM - Toplam Grup Kota Realizasyon;2;27175139,97;26751589,88;98,44140605
100273;TM - Toplam Grup Kota Realizasyon;2;45470786,48;43829179,06;96,38975361
100289;TM - Toplam Grup Kota Realizasyon;2;40495661,42;40516107,12;100,0504886
100302;TM - Toplam Grup Kota Realizasyon;2;15456419,03;14108580,86;91,27975137
100546;TM - Toplam Grup Kota Realizasyon;2;29268167,2;26427368,84;90,29389733
