Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100137;TM - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA;702274,6905;768305,8438;109,402468
100137;TM - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS;9212286,547;9576201,75;103,9503244
100137;TM - Hedef Ürünler Kota Realizasyonu;1;MODET;5235858,176;4398618,75;84,00950909
100137;TM - Hedef Ürünler Kota Realizasyonu;1;OLY;1668643,725;1089043,383;65,26518313
100137;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS;5733384,23;5411732,5;94,38984522
100137;TM - Hedef Ürünler Kota Realizasyonu;2;MODET;3460018,811;3264425,156;94,34703494
100137;TM - Hedef Ürünler Kota Realizasyonu;2;OLY;1696565,335;1082120,441;63,78301023
100273;TM - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;2188014,433;1282629,898;58,62072385
100273;TM - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;12130050,82;10253711,63;84,53148119
100273;TM - Hedef Ürünler Kota Realizasyonu;1;PARAFLEX;186904,4518;205350,6816;109,8693368
100273;TM - Hedef Ürünler Kota Realizasyonu;1;PARAFON;9408515,163;8847212,375;94,03409807
100273;TM - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;2067809,949;1010305,75;48,8587334
100273;TM - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;12114122,39;11399457,25;94,10056202
100273;TM - Hedef Ürünler Kota Realizasyonu;2;PARAFLEX;148760,5795;153039;102,8760445
100273;TM - Hedef Ürünler Kota Realizasyonu;2;PARAFON;6413838,994;7697552,375;120,0147428
100289;TM - Hedef Ürünler Kota Realizasyonu;1;ANTHIX;2969132,334;2439986,313;82,17842918
100289;TM - Hedef Ürünler Kota Realizasyonu;1;FLUREND;2871808,857;3030720,188;105,5334926
100289;TM - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;7767403,443;7842826,875;100,971025
100289;TM - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;416501,282;715280,7188;171,7355383
100289;TM - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;2270405,44;2011027,797;88,57571256
100289;TM - Hedef Ürünler Kota Realizasyonu;2;ANTHIX;1025493,737;687311,375;67,02248389
100289;TM - Hedef Ürünler Kota Realizasyonu;2;FLUREND;2290565,224;2287196,188;99,85291682
100289;TM - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;15532042,73;17266690,91;111,1681909
100289;TM - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;431706,2532;638588,7344;147,9220488
100289;TM - Hedef Ürünler Kota Realizasyonu;2;PULMOREST;597014,5299;503795,8027;84,38585286
100302;TM - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2310769,112;2556071,844;110,6156314
100302;TM - Hedef Ürünler Kota Realizasyonu;1;FERROVEN;1269476,187;1290595,578;101,6636303
100302;TM - Hedef Ürünler Kota Realizasyonu;2;EVASIF;2798181,818;3011652;107,6288889
100302;TM - Hedef Ürünler Kota Realizasyonu;2;FERROVEN;1312380,966;1245822,25;94,92839981
100546;TM - Hedef Ürünler Kota Realizasyonu;1;DULOXX;3926718,536;3477586,5;88,56215356
100546;TM - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;1867892,475;1631632,359;87,35151412
100546;TM - Hedef Ürünler Kota Realizasyonu;1;GYREX;7765565,717;7658847,498;98,62575087
100546;TM - Hedef Ürünler Kota Realizasyonu;1;SECITA;3147438,243;3124414,25;99,26848466
100546;TM - Hedef Ürünler Kota Realizasyonu;2;DULOXX;3960623,555;3621865,125;91,446841
100546;TM - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;2026920,168;1645901,797;81,20210274
100546;TM - Hedef Ürünler Kota Realizasyonu;2;GYREX;7959692,121;8020768,702;100,7673234
100546;TM - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS;806070,5882;844760;104,7997548
100546;TM - Hedef Ürünler Kota Realizasyonu;2;SAYFREN;875211,3211;752277,1836;85,95377658
100546;TM - Hedef Ürünler Kota Realizasyonu;2;SECITA;3503720,327;3255752,375;92,92272415
101897;TM - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS;3007397,37;3032597,75;100,8379465
101897;TM - Hedef Ürünler Kota Realizasyonu;2;MODET;1875913,853;1456666,406;77,65102881
101897;TM - Hedef Ürünler Kota Realizasyonu;2;OLY;809749,5609;462446,3828;57,10980347
