Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100448;VA TSM Toplam Grup Kota Realizasyonu;1;108532;125731,37;115,85
100448;VA TSM Toplam Grup Kota Realizasyonu;2;135313,96;123710,97;91,43
100448;VA TSM Toplam Grup Kota Realizasyonu;3;123348,69;110785,63;89,82
100506;VA TSM Toplam Grup Kota Realizasyonu;1;103450,29;111450,72;107,73
100506;VA TSM Toplam Grup Kota Realizasyonu;2;134293,15;103875;77,35
100506;VA TSM Toplam Grup Kota Realizasyonu;3;120695,78;104875,09;86,89
100506;VA TSM Toplam Grup Kota Realizasyonu;4;110945,15;119780,45;107,96
100506;VA TSM Toplam Grup Kota Realizasyonu;5;128146,01;126920,99;99,04
100506;VA TSM Toplam Grup Kota Realizasyonu;6;124481,38;99191,96;79,68
100119;VA TSM Toplam Grup Kota Realizasyonu;1;124184,29;114131,14;91,9
100119;VA TSM Toplam Grup Kota Realizasyonu;2;151734,98;118467,95;78,08
100119;VA TSM Toplam Grup Kota Realizasyonu;3;141100;145461,4;103,09
100119;VA TSM Toplam Grup Kota Realizasyonu;4;130187,6;111435,28;85,6
100119;VA TSM Toplam Grup Kota Realizasyonu;5;149848,02;159291,83;106,3
100119;VA TSM Toplam Grup Kota Realizasyonu;6;145376,2;138008,83;94,93
100270;VA TSM Toplam Grup Kota Realizasyonu;1;87190,52;71624,15;82,15
100270;VA TSM Toplam Grup Kota Realizasyonu;2;106511,64;81324,97;76,35
100270;VA TSM Toplam Grup Kota Realizasyonu;3;99651,99;102131,97;102,49
100270;VA TSM Toplam Grup Kota Realizasyonu;4;91952,7;70771,44;76,97
100270;VA TSM Toplam Grup Kota Realizasyonu;5;106637,7;90856,66;85,2
100270;VA TSM Toplam Grup Kota Realizasyonu;6;102147,97;86677,26;84,85
100104;VA TSM Toplam Grup Kota Realizasyonu;1;91050,38;88543,24;97,25
100104;VA TSM Toplam Grup Kota Realizasyonu;2;110442,14;84902,41;76,88
100104;VA TSM Toplam Grup Kota Realizasyonu;3;101858,4;103796,86;101,9
