Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;52248,48662;50679,64;96,99733577
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;35010,61859;24730,68;70,63765508
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;25472,11632;32975,48;129,4571664
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;CREBROS;20876,09919;15275,59;73,17262607
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;49533,72665;34464,1;69,57703838
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;24984,82504;36871,1;147,5739772
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;ELEKTRA PLUS JEL;53426,42493;51194,33344;95,82212081
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;HIRUDOID;39436,28531;38442,52394;97,48008372
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;MODET;27458,22443;39566,72104;144,0978864
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;36110,12486;48452,7;134,1803724
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;63606,82499;80122,89;125,9658693
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;9021,12036;22008;243,9608288
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DULOXX;35893,00371;43397,04;120,9066824
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;GYREX;62901,47853;77320,9;122,9238196
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS  ;11282,19364;28722,4;254,5816967
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;DULOXX;38331,73626;53233,21974;138,8750548
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;GYREX;66378,38241;81321,4355;122,5119271
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;PHOCUSS  ;14612,39125;33887,29434;231,9079318
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASİF  ;35944,64869;35454;98,63498821
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;2588,846249;2602,74;100,5366774
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;11380,2874;13478,34;118,435849
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASİF  ;37240,75696;35525,39;95,39384508
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;4451,473947;5986,2;134,4768064
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;11118,23465;24381,3;219,2911085
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;EVASİF  ;39451,48147;41926,19036;106,2727908
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;SIDATRIA;4655,835456;15801,62694;339,3940161
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;ZENTICAVIR;14604,02775;30684,73027;210,1114213
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASİF  ;50646,01894;50958;100,6160031
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;2829,221321;2602,74;91,99492386
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;15519,14969;19614,54;126,3892699
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASİF  ;52739,95723;52042,73;98,67799052
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;4806,696664;2494,25;51,89114634
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;15214,52138;26040,96;171,1585882
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;3;EVASİF  ;54563,79968;59741,43796;109,4891454
