Çalışan Sicil No;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
101482;TSMv1 - Gelişim indeksi;1;141,93;206,1;145,21
100248;TSMv1 - Gelişim indeksi;1;141,93;168,44;118,68
100592;TSMv1 - Gelişim indeksi;1;141,93;187,35;132
101824;TSMv1 - Gelişim indeksi;1;141,93;183,16;129,04
100669;TSMv1 - Gelişim indeksi;1;141,93;156,88;110,53
100341;TSMv1 - Gelişim indeksi;1;141,93;137,55;96,91
100121;TSMv1 - Gelişim indeksi;1;141,93;180,91;127,46
100527;TSMv1 - Gelişim indeksi;1;141,93;126,11;88,85
100463;TSMv1 - Gelişim indeksi;1;141,93;152,48;107,43
101483;TSMv1 - Gelişim indeksi;1;141,93;144,27;101,65
100166;TSMv1 - Gelişim indeksi;1;141,93;153,48;108,13
100079;TSMv1 - Gelişim indeksi;1;141,93;141,17;99,46
100244;TSMv1 - Gelişim indeksi;1;141,93;112,61;79,34
101696;TSMv1 - Gelişim indeksi;1;141,93;160,53;113,1
101487;TSMv1 - Gelişim indeksi;1;141,93;127,03;89,5
100323;TSMv1 - Gelişim indeksi;1;141,93;127,91;90,12
100799;TSMv1 - Gelişim indeksi;1;141,93;198,25;139,68
101553;TSMv1 - Gelişim indeksi;1;141,93;259,08;182,54
100288;TSMv1 - Gelişim indeksi;1;141,93;137,9;97,16
100577;TSMv1 - Gelişim indeksi;1;141,93;153,71;108,3
100292;TSMv1 - Gelişim indeksi;1;141,93;126,76;89,31
100102;TSMv1 - Gelişim indeksi;1;141,93;149,49;105,32
101490;TSMv1 - Gelişim indeksi;1;141,93;173,87;122,5
101667;TSMv1 - Gelişim indeksi;1;141,93;177,2;124,84
100321;TSMv1 - Gelişim indeksi;1;141,93;126,72;89,28
100195;TSMv1 - Gelişim indeksi;1;141,93;160,85;113,33
100453;TSMv1 - Gelişim indeksi;1;141,93;260,39;183,46
101668;TSMv1 - Gelişim indeksi;1;141,93;157,59;111,03
100265;TSMv1 - Gelişim indeksi;1;141,93;136,29;96,02
100514;TSMv1 - Gelişim indeksi;1;141,93;159,1;112,09
101669;TSMv1 - Gelişim indeksi;1;141,93;170,3;119,99
100194;TSMv1 - Gelişim indeksi;1;141,93;144,88;102,08
100101;TSMv1 - Gelişim indeksi;1;141,93;145,14;102,26
100797;TSMv1 - Gelişim indeksi;1;141,93;175,35;123,54
