Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100538;TSMv1 - Pazar Indeksi;1;100;203,6530835;203,6530835
100796;TSMv1 - Pazar Indeksi;1;100;164,0522382;164,0522382
101692;TSMv1 - Pazar Indeksi;1;100;141,0231383;141,0231383
100467;TSMv1 - Pazar Indeksi;1;100;150,3499149;150,3499149
100947;TSMv1 - Pazar Indeksi;1;100;118,7383131;118,7383131
100438;TSMv1 - Pazar Indeksi;1;100;147,5359997;147,5359997
101655;TSMv1 - Pazar Indeksi;1;100;124,6847731;124,6847731
100720;TSMv1 - Pazar Indeksi;1;100;113,1209488;113,1209488
100948;TSMv1 - Pazar Indeksi;1;100;113,9637561;113,9637561
100487;TSMv1 - Pazar Indeksi;1;100;145,4384007;145,4384007
101791;TSMv1 - Pazar Indeksi;1;100;121,9869215;121,9869215
100670;TSMv1 - Pazar Indeksi;1;100;143,368509;143,368509
100356;TSMv1 - Pazar Indeksi;1;100;156,7903285;156,7903285
101804;TSMv1 - Pazar Indeksi;1;100;116,1041739;116,1041739
100240;TSMv1 - Pazar Indeksi;1;100;125,4726382;125,4726382
101656;TSMv1 - Pazar Indeksi;1;100;112,7253155;112,7253155
100071;TSMv1 - Pazar Indeksi;1;100;138,0152611;138,0152611
100444;TSMv1 - Pazar Indeksi;1;100;133,5917983;133,5917983
100416;TSMv1 - Pazar Indeksi;1;100;114,8435218;114,8435218
100250;TSMv1 - Pazar Indeksi;1;100;121,5791447;121,5791447
100103;TSMv1 - Pazar Indeksi;1;100;129,5050362;129,5050362
100457;TSMv1 - Pazar Indeksi;1;100;128,7811694;128,7811694
100196;TSMv1 - Pazar Indeksi;1;100;109,2107493;109,2107493
100466;TSMv1 - Pazar Indeksi;1;100;121,836173;121,836173
100626;TSMv1 - Pazar Indeksi;1;100;123,2896839;123,2896839
100272;TSMv1 - Pazar Indeksi;1;100;110,1781511;110,1781511
101558;TSMv1 - Pazar Indeksi;1;100;104,6130547;104,6130547
101806;TSMv1 - Pazar Indeksi;1;100;126,2925387;126,2925387
100324;TSMv1 - Pazar Indeksi;1;100;106,5232726;106,5232726
100329;TSMv1 - Pazar Indeksi;1;100;123,8721544;123,8721544
100104;TSMv1 - Pazar Indeksi;1;100;112,6684679;112,6684679
101654;TSMv1 - Pazar Indeksi;1;100;106,2583305;106,2583305
100358;TSMv1 - Pazar Indeksi;1;100;95,93465495;95,93465495
100506;TSMv1 - Pazar Indeksi;1;100;91,28307569;91,28307569
101659;TSMv1 - Pazar Indeksi;1;100;109,4441138;109,4441138
100517;TSMv1 - Pazar Indeksi;1;100;111,0033469;111,0033469
100574;TSMv1 - Pazar Indeksi;1;100;113,1180143;113,1180143
100336;TSMv1 - Pazar Indeksi;1;100;111,8769509;111,8769509
100122;TSMv1 - Pazar Indeksi;1;100;100,0384305;100,0384305
100247;TSMv1 - Pazar Indeksi;1;100;95,68855093;95,68855093
100293;TSMv1 - Pazar Indeksi;1;100;93,2341012;93,2341012
100671;TSMv1 - Pazar Indeksi;1;100;106,7165421;106,7165421
100332;TSMv1 - Pazar Indeksi;1;100;89,70978315;89,70978315
100450;TSMv1 - Pazar Indeksi;1;100;100,553917;100,553917
101915;TSMv1 - Pazar Indeksi;1;100;116,1803654;116,1803654
100360;TSMv1 - Pazar Indeksi;1;100;113,4041348;113,4041348
101463;TSMv1 - Pazar Indeksi;1;100;111,3789686;111,3789686
101467;TSMv1 - Pazar Indeksi;1;100;90,62127171;90,62127171
100449;TSMv1 - Pazar Indeksi;1;100;96,98966209;96,98966209
101549;TSMv1 - Pazar Indeksi;1;100;114,3139319;114,3139319
101251;TSMv1 - Pazar Indeksi;1;100;84,54154051;84,54154051
100496;TSMv1 - Pazar Indeksi;1;100;89,73008865;89,73008865
101460;TSMv1 - Pazar Indeksi;1;100;99,25980977;99,25980977
101575;TSMv1 - Pazar Indeksi;1;100;94,4062389;94,4062389
100662;TSMv1 - Pazar Indeksi;1;100;105,7821109;105,7821109
100462;TSMv1 - Pazar Indeksi;1;100;109,4870656;109,4870656
100595;TSMv1 - Pazar Indeksi;1;100;105,8803451;105,8803451
101808;TSMv1 - Pazar Indeksi;1;100;101,7346526;101,7346526
101912;TSMv1 - Pazar Indeksi;1;100;85,13983249;85,13983249
100119;TSMv1 - Pazar Indeksi;1;100;92,2962493;92,2962493
100361;TSMv1 - Pazar Indeksi;1;100;77,45549596;77,45549596
100581;TSMv1 - Pazar Indeksi;1;100;93,91164047;93,91164047
100465;TSMv1 - Pazar Indeksi;1;100;100,2340661;100,2340661
101920;TSMv1 - Pazar Indeksi;1;100;89,39534761;89,39534761
101805;TSMv1 - Pazar Indeksi;1;100;68,2745414;68,2745414
100707;TSMv1 - Pazar Indeksi;1;100;78,96426898;78,96426898
101929;TSMv1 - Pazar Indeksi;1;100;64,44506725;64,44506725
101921;TSMv1 - Pazar Indeksi;1;100;62,64538861;62,64538861
100342;TSMv1 - Pazar Indeksi;1;100;82,00111707;82,00111707
101919;TSMv1 - Pazar Indeksi;1;100;87,99695984;87,99695984
101854;TSMv1 - Pazar Indeksi;1;100;70,83034677;70,83034677
100711;TSMv1 - Pazar Indeksi;1;100;75,25941212;75,25941212
101917;TSMv1 - Pazar Indeksi;1;100;78,34195638;78,34195638
101826;TSMv1 - Pazar Indeksi;1;100;73,37512942;73,37512942
101798;TSMv1 - Pazar Indeksi;1;100;57,04070694;57,04070694
100769;TSMv1 - Pazar Indeksi;1;100;72,92583166;72,92583166
100864;TSMv1 - Pazar Indeksi;1;100;53,48932807;53,48932807
101273;TSMv1 - Pazar Indeksi;1;100;57,15284479;57,15284479
101568;TSMv1 - Pazar Indeksi;1;100;199,1382224;199,1382224
100658;TSMv1 - Pazar Indeksi;1;100;176,4102227;176,4102227
