Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100071;TSMv1 - Toplam Grup Kota Realizasyonu;1;156470,2815;154663,27;98,84514073
100078;TSMv1 - Toplam Grup Kota Realizasyonu;1;139315,4366;191456,76;137,4268097
100079;TSMv1 - Toplam Grup Kota Realizasyonu;1;129661,1947;124746,0386;96,20923117
100101;TSMv1 - Toplam Grup Kota Realizasyonu;1;128030,0014;126046,3229;98,4506143
100102;TSMv1 - Toplam Grup Kota Realizasyonu;1;109285,9691;110124,1425;100,7669543
100103;TSMv1 - Toplam Grup Kota Realizasyonu;1;136377,3315;140457,08;102,9915151
100104;TSMv1 - Toplam Grup Kota Realizasyonu;1;105832,8633;104640,12;98,87299343
100105;TSMv1 - Toplam Grup Kota Realizasyonu;1;99139,78388;121023,9;122,0740002
100118;TSMv1 - Toplam Grup Kota Realizasyonu;1;111112,2411;109155,11;98,2385999
100119;TSMv1 - Toplam Grup Kota Realizasyonu;1;135555,0964;113941;84,05512075
100121;TSMv1 - Toplam Grup Kota Realizasyonu;1;135354,9126;131678,7486;97,2840557
100122;TSMv1 - Toplam Grup Kota Realizasyonu;1;147828,1712;146382,83;99,02228296
100138;TSMv1 - Toplam Grup Kota Realizasyonu;1;125090,4304;114797,14;91,77132065
100140;TSMv1 - Toplam Grup Kota Realizasyonu;1;102556,1195;111235,67;108,4632205
100164;TSMv1 - Toplam Grup Kota Realizasyonu;1;190302,1388;186132,82;97,80910564
100166;TSMv1 - Toplam Grup Kota Realizasyonu;1;118183,8272;114118,7586;96,560385
100177;TSMv1 - Toplam Grup Kota Realizasyonu;1;120088,5733;119676,16;99,65657576
100194;TSMv1 - Toplam Grup Kota Realizasyonu;1;128372,7837;130323,3029;101,519418
100195;TSMv1 - Toplam Grup Kota Realizasyonu;1;113162,7198;108966,2325;96,29163445
100196;TSMv1 - Toplam Grup Kota Realizasyonu;1;135421,9553;146812,47;108,4111285
100199;TSMv1 - Toplam Grup Kota Realizasyonu;1;131517,6292;135955,4;103,3742783
100200;TSMv1 - Toplam Grup Kota Realizasyonu;1;124637,0841;141603,04;113,6122857
100201;TSMv1 - Toplam Grup Kota Realizasyonu;1;179197,1794;189048,04;105,4972186
100202;TSMv1 - Toplam Grup Kota Realizasyonu;1;137416,9867;171014,2;124,4490977
100204;TSMv1 - Toplam Grup Kota Realizasyonu;1;152715,5901;148231,61;97,06383602
100205;TSMv1 - Toplam Grup Kota Realizasyonu;1;139180,0875;149548,39;107,4495589
100209;TSMv1 - Toplam Grup Kota Realizasyonu;1;175903,4075;131084,96;74,52098959
100212;TSMv1 - Toplam Grup Kota Realizasyonu;1;97458,73422;92007,13;94,40624356
100214;TSMv1 - Toplam Grup Kota Realizasyonu;1;124556,0774;144657,78;116,1386766
100233;TSMv1 - Toplam Grup Kota Realizasyonu;1;147412,2319;184285,21;125,0135132
100240;TSMv1 - Toplam Grup Kota Realizasyonu;1;149096,2632;159863,21;107,2214733
100241;TSMv1 - Toplam Grup Kota Realizasyonu;1;200283,3719;197235,58;98,47826013
100242;TSMv1 - Toplam Grup Kota Realizasyonu;1;153305,1135;155417,55;101,3779295
100244;TSMv1 - Toplam Grup Kota Realizasyonu;1;52821,89621;39008,57;73,84924207
100244;TSMv1 - Toplam Grup Kota Realizasyonu;1;54744,94635;51438,55857;93,96037808
100247;TSMv1 - Toplam Grup Kota Realizasyonu;1;189328,7996;194591,64;102,7797358
100248;TSMv1 - Toplam Grup Kota Realizasyonu;1;105143,7137;127578,8617;121,3376028
100250;TSMv1 - Toplam Grup Kota Realizasyonu;1;131982,4885;139410,48;105,628013
100251;TSMv1 - Toplam Grup Kota Realizasyonu;1;82006,21056;87937,55;107,232793
100253;TSMv1 - Toplam Grup Kota Realizasyonu;1;207925,3012;272876,61;131,2378092
100254;TSMv1 - Toplam Grup Kota Realizasyonu;1;95693,51068;90514,37;94,58778276
100260;TSMv1 - Toplam Grup Kota Realizasyonu;1;109325,1242;122153,83;111,7344534
100261;TSMv1 - Toplam Grup Kota Realizasyonu;1;113109,4044;118516,95;104,7808099
100263;TSMv1 - Toplam Grup Kota Realizasyonu;1;99989,52055;86106,13;86,1151544
100265;TSMv1 - Toplam Grup Kota Realizasyonu;1;56321,40951;61447,44;109,1013889
100265;TSMv1 - Toplam Grup Kota Realizasyonu;1;45924,2255;41736,80286;90,88188729
100269;TSMv1 - Toplam Grup Kota Realizasyonu;1;291739,9518;267029,33;91,52991502
100272;TSMv1 - Toplam Grup Kota Realizasyonu;1;145486,6459;154809,46;106,4080205
100274;TSMv1 - Toplam Grup Kota Realizasyonu;1;179530,746;175582,81;97,80096941
100275;TSMv1 - Toplam Grup Kota Realizasyonu;1;115439,1146;151958,96;131,6355903
100276;TSMv1 - Toplam Grup Kota Realizasyonu;1;179381,4444;183188,32;102,1222237
100286;TSMv1 - Toplam Grup Kota Realizasyonu;1;182117,2732;209670,86;115,1295846
100288;TSMv1 - Toplam Grup Kota Realizasyonu;1;108994,971;89046,18464;81,69751668
100292;TSMv1 - Toplam Grup Kota Realizasyonu;1;93225,65004;94812,3925;101,7020449
100293;TSMv1 - Toplam Grup Kota Realizasyonu;1;125940,8142;127998,23;101,6336371
100294;TSMv1 - Toplam Grup Kota Realizasyonu;1;146623,9935;169335,51;115,4896316
