Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;160;147;91,88
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;172;162;94,19
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;173;163;94,22
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;296;263;88,85
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;295;281;95,25
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;299;286;95,65
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;163;154;94,48
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;184;140;76,09
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;231;204;88,31
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;185;168;90,81
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;186;182;97,85
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;183;167;91,26
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;266;204;76,69
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;275;226;82,18
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;282;207;73,4
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;272;198;72,79
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;278;223;80,22
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;264;204;77,27
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;269;229;85,13
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;282;224;79,43
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;258;202;78,29
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;188;146;77,66
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;182;133;73,08
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;241;198;82,16
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;117;112;95,73
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;126;113;89,68
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;123;97;78,86
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;106;98;92,45
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;108;100;92,59
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;140;128;91,43
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;266;241;90,6
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;264;250;94,7
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;259;240;92,66
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;149;141;94,63
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;150;143;95,33
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;151;149;98,68
100589;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;228;185;81,14
100589;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;229;189;82,53
100589;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;229;171;74,67
100528;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;226;214;94,69
100528;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;226;201;88,94
100528;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;224;207;92,41
101972;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;137;118;86,13
101972;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;276;240;86,96
101972;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;279;236;84,59
100342;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;280;216;77,14
100342;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;283;270;95,41
100342;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;278;275;98,92
100540;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;240;175;72,92
100540;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;240;169;70,42
100540;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;192;123;64,06
100315;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;193;154;79,79
100315;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;210;191;90,95
100315;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;209;197;94,26
100333;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;259;233;89,96
100333;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;252;220;87,3
100333;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;254;232;91,34
100571;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;180;177;98,33
100571;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;186;181;97,31
100571;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;188;184;97,87
101549;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;216;140;64,81
101549;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;248;140;56,45
101549;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;221;179;81
100509;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;310;273;88,06
100509;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;306;254;83,01
100509;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;308;257;83,44
100118;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;198;187;94,44
100118;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;201;194;96,52
100118;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;201;192;95,52
100584;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;291;210;72,16
100584;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;295;225;76,27
100584;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;287;226;78,75
100294;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;202;147;72,77
100294;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;200;174;87
100294;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;197;178;90,36
101955;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;239;177;74,06
101955;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;234;146;62,39
101955;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;242;189;78,1
100401;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;175;174;99,43
100401;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;174;161;92,53
100401;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;173;171;98,84
101273;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;219;196;89,5
101273;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;221;133;60,18
101273;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;208;181;87,02
100312;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;300;221;73,67
100312;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;264;225;85,23
100312;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;282;249;88,3
101568;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;284;233;82,04
101568;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;299;213;71,24
101568;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;294;231;78,57
100324;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;232;193;83,19
100324;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;242;196;80,99
100324;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;237;190;80,17
100618;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;270;179;66,3
100618;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;268;172;64,18
100618;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;261;156;59,77
101009;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;175;125;71,43
101009;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;174;110;63,22
101009;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;175;115;65,71
101543;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;134;129;96,27
101543;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;126;114;90,48
101543;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;133;126;94,74
100671;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;234;204;87,18
100671;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;216;183;84,72
100671;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;216;183;84,72
100380;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;271;246;90,77
100380;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;280;236;84,29
100380;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;288;227;78,82
101274;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;201;171;85,07
101274;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;2;202;159;78,71
101274;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;3;205;168;81,95
101253;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;1;221;134;60,63
