Çalışan Sicil No;Gösterge Adı ;eriyot;Planlanan;Gerçekleşen;Sonuç 
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;106;82;77,36
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;101;101;100
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;110;110;100
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;130;127;97,69
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;131;116;88,55
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;130;130;100
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;138;119;86,23
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;160;124;77,5
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;159;157;98,74
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;180;165;91,67
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;164;143;87,2
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;170;137;80,59
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;179;165;92,18
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;180;167;92,78
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;180;156;86,67
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;159;107;67,3
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;164;129;78,66
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;146;139;95,21
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;191;124;64,92
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;188;152;80,85
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;168;154;91,67
101811;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;161;140;86,96
101811;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;101;85;84,16
101811;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;170;152;89,41
101686;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;114;108;94,74
101686;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;124;116;93,55
101686;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;105;92;87,62
100445;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;118;102;86,44
100445;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;118;112;94,92
100445;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;120;116;96,67
101905;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;160;139;86,88
101905;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;154;152;98,7
101905;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;154;143;92,86
101696;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;95;94;98,95
101696;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;122;116;95,08
101696;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;122;118;96,72
100589;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;133;99;74,44
100589;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;149;127;85,23
100589;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;141;109;77,3
100528;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;151;142;94,04
100528;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;144;133;92,36
100528;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;144;129;89,58
101972;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;70;48;68,57
101972;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;114;88;77,19
101972;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;138;124;89,86
100342;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;139;131;94,24
100342;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;144;140;97,22
100342;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;3;144;142;98,61
100540;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;1;153;132;86,27
100540;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;2;148;118;79,73
