Çal??an Sicil;Gösterge Ad? ;Periyot;Planlanan;Gerçekle?en;Sonuç 
100071;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100103;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100104;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100119;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100122;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100196;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100240;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100247;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100250;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100272;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100293;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100324;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100329;TSM - Medikal S?nav Ba?ar?s?;1;100;80;80
100332;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100336;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100342;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100356;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100358;TSM - Medikal S?nav Ba?ar?s?;1;100;88;88
100360;TSM - Medikal S?nav Ba?ar?s?;1;100;76;76
100361;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100416;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100438;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100444;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100449;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100450;TSM - Medikal S?nav Ba?ar?s?;1;100;84;84
100457;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100462;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100465;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100466;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100467;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100496;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100506;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100517;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100538;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100574;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100581;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100595;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100626;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100662;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100670;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100671;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100707;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100711;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100720;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100769;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100796;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
100864;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
100947;TSM - Medikal S?nav Ba?ar?s?;1;100;100;100
100948;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101251;TSM - Medikal S?nav Ba?ar?s?;1;100;92;92
101256;TSM - Medikal S?nav Ba?ar?s?;1;100;96;96
