Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100524;BTMv1 - Toplam Grup Kota Realizasyonu;1;1293006,52;1312113,41;101,4777102
100389;BTMv1 - Toplam Grup Kota Realizasyonu;1;2164260,704;1885282,11;87,10975097
100377;BTMv1 - Toplam Grup Kota Realizasyonu;1;1701041,549;1628425,1;95,73105963
100008;BTMv1 - Toplam Grup Kota Realizasyonu;1;1891645,483;1687143,9;89,18922258
100343;BTMv1 - Toplam Grup Kota Realizasyonu;1;1937232,95;1710086,99;88,27472142
100512;BTMv1 - Toplam Grup Kota Realizasyonu;1;1378710,08;1215697,46;88,17643952
100077;BTMv1 - Toplam Grup Kota Realizasyonu;1;1999938,902;1909019,29;95,45388054
100654;BTMv1 - Toplam Grup Kota Realizasyonu;1;1773913,953;1571660,1;88,59844061
100084;BTMv1 - Toplam Grup Kota Realizasyonu;1;2928068,152;2691909,61;91,93466374
100690;BTMv1 - Toplam Grup Kota Realizasyonu;1;1454057,475;1443201,73;99,25341708
100264;BTMv1 - Toplam Grup Kota Realizasyonu;1;2504181,241;2431157,97;97,08394624
100139;BTMv1 - Toplam Grup Kota Realizasyonu;1;1899173,58;1878711,3;98,92256927
100493;BTMv1 - Toplam Grup Kota Realizasyonu;1;2758228,057;2569878,66;93,17136245
100234;BTMv1 - Toplam Grup Kota Realizasyonu;1;2360246,087;2027170,64;85,8881051
100419;BTMv1 - Toplam Grup Kota Realizasyonu;1;2004762,078;1893351,95;94,44272568
100161;BTMv1 - Toplam Grup Kota Realizasyonu;1;1194844,709;1021549,31;85,49640825
100421;BTMv1 - Toplam Grup Kota Realizasyonu;1;1492037,408;1462722,72;98,03525783
100313;BTMv1 - Toplam Grup Kota Realizasyonu;1;1944369,523;1630886,69;83,87740453
100246;BTMv1 - Toplam Grup Kota Realizasyonu;1;1776801,611;1868977,84;105,1877614
