Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST  ;83842,12488;78630,61;93,78
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM  ;559520,7752;496973,4;88,82
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;579768,1572;433210,98;74,72
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST  ;110522,6161;97579,2;88,29
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM  ;562071,2135;543223,62;96,65
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;612639,1364;598640,05;97,71
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;BRONCHOREST  ;64948,87599;45608,54275;70,22
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;DICLOFLAM  ;518209,1213;388818,56;75,03
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;PARAFON/X;602687,3902;410284,84;68,08
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASİF  ;236861,9708;221274;93,42
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA  ;53145,85849;57694,07;108,56
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;73503,87032;52423,44;71,32
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASİF  ;245178,4273;222984,09;90,95
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA  ;89861,16769;72832,1;81,05
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;71716,89961;89082,19;124,21
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;EVASİF  ;259732,9639;274328,4968;105,62
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;SIDATRIA  ;93986,57964;134058,962;142,64
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ZENTICAVIR;94201,60892;100599,2707;106,79
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;203680,5569;159637,5;78,38
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;833274,0894;762361,68;91,49
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;36532,33088;46166,26;126,37
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;485180,7512;433397,95;89,33
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS  ;44249,58925;48617,04;109,87
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;TERBISIL;178180,4472;169181,2;94,95
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ILIADIN;309143,1713;332492,04;107,55
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;MAGNIS  ;47438,61117;47236,65486;99,57
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;TERBISIL;174702,5821;203052,7696;116,23
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;297692,1896;267339,6;89,8
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;1052529,25;980468,38;93,15
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;55047,01831;73089,8;132,78
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;614400,7136;557564,64;90,75
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS  ;66843,46925;93854;140,41
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;TERBISIL;261609,2976;252829,41;96,64
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ILIADIN;392977,0907;418727,15;106,55
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;MAGNIS  ;71660,82381;76071,22242;106,15
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;TERBISIL;256268,5273;288178,55;112,45
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;324623,2633;353581,69;108,92
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;1781426,138;1584405,8;88,94
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;54672,68042;56601,02;103,53
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;1051727,497;777745,68;73,95
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS  ;66458,91604;68550,16;103,15
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;TERBISIL;406830,3915;384803,25;94,59
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ILIADIN;671319,3725;604696,66;90,08
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;MAGNIS  ;71248,56282;69490,1545;97,53
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;TERBISIL;397644,5358;481978,8177;121,21
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASİF  ;258906,0129;268926;103,87
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA  ;26710,18837;26461,19;99,07
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;95475,94125;90120,78;94,39
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASİF  ;267967,1307;273322,65;102
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA  ;45457,18635;27935,6;61,45
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;93272,72893;98960,04;106,1
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;EVASİF  ;302498,1441;257852,7404;85,24
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;SIDATRIA  ;45549,81065;59638,39853;130,93
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ZENTICAVIR;122515,8334;115736,6504;94,47
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL  ;105847,268;157396,64;148,7
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;580805,7013;445149,42;76,64
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;137561,0677;133336,58;96,93
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL  ;190931,6735;189464,25;99,23
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;568466,9662;477398,57;83,98
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT;160326,5044;134959,44;84,18
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;ACETUDIL  ;185803,3689;234758,28;126,35
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;FLEXO GRUP;590133,7894;451571,45;76,52
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;TRIBUDAT;147352,0705;139547,6812;94,7
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;144405,0681;150693,8;104,35
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;86301,78903;82927,02;96,09
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;308422,8162;325278,56;105,47
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;38798,52575;40992;105,65
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;38343,7333;31688,58;82,64
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;294538,484;308692,25;104,81
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;DULOXX;143920,3372;151769,76;105,45
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;ETKINIA  ;89281,44099;83460,18;93,48
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;GYREX;305269,7873;340200,06;111,44
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS  ;48521,10389;78890;162,59
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;SAYFREN;38180,66802;27413,99;71,8
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;2;SECITA;309489,2128;305850,87;98,82
100115;BTMv1 - Hedef Ürünler Kota Realizasyonu;3;DULOXX;153736,6353;168305,9769;109,48
