Çalışan Sicil no;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Sonuç 
100421;BTMv1 - Gelişim İndeksi;1;104,82;107,09;102,16
100512;BTMv1 - Gelişim İndeksi;1;104,82;102,67;97,95
100343;BTMv1 - Gelişim İndeksi;1;104,82;106,59;101,69
100524;BTMv1 - Gelişim İndeksi;1;104,82;111,13;106,02
100139;BTMv1 - Gelişim İndeksi;1;104,82;110,89;105,79
102020;BTMv1 - Gelişim İndeksi;1;104,82;104,2;99,41
100161;BTMv1 - Gelişim İndeksi;1;104,82;102,04;97,35
100654;BTMv1 - Gelişim İndeksi;1;104,82;95,06;90,69
100238;BTMv1 - Gelişim İndeksi;1;102,66;104,33;101,62
100008;BTMv1 - Gelişim İndeksi;1;102,66;96,59;94,09
100389;BTMv1 - Gelişim İndeksi;1;102,66;99,58;97
100299;BTMv1 - Gelişim İndeksi;1;102,66;103,89;101,2
100264;BTMv1 - Gelişim İndeksi;1;102,66;98,96;96,4
100285;BTMv1 - Gelişim İndeksi;1;102,66;109,18;106,35
100377;BTMv1 - Gelişim İndeksi;1;102,66;104,96;102,24
100387;BTMv1 - Gelişim İndeksi;1;102,66;105,74;103
100087;BTMv1 - Gelişim İndeksi;1;141,93;159,9;112,66
100074;BTMv1 - Gelişim İndeksi;1;141,93;133,63;94,15
100198;BTMv1 - Gelişim İndeksi;1;141,93;145,12;102,24
100784;BTMv1 - Gelişim İndeksi;1;141,93;148,01;104,28
100162;BTMv1 - Gelişim İndeksi;1;141,93;136,45;96,14
100088;BTMv1 - Gelişim İndeksi;1;105,4;105,71;100,29
101986;BTMv1 - Gelişim İndeksi;1;105,4;99,65;94,54
101980;BTMv1 - Gelişim İndeksi;1;105,4;101,85;96,62
100690;BTMv1 - Gelişim İndeksi;1;105,4;111,45;105,73
100678;BTMv1 - Gelişim İndeksi;1;105,4;107,5;101,99
100319;BTMv1 - Gelişim İndeksi;1;105,4;111,49;105,77
100313;BTMv1 - Gelişim İndeksi;1;91,53;87,93;96,07
100419;BTMv1 - Gelişim İndeksi;1;91,53;87,83;95,96
100234;BTMv1 - Gelişim İndeksi;1;91,53;88,73;96,94
100246;BTMv1 - Gelişim İndeksi;1;91,53;101,07;110,42
100493;BTMv1 - Gelişim İndeksi;1;91,53;94,58;103,33
100084;BTMv1 - Gelişim İndeksi;1;91,53;91,56;100,04
100075;BTMv1 - Gelişim İndeksi;1;91,53;89,88;98,19
100077;BTMv1 - Gelişim İndeksi;1;91,53;90,89;99,3
100311;BTMv1 - Gelişim İndeksi;1;109,4;116,4;106,17
100268;BTMv1 - Gelişim İndeksi;1;109,4;110,61;101,11
100297;BTMv1 - Gelişim İndeksi;1;109,4;102;93,27
100115;BTMv1 - Gelişim İndeksi;1;109,4;109,31;99,78
100458;BTMv1 - Gelişim İndeksi;1;109,4;104,92;95,91
100295;BTMv1 - Gelişim İndeksi;1;109,4;105,62;96,57
100659;BTMv1 - Gelişim İndeksi;1;109,4;117,04;107,19
100586;BTMv1 - Gelişim İndeksi;1;109,4;112,35;102,79
