Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100084;BTMv1 - Pazar İndeksi;1;100;104,8356517;104,8356517
100654;BTMv1 - Pazar İndeksi;1;100;107,283482;107,283482
100268;BTMv1 - Pazar İndeksi;1;100;103,927382;103,927382
100295;BTMv1 - Pazar İndeksi;1;100;106,6300965;106,6300965
100458;BTMv1 - Pazar İndeksi;1;100;100,5399757;100,5399757
100586;BTMv1 - Pazar İndeksi;1;100;92,58476668;92,58476668
100161;BTMv1 - Pazar İndeksi;1;100;103,4592779;103,4592779
100659;BTMv1 - Pazar İndeksi;1;100;85,15879644;85,15879644
101980;BTMv1 - Pazar İndeksi;1;100;114,7779823;114,7779823
100299;BTMv1 - Pazar İndeksi;1;100;85,10337796;85,10337796
100088;BTMv1 - Pazar İndeksi;1;100;87,31090908;87,31090908
100784;BTMv1 - Pazar İndeksi;1;100;77,31086825;77,31086825
100008;BTMv1 - Pazar İndeksi;1;100;104,5942572;104,5942572
100077;BTMv1 - Pazar İndeksi;1;100;99,68487532;99,68487532
100678;BTMv1 - Pazar İndeksi;1;100;111,7103272;111,7103272
102020;BTMv1 - Pazar İndeksi;1;100;87,55372302;87,55372302
100690;BTMv1 - Pazar İndeksi;1;100;92,21502083;92,21502083
100512;BTMv1 - Pazar İndeksi;1;100;101,9748844;101,9748844
100162;BTMv1 - Pazar İndeksi;1;100;121,3537817;121,3537817
100493;BTMv1 - Pazar İndeksi;1;100;97,09529765;97,09529765
100297;BTMv1 - Pazar İndeksi;1;100;106,5;106,5
100115;BTMv1 - Pazar İndeksi;1;100;106,84;106,84
100198;BTMv1 - Pazar İndeksi;1;100;96,34432343;96,34432343
100246;BTMv1 - Pazar İndeksi;1;100;102,5033116;102,5033116
100377;BTMv1 - Pazar İndeksi;1;100;127,1348443;127,1348443
100139;BTMv1 - Pazar İndeksi;1;100;104,4926657;104,4926657
100264;BTMv1 - Pazar İndeksi;1;100;106,1455549;106,1455549
100313;BTMv1 - Pazar İndeksi;1;100;87,29808723;87,29808723
100421;BTMv1 - Pazar İndeksi;1;100;103,3126398;103,3126398
100319;BTMv1 - Pazar İndeksi;1;100;103,5295664;103,5295664
100387;BTMv1 - Pazar İndeksi;1;100;117,6781033;117,6781033
100389;BTMv1 - Pazar İndeksi;1;100;86,69157587;86,69157587
100311;BTMv1 - Pazar İndeksi;1;100;117,32;117,32
101986;BTMv1 - Pazar İndeksi;1;100;98,95245335;98,95245335
100074;BTMv1 - Pazar İndeksi;1;100;104,5655387;104,5655387
100087;BTMv1 - Pazar İndeksi;1;100;111,7943615;111,7943615
100075;BTMv1 - Pazar İndeksi;1;100;108,3748797;108,3748797
100419;BTMv1 - Pazar İndeksi;1;100;116,8660153;116,8660153
100343;BTMv1 - Pazar İndeksi;1;100;104,415408;104,415408
100234;BTMv1 - Pazar İndeksi;1;100;91,43114084;91,43114084
100285;BTMv1 - Pazar İndeksi;1;100;91,5349042;91,5349042
100524;BTMv1 - Pazar İndeksi;1;100;97,80792098;97,80792098
100238;BTMv1 - Pazar İndeksi;1;100;93,40902972;93,40902972
100084;BTMv1 - Pazar İndeksi;2;100;99,59605832;99,59605832
100654;BTMv1 - Pazar İndeksi;2;100;121,7971293;121,7971293
100268;BTMv1 - Pazar İndeksi;2;100;102,128247;102,128247
100295;BTMv1 - Pazar İndeksi;2;100;106,8355221;106,8355221
100458;BTMv1 - Pazar İndeksi;2;100;104,8346042;104,8346042
100586;BTMv1 - Pazar İndeksi;2;100;88,53968334;88,53968334
100161;BTMv1 - Pazar İndeksi;2;100;101,2448865;101,2448865
100659;BTMv1 - Pazar İndeksi;2;100;85,75039845;85,75039845
101980;BTMv1 - Pazar İndeksi;2;100;115,6799479;115,6799479
100299;BTMv1 - Pazar İndeksi;2;100;75,76570411;75,76570411
100088;BTMv1 - Pazar İndeksi;2;100;90,31260047;90,31260047
100784;BTMv1 - Pazar İndeksi;2;100;85,88213541;85,88213541
100008;BTMv1 - Pazar İndeksi;2;100;108,7058447;108,7058447
100077;BTMv1 - Pazar İndeksi;2;100;111,0205391;111,0205391
100678;BTMv1 - Pazar İndeksi;2;100;111,8024037;111,8024037
102020;BTMv1 - Pazar İndeksi;2;100;89,84315262;89,84315262
100690;BTMv1 - Pazar İndeksi;2;100;89,36740969;89,36740969
100512;BTMv1 - Pazar İndeksi;2;100;94,97847663;94,97847663
100162;BTMv1 - Pazar İndeksi;2;100;120,5941609;120,5941609
100493;BTMv1 - Pazar İndeksi;2;100;95,98580661;95,98580661
100297;BTMv1 - Pazar İndeksi;2;100;108,2235332;108,2235332
100115;BTMv1 - Pazar İndeksi;2;100;105,9690734;105,9690734
100198;BTMv1 - Pazar İndeksi;2;100;95,06758705;95,06758705
100246;BTMv1 - Pazar İndeksi;2;100;89,54234866;89,54234866
100377;BTMv1 - Pazar İndeksi;2;100;120,4559959;120,4559959
100139;BTMv1 - Pazar İndeksi;2;100;104,7614005;104,7614005
