Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Realizasyon
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ACETUDIL;2279885,715;2719711,063;119,2915524
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ANTHIX;2132395,311;2374778,906;111,366729
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;APIKOBAL;8956252,185;10908261,88;121,7949389
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;FLEXO;10260858,68;8219574,563;80,10610829
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;FLUREND;4528945,797;3456058,664;76,3104444
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ILIADIN;18841279,99;17929178,79;95,15902739
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;KOMOX;789548,0925;719800,4629;91,16613285
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;LOCODERM;3233568,228;3131148,254;96,83260203
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;MAGNIS;1313065,156;1538292,438;117,152788
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;PULMOREST;2354078,91;1891512,32;80,35042123
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SPANOL;657633,2678;696674,3672;105,9366065
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;TERBISIL;6022701,272;5946534,113;98,73533228
101964;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;TRIBUDAT;2815204,118;2947301,648;104,6922896
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;COGITO;2135876,177;2139504,204;100,1698613
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;DULOXX;4086483,338;4614669,813;112,9252081
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ELEPSI;631254,8692;647351,2776;102,5499064
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;EPREX;1530134,365;1424044,031;93,06660013
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ETKINIA;2259248,959;2095158,781;92,736959
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;EVASIF;3955762,975;4076373,188;103,0489747
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;FERROVEN;1547111,685;1272026,969;82,21946617
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;GYREX;8680978,356;9276383,686;106,8587353
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;LEV-END;2816565,342;2666386,615;94,66801907
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;PHOCUSS;1022570,153;1726715,188;168,8603155
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SAYFREN;1215470,801;1120573,227;92,19252534
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SECITA;7752896,763;7882180,01;101,6675476
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;SIDATRIA;1949999,22;1203924,922;61,73976428
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;UKRA;763254,3229;515043,6328;67,47994965
100970;GÜMv1 - Net Master Kota Realizasyonu (İlgili Tüm Ürünler) TL;1;ZENTICAVIR;1241314,162;1592815,533;128,3168743
