Çal??an Sicil No;Gösterge Ad?;Periyot;Ürün;Planlanan;Gerçekle?en;Realizasyon
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;ACETUDIL;495785,72;728420,09;146,92
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;ACETUDIL;721547,62;890184;123,37
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;ACETUDIL;1062552,38;1101106,97;103,63
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;ALLERSET;3542272,46;3598916,95;101,6
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;ALLERSET;4686798,24;4890536,02;104,35
101749;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;ALLERSET;3182703,02;4317155,81;135,64
101898;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;ANTHIX;710215,98;742309,78;104,52
101898;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;ANTHIX;767686,78;895450;116,64
101898;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;ANTHIX;654492,56;737019,13;112,61
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;APIKOBAL;3116576,53;3243575,75;104,07
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;APIKOBAL;2779819,87;3565792,5;128,27
100727;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;APIKOBAL;3059855,79;4098893,63;133,96
101034;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;BRONCHOREST;752535,96;607651,06;80,75
101034;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;BRONCHOREST;1242456,9;756691,19;60,9
101034;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;BRONCHOREST;576379,57;527073,55;91,45
101029;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;COGITO;695577,01;634007,85;91,15
101029;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;COGITO;707412,26;742895,78;105,02
101029;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;COGITO;732886,91;762600,58;104,05
101271;ÜMv1 - Ürün Net Master Kota Realizasyonu;1;CREBROS;1351893,8;1502702,88;111,16
101271;ÜMv1 - Ürün Net Master Kota Realizasyonu;2;CREBROS;1948221,42;1517666,92;77,9
101271;ÜMv1 - Ürün Net Master Kota Realizasyonu;3;CREBROS;1635265,62;1548683,54;94,71
