Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;SAPMA (%)
100727;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ACETUDIL;2279885,715;2719711,063;119,2915524
101749;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ALLERSET;11411773,71;12806608,78;112,2227719
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ANTHIX;2132395,311;2374778,906;111,366729
100727;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;APIKOBAL;8956252,185;10908261,88;121,7949389
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;BRONCHOREST;2571372,433;1891415,797;73,55666463
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;COGITO;2135876,177;2139504,204;100,1698613
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;CREBROS;4935380,837;4569053,343;92,57752328
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;DERMACUTAN;592137,5037;398265,3086;67,25892315
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;DICLOFLAM;12590433,92;10962151,88;87,06730796
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;DULOXX;4086483,338;4614669,813;112,9252081
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ELEKTRA;3489319,498;3014858,172;86,40246827
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ELEKTRA PLUS;11621962,15;10858442;93,43036793
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ELEPSI;631254,8692;647351,2776;102,5499064
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;EPREX;1530134,365;1424044,031;93,06660013
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ETKINIA;2259248,959;2095158,781;92,736959
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;FERROVEN;1547111,685;1272026,969;82,21946617
100727;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;FLEXO;10260858,68;8219574,563;80,10610829
101653;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;FLUREND;4528945,797;3456058,664;76,3104444
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;GYREX;8680978,356;9276383,686;106,8587353
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;HIRUDOID;12138072,16;11119077,09;91,60496783
101653;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ILIADIN;18841279,99;17929178,79;95,15902739
101903;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;KOMOX;789548,0925;719800,4629;91,16613285
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;LEV-END;2816565,342;2666386,615;94,66801907
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;LOCODERM;3233568,228;3131148,254;96,83260203
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;MAGNIS;1313065,156;1538292,438;117,152788
101749;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;MODET;5782042,348;5452501,625;94,30061728
101653;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;NAZOSTER;3655834,694;4263775,438;116,629328
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;OLY;1615382,322;1335750,773;82,68945101
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;OLY PLUS;652272,8926;553745,6719;84,89478532
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PARAFON;15181377,7;12941133,26;85,24347075
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PHOCUSS;1022570,153;1726715,188;168,8603155
101749;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PULMISTAT;1785141,812;1865433,795;104,497793
101653;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PULMOREST;2354078,91;1891512,32;80,35042123
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;SAYFREN;1215470,801;1120573,227;92,19252534
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;SECITA;7752896,763;7882180,01;101,6675476
101903;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;SPANOL;657633,2678;696674,3672;105,9366065
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;TERBISIL;6022701,272;5946534,113;98,73533228
101903;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;TRIBUDAT;3596271,451;3613295,727;100,4733868
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;UKRA;763254,3229;515043,6328;67,47994965
