Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100821;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;BRONCHOREST;2571372,43;1891415,8;73,56
100821;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;PARAFON;15181377,7;12941133,26;85,24347076
102022;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;ILIADIN;18841279,99;17929178,79;95,16
102022;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;MAGNIS;1313065,16;1538292,44;117,15
101960;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;EVASIF;3955762,97;4076373,19;103,05
101960;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;SIDATRIA;1949999,22;1203924,92;61,74
101994;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;ACETUDIL;2279885,71;2719711,06;119,29
101117;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;DULOXX;4086483,34;4614669,81;112,93
101962;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;GYREX;8680978,36;9276383,69;106,86
101962;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;PHOCUSS;1022570,15;1726715,19;168,86
101117;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;SECITA;7752896,76;7882180,01;101,67
101125;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;ELEKTRA PLUS;11621962,15;10858442;93,43
101125;MM - Hedef Ürünler Net Master Kota Realizasyonu;1;MODET;5782042,35;5452501,63;94,3
