Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;12402478,57;13159585,07;106,10
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;7485628,45;7108981,92;94,97
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;6288066,87;6364705,24;101,22
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;17052690,84;18124671,99;106,29
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;10709445,01;10598920,38;98,97
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;9472508,28;9715441,54;102,56
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;12578017,50;13537338,08;107,63
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;7536656,09;8151250,85;108,15
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;7187384,13;7221123,15;100,47
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;10689760,97;10672001,92;99,83
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;6279482,54;6360825,29;101,30
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;5469865,61;5654696,51;103,38
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;11533584,63;12662843,64;109,79
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;7077235,87;7055700,84;99,70
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;6166942,43;6106993,66;99,03
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);1;8690574,69;8704125,96;100,16
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);2;5198504,62;4969741,96;95,60
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);3;4406916,16;4826086,24;109,51
