Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;3501800;4503156,70;128,60
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;2292600;3047614,66;132,93
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;2661800;2861683,59;107,51
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;4821100;5400944,28;112,03
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;3256600;3983786,95;122,33
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;4005800;4119692,35;102,84
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;3553700;4025370,64;113,27
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;2293700;3013704,84;131,39
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;3023300;3101852,20;102,60
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;3014500;3395090,93;112,63
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;1924500;2693365,95;139,95
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;2312300;2742787,75;118,62
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;3186100;3674425,04;115,33
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;2165100;2813628,67;129,95
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;2581100;2731070,50;105,81
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);1;2449800;2661458,81;108,64
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);2;1585500;1779007,79;112,20
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);3;1884700;2137341,89;113,40
