Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;52,38;4,75
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;50,60;1,21
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;60,45;9,91
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;56,11;12,21
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;59,69;19,38
100287;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;54,27;8,53
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;49,96;0,08
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;52,53;5,05
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;55,07;0,13
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;48,91;2,18
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;51,60;3,20
100666;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;44,20;11,59
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;47,90;4,21
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;47,08;5,84
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;51,43;6,50
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;47,18;5,64
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;48,11;3,79
100310;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;45,97;8,07
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;53,26;6,53
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;52,30;4,60
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;56,05;1,91
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;48,95;2,09
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;54,34;8,69
100157;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;49,35;1,30
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;49,16;1,68
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;43,78;12,44
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;60,28;9,61
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;55,95;11,90
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;56,22;12,45
100823;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;49,12;1,75
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;1;50;54,42;8,84
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;2;50;50,67;1,35
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;3;55;59,50;8,19
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;4;50;55,89;11,78
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;5;50;50,20;0,40
100301;BSMv1 - SF Primli Ürün Stok Seviyesi;6;50;45,28;9,44
