Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;35,16;0,46
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;33,50;4,28
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;36,52;4,35
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;35,85;2,42
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;32,14;7,12
100287;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;26,25;5,01
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;36,79;5,11
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;36,27;3,64
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;39,04;11,53
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;37,16;6,17
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;29,50;1,67
100666;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;19,37;22,53
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;36,47;4,19
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;33,33;4,78
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;43,68;24,79
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;38,73;10,67
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;31,76;5,85
100310;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;24,39;2,46
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;37,38;6,81
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;33,24;5,03
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;32,72;6,50
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;32,67;6,65
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;25,90;13,65
100157;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;23,44;6,23
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;36,99;5,68
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;32,93;5,92
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;34,75;0,71
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;32,22;7,95
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;25,52;14,95
100823;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;16,78;32,89
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;1;35;42,75;22,14
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;2;35;35,16;0,47
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;3;35;35,41;1,16
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;4;35;35,64;1,83
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;5;30;29,13;2,90
100301;BSMv1 - Primsiz Ürün Stok Seviyesi;6;25;19,53;21,89
