Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;SAPMA (%)
100727;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ACETUDIL;2279885,71;2719711,06;119,29
101029;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PHOCUSS;1022570,15;1726715,19;168,86
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;BRONCHOREST;2571372,43;1891415,80;73,56
101034;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;PARAFON;15181377,70;12941133,26;85,24
101271;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;CREBROS;4935380,84;4569053,34;92,58
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;DULOXX;4086483,34;4614669,81;112,93
101427;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;GYREX;8680978,36;9276383,69;106,86
101455;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;SECITA;7752896,76;7882180,01;101,67
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ELEKTRA PLUS;11621962,15;10858442,00;93,43
101533;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;HIRUDOID;12138072,16;11119077,09;91,6
101653;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;ILIADIN;18841279,99;17929178,79;95,16
101749;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;MODET;5782042,35;5452501,63;94,3
101898;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;MAGNIS;1313065,16;1538292,44;117,15
101903;ÜM - Stratejik Ürün Net Master Kota Realizasyonu;1;KOMOX;789548,09;719800,46;91,17
