PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;170176,0419;142988,92;84,02411903
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;129252,8309;124321,3001;96,18458585
100071;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;88649,69496;95938,9;108,2224818
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DULOXX;153961,0413;210599,6605;136,7876307
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;GYREX;226116,2227;301360,12;133,276647
100078;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS;69697,88733;129396,53;185,6534465
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;126902,6618;121626,6;95,84243407
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;20985,05529;35171,37;167,6019887
100079;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;49250,75115;131705,55;267,418358
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;175514,1039;174402,9;99,36688625
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;18942,10887;13252,98;69,96570492
100101;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;78366,54428;90500,68;115,4838214
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;95397,41526;127252,5;133,3919789
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;161823,5131;162603,87;100,4822272
100102;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;40005,51851;71845,79;179,5896983
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;123944,5342;133687,04;107,8603755
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;139233,4887;124548,0501;89,45265347
100103;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;81266,98007;53450,87;65,77194077
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;94286,64937;104529,04;110,8630338
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;109884,2906;102258,7901;93,06042711
100104;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;56350,00482;46636,83;82,76277908
100105;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;51709,50847;75550,8;146,1062041
