Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100626;TSMv1 - Gelişim İndeksi;2;109,58;101,22;92,37
100671;TSMv1 - Gelişim İndeksi;2;109,58;99,03;90,37
100332;TSMv1 - Gelişim İndeksi;2;109,58;108,3;98,84
100122;TSMv1 - Gelişim İndeksi;2;109,58;120,38;109,86
100416;TSMv1 - Gelişim İndeksi;2;109,58;128,78;117,52
100361;TSMv1 - Gelişim İndeksi;2;109,58;114,36;104,37
100466;TSMv1 - Gelişim İndeksi;2;109,58;110,66;100,99
101575;TSMv1 - Gelişim İndeksi;2;109,58;100,08;91,33
101814;TSMv1 - Gelişim İndeksi;2;109,58;98,49;89,88
102146;TSMv1 - Gelişim İndeksi;2;109,58;85,44;77,98
100086;TSMv1 - Gelişim İndeksi;2;109,58;109,52;99,95
100444;TSMv1 - Gelişim İndeksi;2;109,58;91,1;83,14
100462;TSMv1 - Gelişim İndeksi;2;109,58;103,11;94,1
100574;TSMv1 - Gelişim İndeksi;2;109,58;128,45;117,23
100467;TSMv1 - Gelişim İndeksi;2;109,58;110,82;101,13
100707;TSMv1 - Gelişim İndeksi;2;109,58;118,56;108,2
100247;TSMv1 - Gelişim İndeksi;2;109,58;120,43;109,91
100769;TSMv1 - Gelişim İndeksi;2;109,58;99,08;90,42
101654;TSMv1 - Gelişim İndeksi;2;109,58;121,91;111,26
102125;TSMv1 - Gelişim İndeksi;2;109,58;89;81,23
100119;TSMv1 - Gelişim İndeksi;2;109,58;105,66;96,43
100104;TSMv1 - Gelişim İndeksi;2;109,58;109,32;99,77
100336;TSMv1 - Gelişim İndeksi;2;109,58;105,6;96,37
100450;TSMv1 - Gelişim İndeksi;2;109,58;97,55;89,03
100711;TSMv1 - Gelişim İndeksi;2;109,58;103,97;94,89
100465;TSMv1 - Gelişim İndeksi;2;109,58;103,4;94,36
100662;TSMv1 - Gelişim İndeksi;2;109,58;139,5;127,31
100457;TSMv1 - Gelişim İndeksi;2;109,58;101,75;92,85
100796;TSMv1 - Gelişim İndeksi;2;109,58;126,05;115,04
101463;TSMv1 - Gelişim İndeksi;2;109,58;86,99;79,38
101826;TSMv1 - Gelişim İndeksi;2;109,58;127,66;116,51
102001;TSMv1 - Gelişim İndeksi;2;109,58;146,42;133,62
102135;TSMv1 - Gelişim İndeksi;2;109,58;120,19;109,68
100506;TSMv1 - Gelişim İndeksi;2;109,58;104,25;95,14
100324;TSMv1 - Gelişim İndeksi;2;109,58;108,78;99,28
100538;TSMv1 - Gelişim İndeksi;2;109,58;112,73;102,88
100517;TSMv1 - Gelişim İndeksi;2;109,58;87,44;79,8
100449;TSMv1 - Gelişim İndeksi;2;109,58;103,38;94,35
101251;TSMv1 - Gelişim İndeksi;2;109,58;93,49;85,32
101558;TSMv1 - Gelişim İndeksi;2;109,58;109,04;99,51
101921;TSMv1 - Gelişim İndeksi;2;109,58;107,62;98,22
101929;TSMv1 - Gelişim İndeksi;2;109,58;118,37;108,03
100438;TSMv1 - Gelişim İndeksi;2;109,58;100,08;91,33
100496;TSMv1 - Gelişim İndeksi;2;109,58;130,74;119,32
100196;TSMv1 - Gelişim İndeksi;2;109,58;106,62;97,31
100720;TSMv1 - Gelişim İndeksi;2;109,58;113,28;103,38
100947;TSMv1 - Gelişim İndeksi;2;109,58;110,34;100,69
100948;TSMv1 - Gelişim İndeksi;2;109,58;116,19;106,04
101467;TSMv1 - Gelişim İndeksi;2;109,58;125,5;114,53
101549;TSMv1 - Gelişim İndeksi;2;109,58;118,73;108,36
101692;TSMv1 - Gelişim İndeksi;2;109,58;128,16;116,96
101804;TSMv1 - Gelişim İndeksi;2;109,58;126,66;115,59
101805;TSMv1 - Gelişim İndeksi;2;109,58;106,46;97,16
101912;TSMv1 - Gelişim İndeksi;2;109,58;124,18;113,33
101915;TSMv1 - Gelişim İndeksi;2;109,58;105,02;95,84
102122;TSMv1 - Gelişim İndeksi;2;109,58;103,87;94,79
100581;TSMv1 - Gelişim İndeksi;2;109,58;104,74;95,59
100595;TSMv1 - Gelişim İndeksi;2;109,58;113,43;103,52
100272;TSMv1 - Gelişim İndeksi;2;109,58;112,01;102,22
100293;TSMv1 - Gelişim İndeksi;2;109,58;128,61;117,37
100358;TSMv1 - Gelişim İndeksi;2;109,58;120,06;109,57
100356;TSMv1 - Gelişim İndeksi;2;109,58;95,84;87,47
100864;TSMv1 - Gelişim İndeksi;2;109,58;121,94;111,29
101273;TSMv1 - Gelişim İndeksi;2;109,58;89,92;82,06
101655;TSMv1 - Gelişim İndeksi;2;109,58;123,25;112,47
101656;TSMv1 - Gelişim İndeksi;2;109,58;109,27;99,72
101798;TSMv1 - Gelişim İndeksi;2;109,58;117,08;106,85
101854;TSMv1 - Gelişim İndeksi;2;109,58;117,51;107,24
101996;TSMv1 - Gelişim İndeksi;2;109,58;116,13;105,98
102121;TSMv1 - Gelişim İndeksi;2;109,58;94,22;85,99
100240;TSMv1 - Gelişim İndeksi;2;109,58;103,11;94,1
100071;TSMv1 - Gelişim İndeksi;2;109,58;100,5;91,71
100329;TSMv1 - Gelişim İndeksi;2;109,58;104,16;95,06
100360;TSMv1 - Gelişim İndeksi;2;109,58;98,81;90,18
101791;TSMv1 - Gelişim İndeksi;2;109,58;159,79;145,83
102000;TSMv1 - Gelişim İndeksi;2;109,58;131,82;120,3
102138;TSMv1 - Gelişim İndeksi;2;109,58;99,68;90,97
102123;TSMv1 - Gelişim İndeksi;2;109,58;93,27;85,12
100103;TSMv1 - Gelişim İndeksi;2;109,58;102,05;93,13
100250;TSMv1 - Gelişim İndeksi;2;109,58;88,92;81,15
100670;TSMv1 - Gelişim İndeksi;2;109,58;83,64;76,33
100342;TSMv1 - Gelişim İndeksi;2;109,58;104,54;95,41
100487;TSMv1 - Gelişim İndeksi;2;109,58;88,1;80,4
101460;TSMv1 - Gelişim İndeksi;2;109,58;101,94;93,03
101659;TSMv1 - Gelişim İndeksi;2;109,58;107,95;98,52
101806;TSMv1 - Gelişim İndeksi;2;109,58;128,31;117,09
101917;TSMv1 - Gelişim İndeksi;2;109,58;109,71;100,12
101919;TSMv1 - Gelişim İndeksi;2;109,58;138,8;126,67
101920;TSMv1 - Gelişim İndeksi;2;109,58;121,93;111,27
101256;TSMv1 - Gelişim İndeksi;2;109,58;89,42;81,6
102124;TSMv1 - Gelişim İndeksi;2;109,58;84,67;77,27
101693;TSMv1 - Gelişim İndeksi;2;109,31;96,39;88,18
100461;TSMv1 - Gelişim İndeksi;2;109,31;99,83;91,34
101982;TSMv1 - Gelişim İndeksi;2;109,31;98,87;90,45
100950;TSMv1 - Gelişim İndeksi;2;109,31;109,6;100,27
101923;TSMv1 - Gelişim İndeksi;2;109,31;118,5;108,41
100422;TSMv1 - Gelişim İndeksi;2;109,31;121,84;111,47
100522;TSMv1 - Gelişim İndeksi;2;109,31;115,28;105,46
100355;TSMv1 - Gelişim İndeksi;2;109,31;100,64;92,07
100893;TSMv1 - Gelişim İndeksi;2;109,31;99,87;91,37
100650;TSMv1 - Gelişim İndeksi;2;109,31;109,32;100,01
100540;TSMv1 - Gelişim İndeksi;2;109,31;99,75;91,26
100584;TSMv1 - Gelişim İndeksi;2;109,31;102,29;93,58
101568;TSMv1 - Gelişim İndeksi;2;109,31;107,25;98,12
100618;TSMv1 - Gelişim İndeksi;2;109,31;100,86;92,27
100269;TSMv1 - Gelişim İndeksi;2;109,31;98,59;90,2
101796;TSMv1 - Gelişim İndeksi;2;109,31;109,62;100,29
100501;TSMv1 - Gelişim İndeksi;2;109,31;114,21;104,49
101797;TSMv1 - Gelişim İndeksi;2;109,31;104,11;95,24
100509;TSMv1 - Gelişim İndeksi;2;109,31;99,85;91,35
101909;TSMv1 - Gelişim İndeksi;2;109,31;141,38;129,34
101914;TSMv1 - Gelişim İndeksi;2;109,31;96,14;87,96
101276;TSMv1 - Gelişim İndeksi;2;109,31;113,72;104,04
100579;TSMv1 - Gelişim İndeksi;2;109,31;105,85;96,84
101817;TSMv1 - Gelişim İndeksi;2;109,31;123,2;112,72
100686;TSMv1 - Gelişim İndeksi;2;109,31;119,3;109,15
101924;TSMv1 - Gelişim İndeksi;2;109,31;120,48;110,23
101818;TSMv1 - Gelişim İndeksi;2;109,31;109,01;99,73
100674;TSMv1 - Gelişim İndeksi;2;109,31;109,11;99,82
100298;TSMv1 - Gelişim İndeksi;2;109,31;122,52;112,09
100357;TSMv1 - Gelişim İndeksi;2;109,31;115,75;105,9
100766;TSMv1 - Gelişim İndeksi;2;109,31;106,46;97,4
101323;TSMv1 - Gelişim İndeksi;2;109,31;105,28;96,32
101975;TSMv1 - Gelişim İndeksi;2;109,31;117,29;107,3
101661;TSMv1 - Gelişim İndeksi;2;109,31;91,76;83,94
101020;TSMv1 - Gelişim İndeksi;2;109,31;91,63;83,82
100335;TSMv1 - Gelişim İndeksi;2;109,31;108,96;99,69
101660;TSMv1 - Gelişim İndeksi;2;109,31;88,74;81,18
100585;TSMv1 - Gelişim İndeksi;2;109,31;121,15;110,84
101841;TSMv1 - Gelişim İndeksi;2;109,31;114,85;105,07
102132;TSMv1 - Gelişim İndeksi;2;109,31;99,49;91,02
102140;TSMv1 - Gelişim İndeksi;2;109,31;107,28;98,15
101810;TSMv1 - Gelişim İndeksi;2;109,31;102,2;93,5
100209;TSMv1 - Gelişim İndeksi;2;109,31;105,52;96,54
101840;TSMv1 - Gelişim İndeksi;2;109,31;116,37;106,46
100328;TSMv1 - Gelişim İndeksi;2;109,31;119,54;109,36
100658;TSMv1 - Gelişim İndeksi;2;109,31;119,5;109,32
100456;TSMv1 - Gelişim İndeksi;2;109,31;104,39;95,5
100525;TSMv1 - Gelişim İndeksi;2;109,31;115,42;105,59
101925;TSMv1 - Gelişim İndeksi;2;109,31;124,54;113,94
100661;TSMv1 - Gelişim İndeksi;2;109,31;113,06;103,44
100204;TSMv1 - Gelişim İndeksi;2;109,31;120,95;110,65
101279;TSMv1 - Gelişim İndeksi;2;109,31;117,48;107,48
100253;TSMv1 - Gelişim İndeksi;2;109,31;106,79;97,7
101663;TSMv1 - Gelişim İndeksi;2;109,31;113,1;103,48
102137;TSMv1 - Gelişim İndeksi;2;109,31;116,03;106,15
101906;TSMv1 - Gelişim İndeksi;2;109,31;133,33;121,98
100713;TSMv1 - Gelişim İndeksi;2;109,31;93,95;85,96
101329;TSMv1 - Gelişim İndeksi;2;109,31;123,79;113,25
101264;TSMv1 - Gelişim İndeksi;2;109,31;105,87;96,86
101547;TSMv1 - Gelişim İndeksi;2;109,31;117,92;107,88
100392;TSMv1 - Gelişim İndeksi;2;109,31;108,11;98,91
101829;TSMv1 - Gelişim İndeksi;2;109,31;127,83;116,95
101269;TSMv1 - Gelişim İndeksi;2;109,31;109,56;100,23
101664;TSMv1 - Gelişim İndeksi;2;109,31;109,68;100,35
101267;TSMv1 - Gelişim İndeksi;2;109,31;103,25;94,46
101932;TSMv1 - Gelişim İndeksi;2;109,31;110,11;100,73
101933;TSMv1 - Gelişim İndeksi;2;109,31;121,61;111,26
101270;TSMv1 - Gelişim İndeksi;2;109,31;114,12;104,41
101023;TSMv1 - Gelişim İndeksi;2;109,31;115,57;105,73
100528;TSMv1 - Gelişim İndeksi;2;109,31;109,33;100,02
100333;TSMv1 - Gelişim İndeksi;2;109,31;92,41;84,54
100460;TSMv1 - Gelişim İndeksi;2;109,31;99,05;90,62
100515;TSMv1 - Gelişim İndeksi;2;109,31;110,73;101,31
101794;TSMv1 - Gelişim İndeksi;2;109,31;101,55;92,9
100383;TSMv1 - Gelişim İndeksi;2;109,31;111,1;101,64
100718;TSMv1 - Gelişim İndeksi;2;109,31;106,26;97,22
100862;TSMv1 - Gelişim İndeksi;2;109,31;115,17;105,37
102144;TSMv1 - Gelişim İndeksi;2;109,31;105,79;96,78
