Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100538;TSMv1 - Pazar Indeksi;4;100;161,7838899;161,7838899
100796;TSMv1 - Pazar Indeksi;4;100;171,7220913;171,7220913
100356;TSMv1 - Pazar Indeksi;4;100;177,5698515;177,5698515
101692;TSMv1 - Pazar Indeksi;4;100;148,3365061;148,3365061
101791;TSMv1 - Pazar Indeksi;4;100;117,2079732;117,2079732
101804;TSMv1 - Pazar Indeksi;4;100;132,0821916;132,0821916
100416;TSMv1 - Pazar Indeksi;4;100;139,641264;139,641264
101915;TSMv1 - Pazar Indeksi;4;100;137,4158403;137,4158403
100438;TSMv1 - Pazar Indeksi;4;100;142,3980517;142,3980517
100467;TSMv1 - Pazar Indeksi;4;100;146,0011332;146,0011332
100662;TSMv1 - Pazar Indeksi;4;100;128,068672;128,068672
100071;TSMv1 - Pazar Indeksi;4;100;126,3549468;126,3549468
100444;TSMv1 - Pazar Indeksi;4;100;118,282268;118,282268
100466;TSMv1 - Pazar Indeksi;4;100;133,3021556;133,3021556
101806;TSMv1 - Pazar Indeksi;4;100;133,5300636;133,5300636
101655;TSMv1 - Pazar Indeksi;4;100;131,8477744;131,8477744
100336;TSMv1 - Pazar Indeksi;4;100;129,3887097;129,3887097
100360;TSMv1 - Pazar Indeksi;4;100;120,395857;120,395857
100329;TSMv1 - Pazar Indeksi;4;100;120,6796345;120,6796345
100948;TSMv1 - Pazar Indeksi;4;100;112,1893655;112,1893655
100595;TSMv1 - Pazar Indeksi;4;100;118,9990278;118,9990278
100670;TSMv1 - Pazar Indeksi;4;100;125,281767;125,281767
100465;TSMv1 - Pazar Indeksi;4;100;104,290397;104,290397
100487;TSMv1 - Pazar Indeksi;4;100;120,8706843;120,8706843
102000;TSMv1 - Pazar Indeksi;4;100;110,2554903;110,2554903
100122;TSMv1 - Pazar Indeksi;4;100;106,268737;106,268737
100250;TSMv1 - Pazar Indeksi;4;100;127,3187956;127,3187956
100574;TSMv1 - Pazar Indeksi;4;100;113,3463387;113,3463387
100671;TSMv1 - Pazar Indeksi;4;100;112,8300513;112,8300513
100240;TSMv1 - Pazar Indeksi;4;100;109,769489;109,769489
100626;TSMv1 - Pazar Indeksi;4;100;107,6710393;107,6710393
100247;TSMv1 - Pazar Indeksi;4;100;110,4755585;110,4755585
101654;TSMv1 - Pazar Indeksi;4;100;93,49350292;93,49350292
101826;TSMv1 - Pazar Indeksi;4;100;103,9792864;103,9792864
101549;TSMv1 - Pazar Indeksi;4;100;108,6876678;108,6876678
100103;TSMv1 - Pazar Indeksi;4;100;121,3154866;121,3154866
100711;TSMv1 - Pazar Indeksi;4;100;108,8888542;108,8888542
100769;TSMv1 - Pazar Indeksi;4;100;102,3046264;102,3046264
100457;TSMv1 - Pazar Indeksi;4;100;114,9068956;114,9068956
100196;TSMv1 - Pazar Indeksi;4;100;103,6187262;103,6187262
100496;TSMv1 - Pazar Indeksi;4;100;97,49082498;97,49082498
100361;TSMv1 - Pazar Indeksi;4;100;101,3710371;101,3710371
100720;TSMv1 - Pazar Indeksi;4;100;104,2930309;104,2930309
100332;TSMv1 - Pazar Indeksi;4;100;90,66942929;90,66942929
101659;TSMv1 - Pazar Indeksi;4;100;114,2132348;114,2132348
100947;TSMv1 - Pazar Indeksi;4;100;101,7847393;101,7847393
101919;TSMv1 - Pazar Indeksi;4;100;118,2624874;118,2624874
101558;TSMv1 - Pazar Indeksi;4;100;102,9790682;102,9790682
100462;TSMv1 - Pazar Indeksi;4;100;109,8561944;109,8561944
100293;TSMv1 - Pazar Indeksi;4;100;98,05880703;98,05880703
101656;TSMv1 - Pazar Indeksi;4;100;107,9949211;107,9949211
102001;TSMv1 - Pazar Indeksi;4;100;113,2910483;113,2910483
101460;TSMv1 - Pazar Indeksi;4;100;114,2096707;114,2096707
101917;TSMv1 - Pazar Indeksi;4;100;119,009943;119,009943
100324;TSMv1 - Pazar Indeksi;4;100;97,82906004;97,82906004
101912;TSMv1 - Pazar Indeksi;4;100;96,90641744;96,90641744
100342;TSMv1 - Pazar Indeksi;4;100;107,931017;107,931017
100358;TSMv1 - Pazar Indeksi;4;100;86,26144718;86,26144718
101575;TSMv1 - Pazar Indeksi;4;100;91,93601477;91,93601477
100119;TSMv1 - Pazar Indeksi;4;100;100,544217;100,544217
101463;TSMv1 - Pazar Indeksi;4;100;90,61165063;90,61165063
100104;TSMv1 - Pazar Indeksi;4;100;93,05924353;93,05924353
100581;TSMv1 - Pazar Indeksi;4;100;89,52236529;89,52236529
101920;TSMv1 - Pazar Indeksi;4;100;95,00405319;95,00405319
101805;TSMv1 - Pazar Indeksi;4;100;79,2450416;79,2450416
101273;TSMv1 - Pazar Indeksi;4;100;76,50856665;76,50856665
100449;TSMv1 - Pazar Indeksi;4;100;79,14868241;79,14868241
100450;TSMv1 - Pazar Indeksi;4;100;85,25357428;85,25357428
101996;TSMv1 - Pazar Indeksi;4;100;76,81198465;76,81198465
101798;TSMv1 - Pazar Indeksi;4;100;72,05150702;72,05150702
101854;TSMv1 - Pazar Indeksi;4;100;77,310812;77,310812
100272;TSMv1 - Pazar Indeksi;4;100;76,52088472;76,52088472
101251;TSMv1 - Pazar Indeksi;4;100;68,5530391;68,5530391
100707;TSMv1 - Pazar Indeksi;4;100;75,92965213;75,92965213
100864;TSMv1 - Pazar Indeksi;4;100;62,42897236;62,42897236
101814;TSMv1 - Pazar Indeksi;4;100;70,83942333;70,83942333
100517;TSMv1 - Pazar Indeksi;4;100;79,10899608;79,10899608
101929;TSMv1 - Pazar Indeksi;4;100;61,69648424;61,69648424
101467;TSMv1 - Pazar Indeksi;4;100;69,41109655;69,41109655
101921;TSMv1 - Pazar Indeksi;4;100;53,98125884;53,98125884
101256;TSMv1 - Pazar Indeksi;4;100;82,80242129;82,80242129
100506;TSMv1 - Pazar Indeksi;4;100;49,20356219;49,20356219
100538;TSMv1 - Pazar Indeksi;5;100;204,7770907;204,7770907
100796;TSMv1 - Pazar Indeksi;5;100;185,0859913;185,0859913
100416;TSMv1 - Pazar Indeksi;5;100;159,7757794;159,7757794
101791;TSMv1 - Pazar Indeksi;5;100;138,4492523;138,4492523
101655;TSMv1 - Pazar Indeksi;5;100;141,5421503;141,5421503
100662;TSMv1 - Pazar Indeksi;5;100;143,267619;143,267619
100356;TSMv1 - Pazar Indeksi;5;100;165,9387113;165,9387113
101692;TSMv1 - Pazar Indeksi;5;100;140,0060138;140,0060138
100438;TSMv1 - Pazar Indeksi;5;100;141,7455282;141,7455282
100947;TSMv1 - Pazar Indeksi;5;100;118,1808374;118,1808374
101804;TSMv1 - Pazar Indeksi;5;100;124,1233984;124,1233984
100104;TSMv1 - Pazar Indeksi;5;100;125,8422375;125,8422375
102000;TSMv1 - Pazar Indeksi;5;100;132,4899616;132,4899616
100466;TSMv1 - Pazar Indeksi;5;100;115,4349209;115,4349209
101806;TSMv1 - Pazar Indeksi;5;100;127,1278178;127,1278178
100720;TSMv1 - Pazar Indeksi;5;100;110,9945895;110,9945895
101915;TSMv1 - Pazar Indeksi;5;100;133,0728948;133,0728948
100329;TSMv1 - Pazar Indeksi;5;100;127,9472565;127,9472565
100574;TSMv1 - Pazar Indeksi;5;100;123,3763943;123,3763943
100336;TSMv1 - Pazar Indeksi;5;100;124,2220085;124,2220085
100948;TSMv1 - Pazar Indeksi;5;100;107,3226804;107,3226804
101912;TSMv1 - Pazar Indeksi;5;100;115,2135624;115,2135624
100444;TSMv1 - Pazar Indeksi;5;100;103,8736239;103,8736239
100324;TSMv1 - Pazar Indeksi;5;100;116,8464017;116,8464017
100467;TSMv1 - Pazar Indeksi;5;100;131,668385;131,668385
100071;TSMv1 - Pazar Indeksi;5;100;126,7241125;126,7241125
100272;TSMv1 - Pazar Indeksi;5;100;110,7846405;110,7846405
100496;TSMv1 - Pazar Indeksi;5;100;102,36832;102,36832
100119;TSMv1 - Pazar Indeksi;5;100;119,3670899;119,3670899
102123;TSMv1 - Pazar Indeksi;5;100;117,2629485;117,2629485
100247;TSMv1 - Pazar Indeksi;5;100;106,1845152;106,1845152
101558;TSMv1 - Pazar Indeksi;5;100;107,7642311;107,7642311
100240;TSMv1 - Pazar Indeksi;5;100;108,5551537;108,5551537
101920;TSMv1 - Pazar Indeksi;5;100;106,9022435;106,9022435
100360;TSMv1 - Pazar Indeksi;5;100;115,0168342;115,0168342
100671;TSMv1 - Pazar Indeksi;5;100;113,5632779;113,5632779
100122;TSMv1 - Pazar Indeksi;5;100;106,5399247;106,5399247
101929;TSMv1 - Pazar Indeksi;5;100;91,44577375;91,44577375
101659;TSMv1 - Pazar Indeksi;5;100;95,88870059;95,88870059
100487;TSMv1 - Pazar Indeksi;5;100;119,1157913;119,1157913
100457;TSMv1 - Pazar Indeksi;5;100;112,1236772;112,1236772
100595;TSMv1 - Pazar Indeksi;5;100;116,8611204;116,8611204
101919;TSMv1 - Pazar Indeksi;5;100;115,9272304;115,9272304
101654;TSMv1 - Pazar Indeksi;5;100;91,25616354;91,25616354
100361;TSMv1 - Pazar Indeksi;5;100;81,73531711;81,73531711
101549;TSMv1 - Pazar Indeksi;5;100;105,7119758;105,7119758
