Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;73;61;83,56
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;175;153;87,43
100121;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;170;156;91,76
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;161;143;88,82
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;310;290;93,55
100122;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;301;288;95,68
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;94;83;88,3
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;192;183;95,31
100378;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;194;172;88,66
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;92;68;73,91
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;198;186;93,94
101937;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;215;213;99,07
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;147;93;63,27
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;293;210;71,67
100650;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;288;175;60,76
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;134;90;67,16
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;263;199;75,67
100523;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;251;207;82,47
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;134;92;68,66
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;281;232;82,56
100594;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;262;217;82,82
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;117;85;72,65
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;276;196;71,01
101811;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;271;215;79,34
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;57;43;75,44
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;116;94;81,03
101686;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;118;97;82,2
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;66;54;81,82
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;160;142;88,75
100445;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;149;143;95,97
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;131;123;93,89
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;264;254;96,21
101905;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;267;260;97,38
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;4;76;75;98,68
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;153;148;96,73
101696;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;152;126;82,89
102138;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;313;113;36,1
102138;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;6;311;104;33,44
102128;TSM - Verimli Ziyaret Edilen Doktor Sayısı Realizasyonu;5;132;81;61,36
