Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;73;61;83,56
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;25;25;100
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;98;96;97,96
100121;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;101;91;90,1
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;66;66;100
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;133;119;89,47
100122;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;133;133;100
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;42;34;80,95
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;151;149;98,68
100378;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;146;135;92,47
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;74;52;70,27
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;152;137;90,13
101937;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;162;144;88,89
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;90;79;87,78
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;183;161;87,98
100650;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;183;158;86,34
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;82;81;98,78
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;165;158;95,76
100523;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;150;136;90,67
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;77;70;90,91
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;187;173;92,51
100594;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;153;147;96,08
101811;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;68;62;91,18
