Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100272;TSM - Medikal Sınav Başarısı;2;100;100;100
100293;TSM - Medikal Sınav Başarısı;2;100;100;100
100356;TSM - Medikal Sınav Başarısı;2;100;88;88
100358;TSM - Medikal Sınav Başarısı;2;100;92;92
100581;TSM - Medikal Sınav Başarısı;2;100;96;96
100864;TSM - Medikal Sınav Başarısı;2;100;96;96
101273;TSM - Medikal Sınav Başarısı;2;100;100;100
101655;TSM - Medikal Sınav Başarısı;2;100;88;88
101798;TSM - Medikal Sınav Başarısı;2;100;92;92
101854;TSM - Medikal Sınav Başarısı;2;100;88;88
101996;TSM - Medikal Sınav Başarısı;2;100;88;88
100196;TSM - Medikal Sınav Başarısı;2;100;100;100
100438;TSM - Medikal Sınav Başarısı;2;100;92;92
100496;TSM - Medikal Sınav Başarısı;2;100;96;96
100720;TSM - Medikal Sınav Başarısı;2;100;96;96
100947;TSM - Medikal Sınav Başarısı;2;100;92;92
100948;TSM - Medikal Sınav Başarısı;2;100;96;96
101467;TSM - Medikal Sınav Başarısı;2;100;92;92
101549;TSM - Medikal Sınav Başarısı;2;100;92;92
101692;TSM - Medikal Sınav Başarısı;2;100;96;96
101804;TSM - Medikal Sınav Başarısı;2;100;88;88
101805;TSM - Medikal Sınav Başarısı;2;100;88;88
101912;TSM - Medikal Sınav Başarısı;2;100;84;84
101915;TSM - Medikal Sınav Başarısı;2;100;92;92
100104;TSM - Medikal Sınav Başarısı;2;100;88;88
100119;TSM - Medikal Sınav Başarısı;2;100;88;88
100336;TSM - Medikal Sınav Başarısı;2;100;96;96
100450;TSM - Medikal Sınav Başarısı;2;100;84;84
100457;TSM - Medikal Sınav Başarısı;2;100;96;96
100465;TSM - Medikal Sınav Başarısı;2;100;96;96
100662;TSM - Medikal Sınav Başarısı;2;100;96;96
100711;TSM - Medikal Sınav Başarısı;2;100;96;96
100796;TSM - Medikal Sınav Başarısı;2;100;96;96
101463;TSM - Medikal Sınav Başarısı;2;100;84;84
101826;TSM - Medikal Sınav Başarısı;2;100;92;92
100103;TSM - Medikal Sınav Başarısı;2;100;92;92
100250;TSM - Medikal Sınav Başarısı;2;100;96;96
100342;TSM - Medikal Sınav Başarısı;2;100;96;96
100487;TSM - Medikal Sınav Başarısı;2;100;92;92
100670;TSM - Medikal Sınav Başarısı;2;100;100;100
101460;TSM - Medikal Sınav Başarısı;2;100;100;100
101659;TSM - Medikal Sınav Başarısı;2;100;84;84
101806;TSM - Medikal Sınav Başarısı;2;100;88;88
101917;TSM - Medikal Sınav Başarısı;2;100;88;88
101919;TSM - Medikal Sınav Başarısı;2;100;96;96
101920;TSM - Medikal Sınav Başarısı;2;100;96;96
100247;TSM - Medikal Sınav Başarısı;2;100;100;100
100444;TSM - Medikal Sınav Başarısı;2;100;88;88
100462;TSM - Medikal Sınav Başarısı;2;100;100;100
100467;TSM - Medikal Sınav Başarısı;2;100;100;100
100574;TSM - Medikal Sınav Başarısı;2;100;100;100
100707;TSM - Medikal Sınav Başarısı;2;100;100;100
101654;TSM - Medikal Sınav Başarısı;2;100;100;100
100122;TSM - Medikal Sınav Başarısı;2;100;96;96
100332;TSM - Medikal Sınav Başarısı;2;100;96;96
100361;TSM - Medikal Sınav Başarısı;2;100;92;92
100416;TSM - Medikal Sınav Başarısı;2;100;96;96
100466;TSM - Medikal Sınav Başarısı;2;100;92;92
100626;TSM - Medikal Sınav Başarısı;2;100;96;96
100671;TSM - Medikal Sınav Başarısı;2;100;96;96
101575;TSM - Medikal Sınav Başarısı;2;100;92;92
100071;TSM - Medikal Sınav Başarısı;2;100;96;96
100240;TSM - Medikal Sınav Başarısı;2;100;96;96
100329;TSM - Medikal Sınav Başarısı;2;100;92;92
100360;TSM - Medikal Sınav Başarısı;2;100;96;96
101791;TSM - Medikal Sınav Başarısı;2;100;88;88
102000;TSM - Medikal Sınav Başarısı;2;100;96;96
100324;TSM - Medikal Sınav Başarısı;2;100;88;88
100449;TSM - Medikal Sınav Başarısı;2;100;96;96
100506;TSM - Medikal Sınav Başarısı;2;100;96;96
100517;TSM - Medikal Sınav Başarısı;2;100;96;96
100538;TSM - Medikal Sınav Başarısı;2;100;96;96
101251;TSM - Medikal Sınav Başarısı;2;100;92;92
101558;TSM - Medikal Sınav Başarısı;2;100;88;88
101929;TSM - Medikal Sınav Başarısı;2;100;96;96
100288;TSM - Medikal Sınav Başarısı;2;100;96;96
100577;TSM - Medikal Sınav Başarısı;2;100;80;80
100799;TSM - Medikal Sınav Başarısı;2;100;76;76
101487;TSM - Medikal Sınav Başarısı;2;100;96;96
101553;TSM - Medikal Sınav Başarısı;2;100;100;100
101696;TSM - Medikal Sınav Başarısı;2;100;96;96
100101;TSM - Medikal Sınav Başarısı;2;100;92;92
100194;TSM - Medikal Sınav Başarısı;2;100;92;92
100265;TSM - Medikal Sınav Başarısı;2;100;92;92
100514;TSM - Medikal Sınav Başarısı;2;100;88;88
100797;TSM - Medikal Sınav Başarısı;2;100;88;88
101668;TSM - Medikal Sınav Başarısı;2;100;88;88
101669;TSM - Medikal Sınav Başarısı;2;100;84;84
100079;TSM - Medikal Sınav Başarısı;2;100;80;80
100121;TSM - Medikal Sınav Başarısı;2;100;84;84
100166;TSM - Medikal Sınav Başarısı;2;100;96;96
100244;TSM - Medikal Sınav Başarısı;2;100;80;80
100463;TSM - Medikal Sınav Başarısı;2;100;92;92
100527;TSM - Medikal Sınav Başarısı;2;100;84;84
101483;TSM - Medikal Sınav Başarısı;2;100;92;92
100248;TSM - Medikal Sınav Başarısı;2;100;96;96
100341;TSM - Medikal Sınav Başarısı;2;100;92;92
100592;TSM - Medikal Sınav Başarısı;2;100;72;72
100669;TSM - Medikal Sınav Başarısı;2;100;96;96
101482;TSM - Medikal Sınav Başarısı;2;100;92;92
101824;TSM - Medikal Sınav Başarısı;2;100;80;80
100392;TSM - Medikal Sınav Başarısı;2;100;96;96
100713;TSM - Medikal Sınav Başarısı;2;100;96;96
101023;TSM - Medikal Sınav Başarısı;2;100;92;92
101264;TSM - Medikal Sınav Başarısı;2;100;76;76
101267;TSM - Medikal Sınav Başarısı;2;100;80;80
101270;TSM - Medikal Sınav Başarısı;2;100;88;88
101329;TSM - Medikal Sınav Başarısı;2;100;56;56
101547;TSM - Medikal Sınav Başarısı;2;100;80;80
101664;TSM - Medikal Sınav Başarısı;2;100;80;80
101829;TSM - Medikal Sınav Başarısı;2;100;92;92
101906;TSM - Medikal Sınav Başarısı;2;100;76;76
101932;TSM - Medikal Sınav Başarısı;2;100;92;92
101933;TSM - Medikal Sınav Başarısı;2;100;84;84
100204;TSM - Medikal Sınav Başarısı;2;100;84;84
100209;TSM - Medikal Sınav Başarısı;2;100;80;80
100253;TSM - Medikal Sınav Başarısı;2;100;88;88
100328;TSM - Medikal Sınav Başarısı;2;100;84;84
100456;TSM - Medikal Sınav Başarısı;2;100;80;80
100525;TSM - Medikal Sınav Başarısı;2;100;88;88
100658;TSM - Medikal Sınav Başarısı;2;100;92;92
100661;TSM - Medikal Sınav Başarısı;2;100;92;92
101279;TSM - Medikal Sınav Başarısı;2;100;72;72
101663;TSM - Medikal Sınav Başarısı;2;100;84;84
101810;TSM - Medikal Sınav Başarısı;2;100;68;68
101840;TSM - Medikal Sınav Başarısı;2;100;72;72
101925;TSM - Medikal Sınav Başarısı;2;100;80;80
100298;TSM - Medikal Sınav Başarısı;2;100;76;76
100357;TSM - Medikal Sınav Başarısı;2;100;88;88
100509;TSM - Medikal Sınav Başarısı;2;100;76;76
100579;TSM - Medikal Sınav Başarısı;2;100;68;68
100674;TSM - Medikal Sınav Başarısı;2;100;80;80
100686;TSM - Medikal Sınav Başarısı;2;100;80;80
100766;TSM - Medikal Sınav Başarısı;2;100;76;76
101276;TSM - Medikal Sınav Başarısı;2;100;80;80
101817;TSM - Medikal Sınav Başarısı;2;100;80;80
101818;TSM - Medikal Sınav Başarısı;2;100;72;72
101909;TSM - Medikal Sınav Başarısı;2;100;80;80
101914;TSM - Medikal Sınav Başarısı;2;100;76;76
101924;TSM - Medikal Sınav Başarısı;2;100;76;76
100138;TSM - Medikal Sınav Başarısı;2;100;96;96
100201;TSM - Medikal Sınav Başarısı;2;100;96;96
100242;TSM - Medikal Sınav Başarısı;2;100;96;96
100322;TSM - Medikal Sınav Başarısı;2;100;88;88
100379;TSM - Medikal Sınav Başarısı;2;100;76;76
100502;TSM - Medikal Sınav Başarısı;2;100;92;92
100529;TSM - Medikal Sınav Başarısı;2;100;92;92
100668;TSM - Medikal Sınav Başarısı;2;100;84;84
100675;TSM - Medikal Sınav Başarısı;2;100;96;96
101562;TSM - Medikal Sınav Başarısı;2;100;72;72
101666;TSM - Medikal Sınav Başarısı;2;100;68;68
101816;TSM - Medikal Sınav Başarısı;2;100;84;84
101911;TSM - Medikal Sınav Başarısı;2;100;80;80
100269;TSM - Medikal Sınav Başarısı;2;100;84;84
100501;TSM - Medikal Sınav Başarısı;2;100;88;88
100540;TSM - Medikal Sınav Başarısı;2;100;92;92
100584;TSM - Medikal Sınav Başarısı;2;100;84;84
100618;TSM - Medikal Sınav Başarısı;2;100;88;88
100650;TSM - Medikal Sınav Başarısı;2;100;76;76
101568;TSM - Medikal Sınav Başarısı;2;100;88;88
101796;TSM - Medikal Sınav Başarısı;2;100;88;88
101797;TSM - Medikal Sınav Başarısı;2;100;92;92
100355;TSM - Medikal Sınav Başarısı;2;100;84;84
100422;TSM - Medikal Sınav Başarısı;2;100;96;96
100461;TSM - Medikal Sınav Başarısı;2;100;84;84
100522;TSM - Medikal Sınav Başarısı;2;100;88;88
100893;TSM - Medikal Sınav Başarısı;2;100;80;80
100950;TSM - Medikal Sınav Başarısı;2;100;76;76
101693;TSM - Medikal Sınav Başarısı;2;100;64;64
101923;TSM - Medikal Sınav Başarısı;2;100;80;80
101982;TSM - Medikal Sınav Başarısı;2;100;84;84
100335;TSM - Medikal Sınav Başarısı;2;100;76;76
100585;TSM - Medikal Sınav Başarısı;2;100;92;92
101020;TSM - Medikal Sınav Başarısı;2;100;92;92
101323;TSM - Medikal Sınav Başarısı;2;100;92;92
101661;TSM - Medikal Sınav Başarısı;2;100;76;76
101841;TSM - Medikal Sınav Başarısı;2;100;72;72
100333;TSM - Medikal Sınav Başarısı;2;100;88;88
100460;TSM - Medikal Sınav Başarısı;2;100;76;76
100515;TSM - Medikal Sınav Başarısı;2;100;76;76
100528;TSM - Medikal Sınav Başarısı;2;100;88;88
100718;TSM - Medikal Sınav Başarısı;2;100;72;72
100862;TSM - Medikal Sınav Başarısı;2;100;88;88
100303;TSM - Medikal Sınav Başarısı;2;100;88;88
100541;TSM - Medikal Sınav Başarısı;2;100;92;92
100942;TSM - Medikal Sınav Başarısı;2;100;92;92
101274;TSM - Medikal Sınav Başarısı;2;100;92;92
101498;TSM - Medikal Sınav Başarısı;2;100;92;92
101541;TSM - Medikal Sınav Başarısı;2;100;88;88
101673;TSM - Medikal Sınav Başarısı;2;100;76;76
101675;TSM - Medikal Sınav Başarısı;2;100;88;88
101676;TSM - Medikal Sınav Başarısı;2;100;92;92
101852;TSM - Medikal Sınav Başarısı;2;100;96;96
101905;TSM - Medikal Sınav Başarısı;2;100;76;76
101956;TSM - Medikal Sınav Başarısı;2;100;96;96
100274;TSM - Medikal Sınav Başarısı;2;100;84;84
100337;TSM - Medikal Sınav Başarısı;2;100;88;88
100338;TSM - Medikal Sınav Başarısı;2;100;92;92
