Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100524;BTMv1 - Toplam Grup Kota Realizasyonu;4;1333839,60;1173380,26;87,97
100524;BTMv1 - Toplam Grup Kota Realizasyonu;5;1512964,85;1259796,45;83,27
100524;BTMv1 - Toplam Grup Kota Realizasyonu;6;1412679,59;1277450,63;90,43
100343;BTMv1 - Toplam Grup Kota Realizasyonu;4;2039169,08;2093325,42;102,66
100343;BTMv1 - Toplam Grup Kota Realizasyonu;5;2292631,55;1933949,25;84,35
100343;BTMv1 - Toplam Grup Kota Realizasyonu;6;2121314,04;1804631,73;85,07
100512;BTMv1 - Toplam Grup Kota Realizasyonu;4;1458564,29;1464657,25;100,42
100512;BTMv1 - Toplam Grup Kota Realizasyonu;5;1638756,08;1330921,95;81,22
100512;BTMv1 - Toplam Grup Kota Realizasyonu;6;1522842,10;1334498,87;87,63
100654;BTMv1 - Toplam Grup Kota Realizasyonu;4;1856047,31;1715187,97;92,41
100654;BTMv1 - Toplam Grup Kota Realizasyonu;5;2093855,50;1578746,53;75,40
100654;BTMv1 - Toplam Grup Kota Realizasyonu;6;1947777,96;1832453,97;94,08
100139;BTMv1 - Toplam Grup Kota Realizasyonu;4;1983765,93;2041891,08;102,93
100139;BTMv1 - Toplam Grup Kota Realizasyonu;5;2235407,04;2009743,13;89,91
100139;BTMv1 - Toplam Grup Kota Realizasyonu;6;2073036,06;2079245,89;100,30
100161;BTMv1 - Toplam Grup Kota Realizasyonu;4;1240914,67;1298926,24;104,67
100161;BTMv1 - Toplam Grup Kota Realizasyonu;5;1405680,53;1250817,73;88,98
100161;BTMv1 - Toplam Grup Kota Realizasyonu;6;1312223,90;1128674,02;86,01
100421;BTMv1 - Toplam Grup Kota Realizasyonu;4;1562138,76;1606621,75;102,85
100421;BTMv1 - Toplam Grup Kota Realizasyonu;5;1764667,60;1500699,80;85,04
100421;BTMv1 - Toplam Grup Kota Realizasyonu;6;1633445,85;1591803,57;97,45
102020;BTMv1 - Toplam Grup Kota Realizasyonu;4;1910550,98;1738954,81;91,02
102020;BTMv1 - Toplam Grup Kota Realizasyonu;5;2149672,28;1629348,01;75,80
102020;BTMv1 - Toplam Grup Kota Realizasyonu;6;1996378,19;1809047,25;90,62
100389;BTMv1 - Toplam Grup Kota Realizasyonu;4;2221024,57;2266757,67;102,06
100389;BTMv1 - Toplam Grup Kota Realizasyonu;5;2436868,07;2116914,77;86,87
100389;BTMv1 - Toplam Grup Kota Realizasyonu;6;2627664,41;2712329,33;103,22
100377;BTMv1 - Toplam Grup Kota Realizasyonu;4;1757500,63;2196802,39;125,00
100377;BTMv1 - Toplam Grup Kota Realizasyonu;5;1940115,22;1631814,44;84,11
100377;BTMv1 - Toplam Grup Kota Realizasyonu;6;2116109,75;2157932,38;101,98
100008;BTMv1 - Toplam Grup Kota Realizasyonu;4;1950552,01;2188481,13;112,20
100008;BTMv1 - Toplam Grup Kota Realizasyonu;5;2138672,69;1658335,84;77,54
100008;BTMv1 - Toplam Grup Kota Realizasyonu;6;2328224,69;2449242,15;105,20
100264;BTMv1 - Toplam Grup Kota Realizasyonu;4;2573807,30;2674388,01;103,91
100264;BTMv1 - Toplam Grup Kota Realizasyonu;5;2853239,61;2456735,36;86,10
100264;BTMv1 - Toplam Grup Kota Realizasyonu;6;3074259,67;3640746,84;118,43
100285;BTMv1 - Toplam Grup Kota Realizasyonu;4;2086474,28;1950371,50;93,48
100285;BTMv1 - Toplam Grup Kota Realizasyonu;5;2360393,25;1923428,79;81,49
100285;BTMv1 - Toplam Grup Kota Realizasyonu;6;2560888,49;2668143,28;104,19
100387;BTMv1 - Toplam Grup Kota Realizasyonu;4;2136538,65;2497507,99;116,90
100387;BTMv1 - Toplam Grup Kota Realizasyonu;5;2366908,57;1969258,95;83,20
100387;BTMv1 - Toplam Grup Kota Realizasyonu;6;2547151,24;3009417,97;118,15
100238;BTMv1 - Toplam Grup Kota Realizasyonu;4;1859763,83;1891294,70;101,70
100238;BTMv1 - Toplam Grup Kota Realizasyonu;5;2074303,79;1711712,02;82,52
100238;BTMv1 - Toplam Grup Kota Realizasyonu;6;2236221,36;2192972,06;98,07
100299;BTMv1 - Toplam Grup Kota Realizasyonu;4;1364458,90;1192034,29;87,36
100299;BTMv1 - Toplam Grup Kota Realizasyonu;5;1538518,31;892055,07;57,98
100299;BTMv1 - Toplam Grup Kota Realizasyonu;6;1741378,67;1440596,10;82,73
100690;BTMv1 - Toplam Grup Kota Realizasyonu;4;1503717,62;1303784,49;86,70
100690;BTMv1 - Toplam Grup Kota Realizasyonu;5;1921746,56;1561912,73;81,28
100690;BTMv1 - Toplam Grup Kota Realizasyonu;6;1975792,16;1729840,16;87,55
100319;BTMv1 - Toplam Grup Kota Realizasyonu;4;1305586,47;1507182,18;115,44
100319;BTMv1 - Toplam Grup Kota Realizasyonu;5;1644102,90;1642494,46;99,90
100319;BTMv1 - Toplam Grup Kota Realizasyonu;6;1674004,40;1806419,59;107,91
100088;BTMv1 - Toplam Grup Kota Realizasyonu;4;1667743,01;1788494,87;107,24
100088;BTMv1 - Toplam Grup Kota Realizasyonu;5;2082875,85;2018122,43;96,89
100088;BTMv1 - Toplam Grup Kota Realizasyonu;6;2111360,44;2320797,72;109,92
100678;BTMv1 - Toplam Grup Kota Realizasyonu;4;1088704,28;1413048,27;129,79
100678;BTMv1 - Toplam Grup Kota Realizasyonu;5;1349554,84;1523383,64;112,88
100678;BTMv1 - Toplam Grup Kota Realizasyonu;6;1359378,84;1431588,92;105,31
101980;BTMv1 - Toplam Grup Kota Realizasyonu;4;1828155,75;1864530,60;101,99
101980;BTMv1 - Toplam Grup Kota Realizasyonu;5;2290965,36;2205856,37;96,29
101980;BTMv1 - Toplam Grup Kota Realizasyonu;6;2331682,06;2334044,35;100,10
101986;BTMv1 - Toplam Grup Kota Realizasyonu;4;1762964,95;1840119,79;104,38
101986;BTMv1 - Toplam Grup Kota Realizasyonu;5;2239628,97;2116146,83;94,49
101986;BTMv1 - Toplam Grup Kota Realizasyonu;6;2298024,86;2270364,85;98,80
100077;BTMv1 - Toplam Grup Kota Realizasyonu;4;1415277,13;1418422,11;100,22
100077;BTMv1 - Toplam Grup Kota Realizasyonu;5;1475171,39;1454134,33;98,57
100077;BTMv1 - Toplam Grup Kota Realizasyonu;6;1820486,20;1999360,94;109,83
100084;BTMv1 - Toplam Grup Kota Realizasyonu;4;2041910,13;2196999,38;107,60
100084;BTMv1 - Toplam Grup Kota Realizasyonu;5;2160080,39;1795772,01;83,13
100084;BTMv1 - Toplam Grup Kota Realizasyonu;6;2721368,91;2807931,44;103,18
100493;BTMv1 - Toplam Grup Kota Realizasyonu;4;1910574,04;2040928,77;106,82
100493;BTMv1 - Toplam Grup Kota Realizasyonu;5;2024662,30;1822698,75;90,02
100493;BTMv1 - Toplam Grup Kota Realizasyonu;6;2552950,38;2743405,02;107,46
100234;BTMv1 - Toplam Grup Kota Realizasyonu;4;1607662,56;1723391,34;107,20
100234;BTMv1 - Toplam Grup Kota Realizasyonu;5;1691465,80;1708768,95;101,02
100234;BTMv1 - Toplam Grup Kota Realizasyonu;6;2123956,26;2130093,88;100,29
100419;BTMv1 - Toplam Grup Kota Realizasyonu;4;1331760,84;1743377,40;130,91
100419;BTMv1 - Toplam Grup Kota Realizasyonu;5;1411961,93;1276149,22;90,38
100419;BTMv1 - Toplam Grup Kota Realizasyonu;6;1791250,07;1869703,79;104,38
100313;BTMv1 - Toplam Grup Kota Realizasyonu;4;1350911,47;1405775,27;104,06
100313;BTMv1 - Toplam Grup Kota Realizasyonu;5;1423968,70;1227098,05;86,17
100313;BTMv1 - Toplam Grup Kota Realizasyonu;6;1777726,91;1778363,29;100,04
100246;BTMv1 - Toplam Grup Kota Realizasyonu;4;1214737,89;1361223,54;112,06
100246;BTMv1 - Toplam Grup Kota Realizasyonu;5;1285777,95;1073609,28;83,50
