Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;423547,27;388126,44;91,64
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;489966,75;433125,36;88,4
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;369061,77;331913,64;89,93
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;505289,52;386128,4;76,42
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;526119,3;560961,68;106,62
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;383241,73;313835,68;81,89
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;403920,49;418087,48;103,51
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ELEKTRA PLUS JEL;513834,07;382199,24;74,38
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;420269,55;389785,88;92,75
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;735375,39;830048,34;112,87
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;519726,41;616503,94;118,62
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;610200,12;665543,72;109,07
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;650376,09;689843,6;106,07
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;343494,72;398873,64;116,12
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;514230,48;541646,66;105,33
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;HIRUDOID;667002,37;722548,76;108,33
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;159486,87;148440,19;93,07
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;369277,47;396547,32;107,38
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;230064,84;215210,77;93,54
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;329957,15;275952,47;83,63
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;320302,85;305421,9;95,35
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;203042,85;201956,22;99,46
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;221972,85;242777,4;109,37
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;MODET;262641,77;222000,14;84,53
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;512196,7;515685,52;100,68
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;592517,93;514012,52;86,75
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;446307,25;363490,32;81,44
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;611047,8;459319,76;75,17
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;636237,29;700700,2;110,13
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;463455,11;429511,68;92,68
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;488461,97;469969,6;96,21
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ELEKTRA PLUS JEL;621380,73;412102,92;66,32
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;447271,89;349546,5;78,15
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;783932,26;682686,54;87,08
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;552487,1;510468,1;92,39
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;648723,68;494654,32;76,25
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;692055,24;557137,16;80,5
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;365553,44;298073,14;81,54
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;546959,48;447419,52;81,8
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;HIRUDOID;708414,06;603842,14;85,24
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;170124,08;143453,71;84,32
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;397709,96;335169,62;84,27
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;245793,55;179640,3;73,09
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;354973,44;252774,74;71,21
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;344044,88;297013,6;86,33
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;217191,96;183532,94;84,5
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;237863,44;203251,22;85,45
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;MODET;281107,59;223819,72;79,62
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;507271,73;514930,28;101,51
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;586820,64;528907;90,13
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;442015,85;406223,52;91,9
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;605254,16;581984,12;96,16
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;630119,62;710059,44;112,69
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;458998,81;397810,72;86,67
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;483765,22;531210,96;109,81
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ELEKTRA PLUS JEL;615405,92;488525,56;79,38
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;403042,54;352430,61;87,44
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;705890,22;575820,98;81,57
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;498235,9;432255,46;86,76
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;584986,33;549301,34;93,9
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;623685,17;542405,5;86,97
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;329256,27;258740,72;78,58
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;493060,31;467422,41;94,8
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;HIRUDOID;639235,1;664449,03;103,94
100524;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;167700,63;175653,89;104,74
100343;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;377853,16;344743,47;91,24
100512;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;240801,54;242328,33;100,63
100654;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;338702,28;318925,86;94,16
100139;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;330240,16;369032,19;111,75
100161;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;211791,29;181392,59;85,65
100421;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;230389,12;229132,38;99,45
102020;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;MODET;273513,16;275134,71;100,59
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;91825,22;72080,12;78,5
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;70251,35;66692,78;94,93
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;77008,13;86144,1;111,86
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;106020,73;70622,16;66,61
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;106254,96;68968,62;64,91
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;78312,22;84437,22;107,82
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;73306,75;65341,5;89,13
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;BRONCHOREST;83238,64;134399,02;161,46
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;690972,5;676246,4;97,87
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;568069,63;662864;116,69
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;631295,53;718732,8;113,85
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;891507,32;990232,32;111,07
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;543154,65;393295,68;72,41
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;740388,1;905928,64;122,36
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;485465,02;429101,76;88,39
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;DICLOFLAM;265636,55;166409,6;62,65
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;772821,25;806046,08;104,3
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;564174,91;558103,14;98,92
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;672408,22;677842,48;100,81
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;758382,23;764184,4;100,77
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;623079,76;578215,68;92,8
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;640926,19;610017,66;95,18
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;639009,87;613937,66;96,08
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;PARAFON/X;475602,25;330804,88;69,55
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;110502,95;48254,92;43,67
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;84540,87;55473,6;65,62
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;92671,97;50264,06;54,24
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;127585,85;71671,18;56,17
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;127867,76;43969,94;34,39
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;94241,34;41462,96;44
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;88217,68;41285,16;46,8
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;BRONCHOREST;100169,81;48788,32;48,71
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;702152,94;591273,6;84,21
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;577261,39;445209,6;77,12
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;641510,34;449409,28;70,05
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;905932,55;695623,68;76,79
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;551943,3;367548,16;66,59
