Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100421;BTMv1 - Gelişim İndeksi;2;109,58;107,18;97,81
100512;BTMv1 - Gelişim İndeksi;2;109,58;105,84;96,59
100343;BTMv1 - Gelişim İndeksi;2;109,58;110,59;100,92
100524;BTMv1 - Gelişim İndeksi;2;109,58;105,62;96,39
100139;BTMv1 - Gelişim İndeksi;2;109,58;116,59;106,4
102020;BTMv1 - Gelişim İndeksi;2;109,58;111,49;101,75
100161;BTMv1 - Gelişim İndeksi;2;109,58;110,57;100,9
100654;BTMv1 - Gelişim İndeksi;2;109,58;107,46;98,07
100238;BTMv1 - Gelişim İndeksi;2;109,31;106,88;97,78
100008;BTMv1 - Gelişim İndeksi;2;109,31;103,89;95,04
100389;BTMv1 - Gelişim İndeksi;2;109,31;112,92;103,31
100299;BTMv1 - Gelişim İndeksi;2;109,31;100,51;91,95
100264;BTMv1 - Gelişim İndeksi;2;109,31;113,86;104,17
100285;BTMv1 - Gelişim İndeksi;2;109,31;113,38;103,72
100377;BTMv1 - Gelişim İndeksi;2;109,31;105,34;96,37
100387;BTMv1 - Gelişim İndeksi;2;109,31;112,58;102,99
100087;BTMv1 - Gelişim İndeksi;2;100,13;108,79;108,64
100074;BTMv1 - Gelişim İndeksi;2;100,13;95,84;95,71
100198;BTMv1 - Gelişim İndeksi;2;100,13;105,19;105,05
100784;BTMv1 - Gelişim İndeksi;2;100,13;111,83;111,68
100162;BTMv1 - Gelişim İndeksi;2;100,13;96,38;96,25
100088;BTMv1 - Gelişim İndeksi;2;126,48;137,49;108,71
101986;BTMv1 - Gelişim İndeksi;2;126,48;124,34;98,31
101980;BTMv1 - Gelişim İndeksi;2;126,48;118,63;93,8
100690;BTMv1 - Gelişim İndeksi;2;126,48;118,2;93,45
100678;BTMv1 - Gelişim İndeksi;2;126,48;135,07;106,8
100319;BTMv1 - Gelişim İndeksi;2;126,48;127,52;100,83
100313;BTMv1 - Gelişim İndeksi;2;99,16;95,06;95,86
100419;BTMv1 - Gelişim İndeksi;2;99,16;101,84;102,7
100234;BTMv1 - Gelişim İndeksi;2;99,16;100,13;100,98
100246;BTMv1 - Gelişim İndeksi;2;99,16;102,89;103,77
100493;BTMv1 - Gelişim İndeksi;2;99,16;102,18;103,05
100084;BTMv1 - Gelişim İndeksi;2;99,16;93,51;94,3
100075;BTMv1 - Gelişim İndeksi;2;99,16;102,63;103,5
100077;BTMv1 - Gelişim İndeksi;2;99,16;99,17;100,02
100311;BTMv1 - Gelişim İndeksi;2;116,27;117,77;101
100268;BTMv1 - Gelişim İndeksi;2;116,27;114,02;98,63
100297;BTMv1 - Gelişim İndeksi;2;116,27;102,81;88,26
100115;BTMv1 - Gelişim İndeksi;2;116,27;118,13;101,21
100458;BTMv1 - Gelişim İndeksi;2;116,27;118,21;101,8
100295;BTMv1 - Gelişim İndeksi;2;116,27;113,97;98,26
100659;BTMv1 - Gelişim İndeksi;2;116,27;123,52;106,26
100586;BTMv1 - Gelişim İndeksi;2;116,27;120,16;103,06
