Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100343;BTMv1 - Pazar İndeksi;4;100;109,79;109,79
100139;BTMv1 - Pazar İndeksi;4;100;106,76;106,76
100421;BTMv1 - Pazar İndeksi;4;100;102,62;102,62
100161;BTMv1 - Pazar İndeksi;4;100;100,36;100,36
100512;BTMv1 - Pazar İndeksi;4;100;101,71;101,71
100654;BTMv1 - Pazar İndeksi;4;100;111,40;111,40
102020;BTMv1 - Pazar İndeksi;4;100;92,33;92,33
100524;BTMv1 - Pazar İndeksi;4;100;80,31;80,31
100377;BTMv1 - Pazar İndeksi;4;100;129,30;129,30
100387;BTMv1 - Pazar İndeksi;4;100;122,97;122,97
100008;BTMv1 - Pazar İndeksi;4;100;109,93;109,93
100264;BTMv1 - Pazar İndeksi;4;100;105,42;105,42
100238;BTMv1 - Pazar İndeksi;4;100;95,78;95,78
100389;BTMv1 - Pazar İndeksi;4;100;91,86;91,86
100285;BTMv1 - Pazar İndeksi;4;100;83,45;83,45
100299;BTMv1 - Pazar İndeksi;4;100;68,54;68,54
100162;BTMv1 - Pazar İndeksi;4;100;137,97;137,97
100074;BTMv1 - Pazar İndeksi;4;100;106,38;106,38
100784;BTMv1 - Pazar İndeksi;4;100;84,22;84,22
100198;BTMv1 - Pazar İndeksi;4;100;90,40;90,40
100087;BTMv1 - Pazar İndeksi;4;100;92,02;92,02
100678;BTMv1 - Pazar İndeksi;4;100;117,49;117,49
100319;BTMv1 - Pazar İndeksi;4;100;103,04;103,04
100088;BTMv1 - Pazar İndeksi;4;100;105,19;105,19
101986;BTMv1 - Pazar İndeksi;4;100;98,42;98,42
101980;BTMv1 - Pazar İndeksi;4;100;104,02;104,02
100690;BTMv1 - Pazar İndeksi;4;100;78,60;78,60
100419;BTMv1 - Pazar İndeksi;4;100;120,73;120,73
100075;BTMv1 - Pazar İndeksi;4;100;103,95;103,95
100084;BTMv1 - Pazar İndeksi;4;100;112,89;112,89
100246;BTMv1 - Pazar İndeksi;4;100;91,09;91,09
100493;BTMv1 - Pazar İndeksi;4;100;99,72;99,72
100234;BTMv1 - Pazar İndeksi;4;100;91,27;91,27
100313;BTMv1 - Pazar İndeksi;4;100;88,95;88,95
100077;BTMv1 - Pazar İndeksi;4;100;97,30;97,30
100311;BTMv1 - Pazar İndeksi;4;100;119,49;119,49
100297;BTMv1 - Pazar İndeksi;4;100;105,60;105,60
100268;BTMv1 - Pazar İndeksi;4;100;99,73;99,73
100115;BTMv1 - Pazar İndeksi;4;100;107,47;107,47
100295;BTMv1 - Pazar İndeksi;4;100;106,30;106,30
100458;BTMv1 - Pazar İndeksi;4;100;104,64;104,64
100659;BTMv1 - Pazar İndeksi;4;100;85,67;85,67
100586;BTMv1 - Pazar İndeksi;4;100;88,09;88,09
100161;BTMv1 - Pazar İndeksi;5;100;111,73;111,73
100139;BTMv1 - Pazar İndeksi;5;100;106,84;106,84
100343;BTMv1 - Pazar İndeksi;5;100;110,17;110,17
100421;BTMv1 - Pazar İndeksi;5;100;100,49;100,49
100524;BTMv1 - Pazar İndeksi;5;100;95,58;95,58
100512;BTMv1 - Pazar İndeksi;5;100;95,32;95,32
100654;BTMv1 - Pazar İndeksi;5;100;99,84;99,84
102020;BTMv1 - Pazar İndeksi;5;100;88,41;88,41
100264;BTMv1 - Pazar İndeksi;5;100;116,05;116,05
100377;BTMv1 - Pazar İndeksi;5;100;122,00;122,00
100387;BTMv1 - Pazar İndeksi;5;100;114,10;114,10
100389;BTMv1 - Pazar İndeksi;5;100;102,49;102,49
100238;BTMv1 - Pazar İndeksi;5;100;97,74;97,74
100285;BTMv1 - Pazar İndeksi;5;100;91,87;91,87
100008;BTMv1 - Pazar İndeksi;5;100;100,09;100,09
