Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
102020;BTM - Medikal Sınav Başarısı;2;100;100;100
100139;BTM - Medikal Sınav Başarısı;2;100;96;96
100343;BTM - Medikal Sınav Başarısı;2;100;92;92
100654;BTM - Medikal Sınav Başarısı;2;100;100;100
100512;BTM - Medikal Sınav Başarısı;2;100;96;96
100421;BTM - Medikal Sınav Başarısı;2;100;88;88
100161;BTM - Medikal Sınav Başarısı;2;100;92;92
100524;BTM - Medikal Sınav Başarısı;2;100;96;96
100198;BTM - Medikal Sınav Başarısı;2;100;96;96
100162;BTM - Medikal Sınav Başarısı;2;100;100;100
100074;BTM - Medikal Sınav Başarısı;2;100;72;72
100087;BTM - Medikal Sınav Başarısı;2;100;88;88
100285;BTM - Medikal Sınav Başarısı;2;100;88;88
100264;BTM - Medikal Sınav Başarısı;2;100;88;88
100389;BTM - Medikal Sınav Başarısı;2;100;92;92
100387;BTM - Medikal Sınav Başarısı;2;100;92;92
100008;BTM - Medikal Sınav Başarısı;2;100;92;92
100238;BTM - Medikal Sınav Başarısı;2;100;88;88
100299;BTM - Medikal Sınav Başarısı;2;100;92;92
100377;BTM - Medikal Sınav Başarısı;2;100;88;88
100084;BTM - Medikal Sınav Başarısı;2;100;100;100
100493;BTM - Medikal Sınav Başarısı;2;100;88;88
100234;BTM - Medikal Sınav Başarısı;2;100;96;96
100077;BTM - Medikal Sınav Başarısı;2;100;88;88
100419;BTM - Medikal Sınav Başarısı;2;100;88;88
100313;BTM - Medikal Sınav Başarısı;2;100;100;100
100246;BTM - Medikal Sınav Başarısı;2;100;96;96
100075;BTM - Medikal Sınav Başarısı;2;100;96;96
100586;BTM - Medikal Sınav Başarısı;2;100;88;88
100659;BTM - Medikal Sınav Başarısı;2;100;84;84
100295;BTM - Medikal Sınav Başarısı;2;100;92;92
100458;BTM - Medikal Sınav Başarısı;2;100;96;96
100268;BTM - Medikal Sınav Başarısı;2;100;92;92
100311;BTM - Medikal Sınav Başarısı;2;100;88;88
100297;BTM - Medikal Sınav Başarısı;2;100;96;96
100115;BTM - Medikal Sınav Başarısı;2;100;76;76
100784;BTM - Medikal Sınav Başarısı;2;100;88;88
100690;BTM - Medikal Sınav Başarısı;2;100;76;76
101980;BTM - Medikal Sınav Başarısı;2;100;96;96
101986;BTM - Medikal Sınav Başarısı;2;100;84;84
100319;BTM - Medikal Sınav Başarısı;2;100;96;96
100088;BTM - Medikal Sınav Başarısı;2;100;88;88
100678;BTM - Medikal Sınav Başarısı;2;100;88;88
