Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;6598217,65;7356375,67;111,49
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;7010343,66;6938642,29;98,98
100287;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;7735455,30;8480675,75;109,63
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;10205914,19;11184131,91;109,58
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;10646226,24;10227517,26;96,07
100666;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;11273952,53;12323768,37;109,31
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;7367810,50;8366034,60;113,55
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;8265739,16;8263974,36;99,98
100310;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;8904426,94;8921275,62;100,19
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;5913258,24;6644394,38;112,36
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;6190649,41;5841781,59;94,36
100157;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;6529482,63;7153920,55;109,56
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;6345603,31;7240629,17;114,10
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;6870279,40;6556545,35;95,43
100823;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;7118129,97;7457406,09;104,77
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);4;5114396,99;6160028,79;120,44
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);5;5762559,41;5311573,77;92,17
100301;BSMv1 - Kanal Depolar ile Planlanan Aylık Çıkış Aksiyonu Kota Realizasyonu (SF);6;5880171,15;5616487,55;95,52
