Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;2747700,00;3224297,80;117,35
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;3027900,00;3502012,58;115,66
100287;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;3671600,00;5061644,45;137,86
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;4243600,00;5060957,70;119,26
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;4555600,00;4577523,27;100,48
100666;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;5420071,25;6712490,82;123,85
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;3031000,00;3745452,49;123,57
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;3584100,00;3983787,06;111,15
100310;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;4230400,00;4937636,63;116,72
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;2463400,00;3233704,66;131,27
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;2698500,00;2972172,98;110,14
100157;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;3102300,00;4148047,94;133,71
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;2606000,00;3063576,46;117,56
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;2963100,00;3014361,31;101,73
100823;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;3332000,00;3894913,37;116,89
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);4;2118300,00;2600673,54;122,77
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);5;2518800,00;2462209,37;97,75
100301;BSMv1 - Kanal Depolar ile Planlanan Günlük Çıkış Aksiyonu Kota Realizasyonu (SF);6;2788700,00;2933175,18;105,18
